,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,11.9,,,56.0,50.5,6.0,81,Donald Hammond III QB,111.0,1316.0,,177.9,,,,4.0,-22.0,13,82,QB,air-force-falcons
1,24.5,,,5.0,83.3,0.0,75,Mike Schmidt QB,6.0,147.0,,344.1,,,,0.0,0.0,1,82,QB,air-force-falcons
2,15.2,,,5.0,100.0,0.0,41,Isaiah Sanders QB,5.0,76.0,,227.7,,,,0.0,0.0,0,82,QB,air-force-falcons
3,31.5,,,2.0,100.0,0.0,41,Chance Stevenson RB,2.0,63.0,,364.6,,,,0.0,0.0,0,82,RB,air-force-falcons
4,0.0,,,0.0,0.0,0.0,0,-,2.0,0.0,,0.0,,,,0.0,0.0,0,82,-,air-force-falcons
6,,,5.8,,,,29,Kadin Remsberg RB,,,,,,181.0,1050.0,,,8,82,RB,air-force-falcons
7,,,4.7,,,,41,Taven Birdow FB,,,,,,180.0,839.0,,,7,82,FB,air-force-falcons
8,,,9.5,,,,10,Colton Parton FB,,,,,,2.0,19.0,,,0,82,FB,air-force-falcons
9,,,5.0,,,,8,Omar Fattah FB,,,,,,3.0,15.0,,,0,82,FB,air-force-falcons
10,,,11.0,,,,11,Jake Smith RB,,,,,,1.0,11.0,,,0,82,RB,air-force-falcons
11,,,5.5,,,,7,Chance Stevenson RB,,,,,,2.0,11.0,,,0,82,RB,air-force-falcons
12,,,1.8,,,,6,Benjamin Waters WR,,,,,,5.0,9.0,,,0,82,WR,air-force-falcons
13,,,8.0,,,,8,Lenard Leviston RB,,,,,,1.0,8.0,,,0,82,RB,air-force-falcons
14,,,4.0,,,,4,Qawi Ntsasa RB,,,,,,1.0,4.0,,,0,82,RB,air-force-falcons
15,,,3.0,,,,3,Ben Peterson RB,,,,,,1.0,3.0,,,0,82,RB,air-force-falcons
16,,,2.0,,,,2,Robert Gross RB,,,,,,1.0,2.0,,,0,82,RB,air-force-falcons
17,,,0.0,,,,0,Dane Kinamon WR,,,,,,1.0,0.0,,,0,82,WR,air-force-falcons
18,,,6.1,,,,64,Timothy Jackson FB,,,,,,122.0,745.0,,,6,82,FB,air-force-falcons
19,,,-3.0,,,,0,Zachary Larrier RB,,,,,,1.0,-3.0,,,0,82,RB,air-force-falcons
20,,,-18.0,,,,0,Geraud Sanders WR,,,,,,2.0,-36.0,,,0,82,WR,air-force-falcons
21,,,-1.9,,,,0,-,,,,,,23.0,-44.0,,,0,82,-,air-force-falcons
23,,,4.6,,,,42,Donald Hammond III QB,,,,,,121.0,553.0,,,13,82,QB,air-force-falcons
24,,,9.0,,,,43,Joshua Stoner RB,,,,,,23.0,207.0,,,1,82,RB,air-force-falcons
25,,,4.8,,,,19,Christian Mallard RB,,,,,,40.0,192.0,,,2,82,RB,air-force-falcons
26,,,7.8,,,,61,Mike Schmidt QB,,,,,,17.0,133.0,,,3,82,QB,air-force-falcons
27,,,7.2,,,,21,Isaiah Sanders QB,,,,,,10.0,72.0,,,0,82,QB,air-force-falcons
28,,,6.7,,,,9,Nolan Eriksen RB,,,,,,7.0,47.0,,,1,82,RB,air-force-falcons
29,,,4.4,,,,8,Matthew Murla FB,,,,,,10.0,44.0,,,0,82,FB,air-force-falcons
30,,24.9,,,,,75,Geraud Sanders WR,,,30.0,,746.0,,,,,7,82,WR,air-force-falcons
31,,29.9,,,,,81,Benjamin Waters WR,,,22.0,,658.0,,,,,7,82,WR,air-force-falcons
33,,19.0,,,,,39,Kade Waguespack TE,,,5.0,,95.0,,,,,0,82,TE,air-force-falcons
34,,8.3,,,,,9,Ben Peterson RB,,,3.0,,25.0,,,,,0,82,RB,air-force-falcons
35,,8.0,,,,,29,Kadin Remsberg RB,,,3.0,,24.0,,,,,0,82,RB,air-force-falcons
36,,22.0,,,,,22,Donald Hammond III QB,,,1.0,,22.0,,,,,0,82,QB,air-force-falcons
37,,16.0,,,,,16,Taven Birdow FB,,,1.0,,16.0,,,,,0,82,FB,air-force-falcons
38,,10.0,,,,,10,Daniel Morris WR,,,1.0,,10.0,,,,,0,82,WR,air-force-falcons
39,,8.0,,,,,8,Rhett Myers OL,,,1.0,,8.0,,,,,0,82,OL,air-force-falcons
40,,-2.0,,,,,0,Timothy Jackson FB,,,1.0,,-2.0,,,,,0,82,FB,air-force-falcons
