,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.5,,,150.0,53.8,6.0,87,Kato Nelson QB,279.0,1822.0,,117.3,,,,43.0,-219.0,11,70,QB,akron-zips
1,5.2,,,41.0,50.6,3.0,39,Zach Gibson QB,81.0,425.0,,91.4,,,,11.0,-81.0,1,70,QB,akron-zips
2,2.7,,,10.0,35.7,3.0,24,Robbie Kelley QB,28.0,75.0,,36.8,,,,4.0,-28.0,0,70,QB,akron-zips
3,2.8,,,3.0,37.5,2.0,11,T.J. DeShields QB,8.0,22.0,,10.6,,,,0.0,0.0,0,70,QB,akron-zips
4,0.0,,,0.0,0.0,0.0,0,Nate Stewart WR,1.0,0.0,,0.0,,,,0.0,0.0,0,70,WR,akron-zips
6,,,2.9,,,,29,Brandon Lee WR,,,,,,61.0,179.0,,,0,70,WR,akron-zips
7,,,3.4,,,,11,Peter Hayes-Patrick RB,,,,,,41.0,138.0,,,0,70,RB,akron-zips
8,,,1.0,,,,1,Dustin Burkhart WR,,,,,,1.0,1.0,,,0,70,WR,akron-zips
9,,,1.0,,,,1,Julian Hicks WR,,,,,,1.0,1.0,,,0,70,WR,akron-zips
10,,,-2.0,,,,9,Robbie Kelley QB,,,,,,7.0,-14.0,,,0,70,QB,akron-zips
11,,,-5.1,,,,12,Zach Gibson QB,,,,,,14.0,-72.0,,,0,70,QB,akron-zips
13,,,3.1,,,,19,Michiah Burton RB,,,,,,38.0,117.0,,,1,70,RB,akron-zips
14,,,1.1,,,,17,Kato Nelson QB,,,,,,109.0,116.0,,,0,70,QB,akron-zips
15,,,2.6,,,,16,Deltron Sands RB,,,,,,35.0,91.0,,,1,70,RB,akron-zips
16,,,4.3,,,,17,Decavilon Reese RB,,,,,,10.0,43.0,,,0,70,RB,akron-zips
17,,,5.0,,,,5,Michael Mathison WR,,,,,,2.0,10.0,,,0,70,WR,akron-zips
18,,,2.0,,,,4,T.J. DeShields QB,,,,,,2.0,4.0,,,0,70,QB,akron-zips
19,,,3.0,,,,3,Jeremiah Knight WR,,,,,,1.0,3.0,,,0,70,WR,akron-zips
20,,,2.0,,,,2,Maverick Wolfley TE,,,,,,1.0,2.0,,,0,70,TE,akron-zips
21,,14.3,,,,,49,Nate Stewart WR,,,37.0,,529.0,,,,,3,70,WR,akron-zips
22,,13.9,,,,,39,Jeremiah Knight WR,,,31.0,,430.0,,,,,0,70,WR,akron-zips
23,,5.4,,,,,12,Deltron Sands RB,,,5.0,,27.0,,,,,0,70,RB,akron-zips
24,,9.0,,,,,13,Peter Hayes-Patrick RB,,,2.0,,18.0,,,,,0,70,RB,akron-zips
25,,15.0,,,,,15,Darryl Long TE,,,1.0,,15.0,,,,,0,70,TE,akron-zips
26,,6.0,,,,,6,Nick Johns TE,,,1.0,,6.0,,,,,0,70,TE,akron-zips
27,,4.0,,,,,4,Decavilon Reese RB,,,1.0,,4.0,,,,,0,70,RB,akron-zips
28,,3.0,,,,,3,Brandon Junk TE,,,1.0,,3.0,,,,,1,70,TE,akron-zips
30,,21.3,,,,,64,Dustin Burkhart WR,,,15.0,,320.0,,,,,1,70,WR,akron-zips
31,,7.8,,,,,47,Michael Mathison WR,,,31.0,,243.0,,,,,0,70,WR,akron-zips
32,,18.4,,,,,87,Timothy Scippio WR,,,12.0,,221.0,,,,,3,70,WR,akron-zips
33,,6.6,,,,,15,Julian Hicks WR,,,32.0,,212.0,,,,,2,70,WR,akron-zips
34,,7.7,,,,,48,Brandon Lee WR,,,15.0,,115.0,,,,,0,70,WR,akron-zips
35,,9.6,,,,,23,Andre Williams WR,,,10.0,,96.0,,,,,0,70,WR,akron-zips
36,,13.6,,,,,24,Maverick Wolfley TE,,,5.0,,68.0,,,,,2,70,TE,akron-zips
37,,7.4,,,,,11,Michiah Burton RB,,,5.0,,37.0,,,,,0,70,RB,akron-zips
