,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.3,,,160.0,60.2,11.0,75,Khalil Tate QB,266.0,1954.0,,131.0,,,,19.0,-120.0,14,95,QB,arizona-wildcats
1,8.0,,,101.0,65.2,1.0,75,Grant Gunnell QB,155.0,1239.0,,150.2,,,,14.0,-71.0,9,95,QB,arizona-wildcats
2,0.0,,,0.0,0.0,0.0,0,Jamarye Joiner WR,1.0,0.0,,0.0,,,,0.0,0.0,0,95,WR,arizona-wildcats
4,,,4.9,,,,40,J.J. Taylor RB,,,,,,148.0,721.0,,,5,95,RB,arizona-wildcats
5,,,4.6,,,,84,Khalil Tate QB,,,,,,90.0,413.0,,,3,95,QB,arizona-wildcats
6,,,-3.0,,,,0,Rhett Rodriguez QB,,,,,,1.0,-3.0,,,0,95,QB,arizona-wildcats
7,,,-3.4,,,,0,-,,,,,,5.0,-17.0,,,0,95,-,arizona-wildcats
9,,,5.9,,,,94,Gary Brightwell RB,,,,,,66.0,390.0,,,5,95,RB,arizona-wildcats
10,,,6.2,,,,28,Nathan Tilford RB,,,,,,37.0,228.0,,,4,95,RB,arizona-wildcats
11,,,6.0,,,,47,Darrius Smith RB,,,,,,34.0,203.0,,,1,95,RB,arizona-wildcats
12,,,3.4,,,,17,Michael Wiley RB,,,,,,31.0,106.0,,,0,95,RB,arizona-wildcats
13,,,5.5,,,,9,Brian Casteel WR,,,,,,4.0,22.0,,,0,95,WR,arizona-wildcats
14,,,0.4,,,,12,Grant Gunnell QB,,,,,,32.0,14.0,,,1,95,QB,arizona-wildcats
15,,,6.0,,,,7,Nazar Bombata RB,,,,,,2.0,12.0,,,0,95,RB,arizona-wildcats
16,,,-1.0,,,,0,Tayvian Cunningham WR,,,,,,1.0,-1.0,,,0,95,WR,arizona-wildcats
17,,16.2,,,,,48,Jamarye Joiner WR,,,34.0,,552.0,,,,,5,95,WR,arizona-wildcats
18,,17.2,,,,,75,Cedric Peterson WR,,,24.0,,412.0,,,,,2,95,WR,arizona-wildcats
19,,11.3,,,,,22,Jalen Johnson WR,,,7.0,,79.0,,,,,1,95,WR,arizona-wildcats
20,,11.3,,,,,20,Boobie Curry WR,,,6.0,,68.0,,,,,0,95,WR,arizona-wildcats
21,,12.4,,,,,23,Bryce Wolma TE,,,5.0,,62.0,,,,,1,95,TE,arizona-wildcats
22,,14.8,,,,,38,Gary Brightwell RB,,,4.0,,59.0,,,,,1,95,RB,arizona-wildcats
23,,4.0,,,,,4,Nathan Tilford RB,,,1.0,,4.0,,,,,0,95,RB,arizona-wildcats
25,,8.8,,,,,56,Brian Casteel WR,,,45.0,,397.0,,,,,3,95,WR,arizona-wildcats
26,,10.9,,,,,49,Tayvian Cunningham WR,,,35.0,,383.0,,,,,2,95,WR,arizona-wildcats
27,,9.0,,,,,28,J.J. Taylor RB,,,32.0,,289.0,,,,,0,95,RB,arizona-wildcats
28,,15.2,,,,,57,Stanley Berryhill III WR,,,19.0,,288.0,,,,,3,95,WR,arizona-wildcats
29,,15.1,,,,,75,Darrius Smith RB,,,12.0,,181.0,,,,,2,95,RB,arizona-wildcats
30,,9.2,,,,,34,Michael Wiley RB,,,18.0,,165.0,,,,,0,95,RB,arizona-wildcats
31,,10.2,,,,,24,Drew Dixon WR,,,14.0,,143.0,,,,,2,95,WR,arizona-wildcats
32,,22.2,,,,,75,Thomas Reid III WR,,,5.0,,111.0,,,,,1,95,WR,arizona-wildcats
