,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,9.5,,,204.0,65.8,10.0,92,Layne Hatcher QB,310.0,2946.0,,167.9,,,,30.0,-145.0,27,121,QB,arkansas-state-red-wolves
1,6.9,,,91.0,59.5,1.0,89,Logan Bonner QB,153.0,1052.0,,137.5,,,,10.0,-67.0,10,121,QB,arkansas-state-red-wolves
2,12.3,,,1.0,33.3,0.0,37,Omar Bayless WR,3.0,37.0,,136.9,,,,0.0,0.0,0,121,WR,arkansas-state-red-wolves
3,15.0,,,1.0,100.0,0.0,15,Cody Grace P,1.0,15.0,,226.0,,,,0.0,0.0,0,121,P,arkansas-state-red-wolves
4,3.5,,,1.0,50.0,0.0,7,Carson Coats QB,2.0,7.0,,79.4,,,,0.0,0.0,0,121,QB,arkansas-state-red-wolves
6,,,4.8,,,,57,Marcel Murray RB,,,,,,170.0,820.0,,,6,121,RB,arkansas-state-red-wolves
7,,,4.5,,,,21,Jamal Jones RB,,,,,,84.0,375.0,,,3,121,RB,arkansas-state-red-wolves
8,,,-2.6,,,,0,- Team -,,,,,,9.0,-23.0,,,0,121,-,arkansas-state-red-wolves
10,,,4.4,,,,36,Isaiah Azubuike RB,,,,,,41.0,181.0,,,0,121,RB,arkansas-state-red-wolves
11,,,5.8,,,,37,Ryan Graham RB,,,,,,23.0,134.0,,,2,121,RB,arkansas-state-red-wolves
12,,,3.8,,,,17,DJ Chatman RB,,,,,,26.0,99.0,,,0,121,RB,arkansas-state-red-wolves
13,,,0.6000000000000001,,,,22,Layne Hatcher QB,,,,,,79.0,46.0,,,1,121,QB,arkansas-state-red-wolves
14,,,18.0,,,,18,Cody Grace P,,,,,,1.0,18.0,,,0,121,P,arkansas-state-red-wolves
15,,,5.5,,,,9,Kirk Merritt WR,,,,,,2.0,11.0,,,0,121,WR,arkansas-state-red-wolves
16,,,0.0,,,,0,Coltin Clack QB,,,,,,1.0,0.0,,,0,121,QB,arkansas-state-red-wolves
17,,,-0.30000000000000004,,,,28,Logan Bonner QB,,,,,,20.0,-7.0,,,1,121,QB,arkansas-state-red-wolves
18,,17.8,,,,,92,Omar Bayless WR,,,93.0,,1653.0,,,,,17,121,WR,arkansas-state-red-wolves
19,,13.7,,,,,63,Jonathan Adams Jr. WR,,,62.0,,851.0,,,,,5,121,WR,arkansas-state-red-wolves
20,,13.0,,,,,13,Ryan Graham RB,,,1.0,,13.0,,,,,0,121,RB,arkansas-state-red-wolves
21,,5.5,,,,,7,Bubba Ogbebor WR,,,2.0,,11.0,,,,,0,121,WR,arkansas-state-red-wolves
22,,8.0,,,,,8,Jeff Foreman WR,,,1.0,,8.0,,,,,0,121,WR,arkansas-state-red-wolves
23,,7.0,,,,,7,DJ Chatman RB,,,1.0,,7.0,,,,,0,121,RB,arkansas-state-red-wolves
24,,-4.0,,,,,0,Isaiah Azubuike RB,,,1.0,,-4.0,,,,,0,121,RB,arkansas-state-red-wolves
26,,11.5,,,,,45,Kirk Merritt WR,,,70.0,,806.0,,,,,12,121,WR,arkansas-state-red-wolves
27,,9.4,,,,,30,Brandon Bowling WR,,,28.0,,263.0,,,,,2,121,WR,arkansas-state-red-wolves
28,,8.3,,,,,24,Marcel Murray RB,,,15.0,,125.0,,,,,0,121,RB,arkansas-state-red-wolves
29,,14.1,,,,,30,Reed Tyler TE,,,8.0,,113.0,,,,,1,121,TE,arkansas-state-red-wolves
30,,17.2,,,,,35,Dahu Green WR,,,5.0,,86.0,,,,,0,121,WR,arkansas-state-red-wolves
31,,14.5,,,,,36,Javonis Isaac TE,,,4.0,,58.0,,,,,0,121,TE,arkansas-state-red-wolves
32,,37.0,,,,,37,Logan Bonner QB,,,1.0,,37.0,,,,,0,121,QB,arkansas-state-red-wolves
33,,5.0,,,,,10,Jamal Jones RB,,,6.0,,30.0,,,,,0,121,RB,arkansas-state-red-wolves
