,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.9,,,238.0,64.3,7.0,64,Drew Plitt QB,370.0,2918.0,,148.2,,,,29.0,-167.0,24,71,QB,ball-state-cardinals
1,2.5,,,1.0,50.0,0.0,5,John Paddock QB,2.0,5.0,,71.0,,,,0.0,0.0,0,71,QB,ball-state-cardinals
2,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0,71,-,ball-state-cardinals
4,,,5.1,,,,54,Caleb Huntley RB,,,,,,248.0,1275.0,,,12,71,RB,ball-state-cardinals
5,,,5.5,,,,73,Walter Fletcher RB,,,,,,132.0,726.0,,,5,71,RB,ball-state-cardinals
6,,,-3.4,,,,0,-,,,,,,8.0,-27.0,,,0,71,-,ball-state-cardinals
8,,,7.8,,,,23,Justin Hall WR,,,,,,24.0,187.0,,,2,71,WR,ball-state-cardinals
9,,,16.7,,,,51,Malik Dunner WR,,,,,,11.0,184.0,,,2,71,WR,ball-state-cardinals
10,,,1.9,,,,51,Drew Plitt QB,,,,,,91.0,171.0,,,5,71,QB,ball-state-cardinals
11,,,16.3,,,,44,Tye Evans RB,,,,,,3.0,49.0,,,0,71,RB,ball-state-cardinals
12,,,5.2,,,,13,Will Jones RB,,,,,,9.0,47.0,,,0,71,RB,ball-state-cardinals
13,,,2.1,,,,5,Markice Hurt Jr. RB,,,,,,8.0,17.0,,,0,71,RB,ball-state-cardinals
14,,,5.0,,,,5,Danny Pinter OL,,,,,,1.0,5.0,,,1,71,OL,ball-state-cardinals
15,,,-1.0,,,,0,Trevor Hohlt WR,,,,,,1.0,-1.0,,,0,71,WR,ball-state-cardinals
16,,11.2,,,,,64,Justin Hall WR,,,61.0,,684.0,,,,,6,71,WR,ball-state-cardinals
17,,14.2,,,,,46,Riley Miller WR,,,43.0,,612.0,,,,,6,71,WR,ball-state-cardinals
18,,3.6,,,,,12,Caleb Huntley RB,,,7.0,,25.0,,,,,0,71,RB,ball-state-cardinals
19,,5.0,,,,,5,Trevor Hohlt WR,,,1.0,,5.0,,,,,0,71,WR,ball-state-cardinals
20,,2.5,,,,,3,Cody Rudy FB,,,2.0,,5.0,,,,,1,71,FB,ball-state-cardinals
21,,2.0,,,,,2,Drew Plitt QB,,,1.0,,2.0,,,,,0,71,QB,ball-state-cardinals
23,,13.6,,,,,40,Antwan Davis WR,,,38.0,,516.0,,,,,3,71,WR,ball-state-cardinals
24,,18.7,,,,,40,Yo'Heinz Tyler WR,,,27.0,,504.0,,,,,5,71,WR,ball-state-cardinals
25,,11.8,,,,,45,Walter Fletcher RB,,,26.0,,306.0,,,,,2,71,RB,ball-state-cardinals
26,,7.7,,,,,14,Nolan Givan TE,,,12.0,,92.0,,,,,0,71,TE,ball-state-cardinals
27,,9.4,,,,,17,Hassan Littles WR,,,7.0,,66.0,,,,,0,71,WR,ball-state-cardinals
28,,6.5,,,,,19,Malik Dunner WR,,,6.0,,39.0,,,,,1,71,WR,ball-state-cardinals
29,,5.3,,,,,11,Will Jones RB,,,7.0,,37.0,,,,,0,71,RB,ball-state-cardinals
30,,30.0,,,,,30,Kyle Schrank TE,,,1.0,,30.0,,,,,0,71,TE,ball-state-cardinals
