,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,5.6,,,115.0,56.4,11.0,66,Grant Loy QB,204.0,1137.0,,102.1,,,,9.0,-86.0,6,72,QB,bowling-green-falcons
1,5.8,,,74.0,56.9,3.0,59,Darius Wade QB,130.0,751.0,,108.4,,,,5.0,-36.0,3,72,QB,bowling-green-falcons
2,0.0,,,0.0,0.0,1.0,0,Nate Needham PK,1.0,0.0,,-200.0,,,,0.0,0.0,0,72,PK,bowling-green-falcons
3,0.0,,,0.0,0.0,0.0,0,Presley Motes TE,1.0,0.0,,0.0,,,,0.0,0.0,0,72,TE,bowling-green-falcons
5,,,4.9,,,,53,Bryson Denley RB,,,,,,111.0,544.0,,,4,72,RB,bowling-green-falcons
6,,,4.4,,,,20,Davon Jones RB,,,,,,118.0,518.0,,,3,72,RB,bowling-green-falcons
7,,,-0.30000000000000004,,,,3,Jordan Wayne-Prather WR,,,,,,3.0,-1.0,,,0,72,WR,bowling-green-falcons
8,,,-6.0,,,,0,Julian Ortega-Jones WR,,,,,,1.0,-6.0,,,0,72,WR,bowling-green-falcons
9,,,-8.0,,,,0,Matt Naranjo P,,,,,,1.0,-8.0,,,0,72,P,bowling-green-falcons
11,,,4.3,,,,58,Grant Loy QB,,,,,,100.0,427.0,,,4,72,QB,bowling-green-falcons
12,,,3.6,,,,22,Andrew Clair RB,,,,,,68.0,244.0,,,4,72,RB,bowling-green-falcons
13,,,3.1,,,,21,Darius Wade QB,,,,,,30.0,92.0,,,0,72,QB,bowling-green-falcons
14,,,4.8,,,,26,RB Marlow III WR,,,,,,16.0,77.0,,,0,72,WR,bowling-green-falcons
15,,,3.0,,,,10,Trevon Raymore RB,,,,,,23.0,68.0,,,0,72,RB,bowling-green-falcons
16,,,2.0,,,,8,Nigel Sealey RB,,,,,,16.0,32.0,,,0,72,RB,bowling-green-falcons
17,,,2.5,,,,4,Jake Rogers WR,,,,,,2.0,5.0,,,0,72,WR,bowling-green-falcons
18,,,0.5,,,,3,Charles Lamar RB,,,,,,4.0,2.0,,,0,72,RB,bowling-green-falcons
19,,11.8,,,,,59,Quintin Morris TE,,,55.0,,649.0,,,,,4,72,TE,bowling-green-falcons
20,,14.9,,,,,44,Julian Ortega-Jones WR,,,20.0,,298.0,,,,,0,72,WR,bowling-green-falcons
21,,14.0,,,,,14,Noah Massey WR,,,1.0,,14.0,,,,,0,72,WR,bowling-green-falcons
22,,3.7,,,,,8,Jake Rogers WR,,,3.0,,11.0,,,,,0,72,WR,bowling-green-falcons
23,,2.0,,,,,2,Presley Motes TE,,,2.0,,4.0,,,,,0,72,TE,bowling-green-falcons
24,,-3.0,,,,,0,Nigel Sealey RB,,,1.0,,-3.0,,,,,0,72,RB,bowling-green-falcons
26,,9.9,,,,,66,Bryson Denley RB,,,27.0,,267.0,,,,,3,72,RB,bowling-green-falcons
27,,9.9,,,,,45,RB Marlow III WR,,,22.0,,217.0,,,,,0,72,WR,bowling-green-falcons
28,,9.1,,,,,22,Austin Dorris TE,,,14.0,,127.0,,,,,0,72,TE,bowling-green-falcons
29,,9.0,,,,,29,Christian Sims TE,,,8.0,,72.0,,,,,1,72,TE,bowling-green-falcons
30,,7.1,,,,,18,Andrew Clair RB,,,10.0,,71.0,,,,,0,72,RB,bowling-green-falcons
31,,6.3,,,,,15,Jordan Wayne-Prather WR,,,9.0,,57.0,,,,,0,72,WR,bowling-green-falcons
32,,27.0,,,,,34,Rodell Rahmaan WR,,,2.0,,54.0,,,,,0,72,WR,bowling-green-falcons
33,,3.3,,,,,13,Davon Jones RB,,,15.0,,50.0,,,,,1,72,RB,bowling-green-falcons
