,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.9,,,101.0,58.7,2.0,61,Kyle Vantrease QB,172.0,1193.0,,130.0,,,,2.0,-14.0,8,73,QB,buffalo-bulls
1,5.7,,,49.0,46.7,4.0,42,Matt Myers QB,105.0,602.0,,106.1,,,,6.0,-45.0,6,73,QB,buffalo-bulls
2,0.0,,,0.0,0.0,0.0,0,Trevor Bycznski QB,1.0,0.0,,0.0,,,,0.0,0.0,0,73,QB,buffalo-bulls
4,,,5.8,,,,82,Jaret Patterson RB,,,,,,312.0,1799.0,,,19,73,RB,buffalo-bulls
5,,,4.6,,,,70,Kevin Marks RB,,,,,,227.0,1035.0,,,8,73,RB,buffalo-bulls
6,,,6.5,,,,21,Dylan McDuffie RB,,,,,,23.0,150.0,,,0,73,RB,buffalo-bulls
7,,,5.3,,,,25,Ron Cook Jr. RB,,,,,,18.0,96.0,,,1,73,RB,buffalo-bulls
8,,,3.1,,,,33,Matt Myers QB,,,,,,30.0,94.0,,,2,73,QB,buffalo-bulls
9,,,2.6,,,,16,Kyle Vantrease QB,,,,,,25.0,64.0,,,6,73,QB,buffalo-bulls
10,,,4.6,,,,13,Theo Anderson RB,,,,,,9.0,41.0,,,0,73,RB,buffalo-bulls
11,,,-1.5,,,,0,-,,,,,,15.0,-23.0,,,0,73,-,buffalo-bulls
13,,14.0,,,,,42,Antonio Nunn WR,,,49.0,,687.0,,,,,6,73,WR,buffalo-bulls
14,,12.3,,,,,33,Daniel Lee WR,,,23.0,,284.0,,,,,1,73,WR,buffalo-bulls
15,,9.5,,,,,14,LeMaro Smith Jr. WR,,,2.0,,19.0,,,,,0,73,WR,buffalo-bulls
16,,16.0,,,,,16,Tito Overton WR,,,1.0,,16.0,,,,,0,73,WR,buffalo-bulls
17,,6.0,,,,,6,Julien Bourassa TE,,,1.0,,6.0,,,,,1,73,TE,buffalo-bulls
18,,5.0,,,,,5,Cole Burniston TE,,,1.0,,5.0,,,,,1,73,TE,buffalo-bulls
20,,11.2,,,,,40,Zac Lefebvre TE,,,21.0,,235.0,,,,,2,73,TE,buffalo-bulls
21,,16.1,,,,,61,Jaret Patterson RB,,,13.0,,209.0,,,,,1,73,RB,buffalo-bulls
22,,11.5,,,,,28,Carlton Todd WR,,,10.0,,115.0,,,,,0,73,WR,buffalo-bulls
23,,22.3,,,,,33,Marlyn Johnson WR,,,3.0,,67.0,,,,,0,73,WR,buffalo-bulls
24,,7.7,,,,,12,Dominic Johnson QB,,,6.0,,46.0,,,,,1,73,QB,buffalo-bulls
25,,3.4,,,,,10,Kevin Marks RB,,,12.0,,41.0,,,,,0,73,RB,buffalo-bulls
26,,8.0,,,,,23,Ron Cook Jr. RB,,,5.0,,40.0,,,,,0,73,RB,buffalo-bulls
27,,8.3,,,,,13,Dylan McDuffie RB,,,3.0,,25.0,,,,,1,73,RB,buffalo-bulls
