,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.5,,,199.0,62.4,9.0,75,Zach Wilson QB,319.0,2382.0,,130.8,,,,19.0,-125.0,11,65,QB,byu-cougars
1,8.8,,,54.0,63.5,2.0,77,Baylor Romney QB,85.0,747.0,,159.8,,,,4.0,-18.0,7,65,QB,byu-cougars
2,9.1,,,31.0,67.4,0.0,36,Jaren Hall QB,46.0,420.0,,151.3,,,,5.0,-26.0,1,65,QB,byu-cougars
3,6.1,,,9.0,75.0,0.0,23,Joe Critchlow QB,12.0,73.0,,126.1,,,,1.0,-5.0,0,65,QB,byu-cougars
4,19.0,,,2.0,66.7,0.0,44,Micah Simon WR,3.0,57.0,,336.3,,,,0.0,0.0,1,65,WR,byu-cougars
5,22.0,,,1.0,100.0,0.0,22,Aleva Hifo WR,1.0,22.0,,284.8,,,,0.0,0.0,0,65,WR,byu-cougars
7,,,6.1,,,,46,Sione Finau RB,,,,,,59.0,359.0,,,2,65,RB,byu-cougars
8,,,4.2,,,,16,Lopini Katoa RB,,,,,,85.0,358.0,,,4,65,RB,byu-cougars
9,,,9.4,,,,20,Micah Simon WR,,,,,,5.0,47.0,,,2,65,WR,byu-cougars
10,,,4.0,,,,6,Dax Milne WR,,,,,,4.0,16.0,,,0,65,WR,byu-cougars
11,,,2.0,,,,4,Masen Wake TE,,,,,,3.0,6.0,,,0,65,TE,byu-cougars
12,,,2.0,,,,3,Alec Wyble-Meza RB,,,,,,3.0,6.0,,,0,65,RB,byu-cougars
13,,,6.0,,,,6,Gunner Romney WR,,,,,,1.0,6.0,,,0,65,WR,byu-cougars
14,,,2.0,,,,2,Austin Kafentzis DB,,,,,,2.0,4.0,,,0,65,DB,byu-cougars
15,,,1.0,,,,1,Dayan Ghanwoloku DB,,,,,,3.0,3.0,,,1,65,DB,byu-cougars
16,,,3.0,,,,3,Khyiris Tonga DL,,,,,,1.0,3.0,,,1,65,DL,byu-cougars
17,,,0.30000000000000004,,,,3,Tevita Ika WR,,,,,,3.0,1.0,,,0,65,WR,byu-cougars
18,,,-1.5,,,,2,Joe Critchlow QB,,,,,,2.0,-3.0,,,0,65,QB,byu-cougars
19,,,11.0,,,,62,Jackson McChesney RB,,,,,,25.0,274.0,,,2,65,RB,byu-cougars
20,,,-4.0,,,,0,Jake Oldroyd PK,,,,,,1.0,-4.0,,,0,65,PK,byu-cougars
22,,,5.4,,,,26,Ty'Son Williams RB,,,,,,49.0,264.0,,,3,65,RB,byu-cougars
23,,,4.1,,,,32,Emmanuel Esukpa RB,,,,,,46.0,190.0,,,2,65,RB,byu-cougars
24,,,2.5,,,,26,Zach Wilson QB,,,,,,67.0,167.0,,,3,65,QB,byu-cougars
25,,,4.8,,,,32,Jaren Hall QB,,,,,,29.0,139.0,,,3,65,QB,byu-cougars
26,,,7.0,,,,36,Tyler Allgeier LB,,,,,,17.0,119.0,,,0,65,LB,byu-cougars
27,,,4.5,,,,13,Aleva Hifo WR,,,,,,23.0,104.0,,,2,65,WR,byu-cougars
28,,,2.5,,,,18,Baylor Romney QB,,,,,,24.0,59.0,,,0,65,QB,byu-cougars
29,,14.6,,,,,44,Matt Bushman TE,,,47.0,,688.0,,,,,4,65,TE,byu-cougars
30,,12.1,,,,,64,Micah Simon WR,,,50.0,,605.0,,,,,2,65,WR,byu-cougars
31,,13.3,,,,,17,Keanu Hill WR,,,3.0,,40.0,,,,,0,65,WR,byu-cougars
32,,7.3,,,,,13,Sione Finau RB,,,4.0,,29.0,,,,,0,65,RB,byu-cougars
33,,9.3,,,,,18,Tevita Ika WR,,,3.0,,28.0,,,,,0,65,WR,byu-cougars
34,,23.0,,,,,23,Isaac Rex TE,,,1.0,,23.0,,,,,0,65,TE,byu-cougars
35,,19.0,,,,,19,Zach Wilson QB,,,1.0,,19.0,,,,,0,65,QB,byu-cougars
36,,13.0,,,,,13,Baylor Romney QB,,,1.0,,13.0,,,,,0,65,QB,byu-cougars
37,,6.0,,,,,6,Emmanuel Esukpa RB,,,2.0,,12.0,,,,,0,65,RB,byu-cougars
38,,8.0,,,,,8,Carter Wheat TE,,,1.0,,8.0,,,,,0,65,TE,byu-cougars
39,,-3.5,,,,,0,Jackson McChesney RB,,,2.0,,-7.0,,,,,0,65,RB,byu-cougars
41,,13.0,,,,,48,Talon Shumway WR,,,43.0,,561.0,,,,,4,65,WR,byu-cougars
42,,11.5,,,,,75,Aleva Hifo WR,,,43.0,,494.0,,,,,3,65,WR,byu-cougars
43,,12.2,,,,,43,Gunner Romney WR,,,31.0,,377.0,,,,,2,65,WR,byu-cougars
44,,12.0,,,,,77,Lopini Katoa RB,,,24.0,,288.0,,,,,1,65,RB,byu-cougars
45,,13.6,,,,,36,Dax Milne WR,,,21.0,,285.0,,,,,2,65,WR,byu-cougars
46,,13.8,,,,,27,Moroni Laulu-Pututau TE,,,9.0,,124.0,,,,,1,65,TE,byu-cougars
47,,22.3,,,,,57,Tyler Allgeier LB,,,3.0,,67.0,,,,,1,65,LB,byu-cougars
48,,6.7,,,,,18,Ty'Son Williams RB,,,7.0,,47.0,,,,,0,65,RB,byu-cougars
