,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.9,,,190.0,64.6,9.0,61,Quinten Dormady QB,294.0,2312.0,,140.3,,,,14.0,-87.0,14,74,QB,central-michigan-chippewas
1,7.0,,,94.0,57.3,4.0,80,David Moore QB,164.0,1143.0,,121.0,,,,7.0,-64.0,5,74,QB,central-michigan-chippewas
2,5.9,,,4.0,50.0,0.0,24,Tommy Lazzaro QB,8.0,47.0,,99.3,,,,0.0,0.0,0,74,QB,central-michigan-chippewas
3,14.0,,,1.0,50.0,0.0,28,Kalil Pimpleton WR,2.0,28.0,,167.6,,,,0.0,0.0,0,74,WR,central-michigan-chippewas
4,0.30000000000000004,,,1.0,33.3,0.0,1,Daniel Richardson QB,3.0,1.0,,36.1,,,,0.0,0.0,0,74,QB,central-michigan-chippewas
5,0.0,,,0.0,0.0,0.0,0,- Team -,1.0,0.0,,0.0,,,,0.0,0.0,0,74,-,central-michigan-chippewas
6,0.0,,,0.0,0.0,0.0,0,Kaden Keon PK,1.0,0.0,,0.0,,,,0.0,0.0,0,74,PK,central-michigan-chippewas
8,,,6.1,,,,86,Jonathan Ward RB,,,,,,183.0,1108.0,,,15,74,RB,central-michigan-chippewas
9,,,5.9,,,,75,Kobe Lewis RB,,,,,,182.0,1074.0,,,12,74,RB,central-michigan-chippewas
10,,,0.0,,,,4,Thaddeus Cornick RB,,,,,,3.0,0.0,,,0,74,RB,central-michigan-chippewas
11,,,-0.1,,,,12,David Moore QB,,,,,,22.0,-3.0,,,1,74,QB,central-michigan-chippewas
12,,,-3.7,,,,0,- Team -,,,,,,10.0,-37.0,,,0,74,-,central-michigan-chippewas
13,,,-1.1,,,,12,Quinten Dormady QB,,,,,,35.0,-39.0,,,0,74,QB,central-michigan-chippewas
15,,,4.5,,,,21,Tommy Lazzaro QB,,,,,,36.0,161.0,,,8,74,QB,central-michigan-chippewas
16,,,4.7,,,,15,Lew Nichols RB,,,,,,19.0,89.0,,,0,74,RB,central-michigan-chippewas
17,,,3.5,,,,8,Kumehnnu Gwilly RB,,,,,,24.0,83.0,,,0,74,RB,central-michigan-chippewas
18,,,11.6,,,,32,Kalil Pimpleton WR,,,,,,7.0,81.0,,,0,74,WR,central-michigan-chippewas
19,,,15.0,,,,15,Tyrone Scott WR,,,,,,1.0,15.0,,,0,74,WR,central-michigan-chippewas
20,,,2.0,,,,3,Romello Ross RB,,,,,,2.0,4.0,,,0,74,RB,central-michigan-chippewas
21,,,3.0,,,,3,Daniel Richardson QB,,,,,,1.0,3.0,,,0,74,QB,central-michigan-chippewas
22,,,0.0,,,,0,Oakley Lavallii FB,,,,,,1.0,0.0,,,0,74,FB,central-michigan-chippewas
23,,10.9,,,,,80,Kalil Pimpleton WR,,,82.0,,894.0,,,,,6,74,WR,central-michigan-chippewas
24,,14.2,,,,,37,JaCorey Sullivan WR,,,57.0,,808.0,,,,,3,74,WR,central-michigan-chippewas
25,,8.0,,,,,8,Adam Jones WR,,,1.0,,8.0,,,,,0,74,WR,central-michigan-chippewas
26,,7.0,,,,,7,Joel Wilson TE,,,1.0,,7.0,,,,,0,74,TE,central-michigan-chippewas
27,,6.0,,,,,6,Oakley Lavallii FB,,,1.0,,6.0,,,,,0,74,FB,central-michigan-chippewas
28,,5.0,,,,,5,Mark Patritto WR,,,1.0,,5.0,,,,,0,74,WR,central-michigan-chippewas
30,,17.6,,,,,48,Tyrone Scott WR,,,37.0,,650.0,,,,,5,74,WR,central-michigan-chippewas
31,,15.0,,,,,53,Tony Poljan TE,,,33.0,,496.0,,,,,4,74,TE,central-michigan-chippewas
32,,9.7,,,,,64,Jonathan Ward RB,,,34.0,,329.0,,,,,1,74,RB,central-michigan-chippewas
33,,7.1,,,,,33,Kobe Lewis RB,,,23.0,,164.0,,,,,0,74,RB,central-michigan-chippewas
34,,7.6,,,,,21,Bernhard Raimann TE,,,10.0,,76.0,,,,,0,74,TE,central-michigan-chippewas
35,,9.0,,,,,12,Keonta Nixon WR,,,6.0,,54.0,,,,,0,74,WR,central-michigan-chippewas
36,,8.3,,,,,13,Drayton Law WR,,,3.0,,25.0,,,,,0,74,WR,central-michigan-chippewas
37,,9.0,,,,,9,Da'Quaun Jamison DB,,,1.0,,9.0,,,,,0,74,DB,central-michigan-chippewas
