,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.7,,,179.0,55.1,9.0,75,Desmond Ridder QB,325.0,2164.0,,123.7,,,,28.0,-197.0,18,0,QB,cincinnati-bearcats
1,7.6,,,29.0,56.9,2.0,56,Ben Bryant QB,51.0,388.0,,119.4,,,,7.0,-37.0,1,0,QB,cincinnati-bearcats
3,,,4.8,,,,73,Michael Warren II RB,,,,,,261.0,1265.0,,,14,0,RB,cincinnati-bearcats
4,,,4.5,,,,49,Desmond Ridder QB,,,,,,144.0,650.0,,,5,0,QB,cincinnati-bearcats
5,,,2.0,,,,2,Jake Sopko QB,,,,,,1.0,2.0,,,0,0,QB,cincinnati-bearcats
7,,,5.3,,,,53,Gerrid Doaks RB,,,,,,100.0,526.0,,,5,0,RB,cincinnati-bearcats
8,,,4.8,,,,38,Tavion Thomas RB,,,,,,40.0,190.0,,,1,0,RB,cincinnati-bearcats
9,,,5.3,,,,26,Ryan Montgomery RB,,,,,,20.0,106.0,,,2,0,RB,cincinnati-bearcats
10,,,11.6,,,,32,Tre Tucker WR,,,,,,8.0,93.0,,,0,0,WR,cincinnati-bearcats
11,,,1.6,,,,21,Ben Bryant QB,,,,,,22.0,35.0,,,1,0,QB,cincinnati-bearcats
12,,,3.7,,,,12,Michael Kopaygorodsky RB,,,,,,7.0,26.0,,,1,0,RB,cincinnati-bearcats
13,,,12.5,,,,24,Rashad Medaris WR,,,,,,2.0,25.0,,,0,0,WR,cincinnati-bearcats
14,,,13.0,,,,13,Wilson Huber TE,,,,,,1.0,13.0,,,0,0,TE,cincinnati-bearcats
15,,17.6,,,,,52,Alec Pierce WR,,,37.0,,652.0,,,,,2,0,WR,cincinnati-bearcats
16,,12.9,,,,,73,Josiah Deguara TE,,,39.0,,504.0,,,,,7,0,TE,cincinnati-bearcats
17,,9.3,,,,,20,Leonard Taylor TE,,,4.0,,37.0,,,,,1,0,TE,cincinnati-bearcats
18,,4.9,,,,,10,Trent Cloud WR,,,7.0,,34.0,,,,,1,0,WR,cincinnati-bearcats
19,,9.5,,,,,11,Blue Smith WR,,,2.0,,19.0,,,,,0,0,WR,cincinnati-bearcats
20,,4.5,,,,,5,Bruno Labelle TE,,,2.0,,9.0,,,,,1,0,TE,cincinnati-bearcats
21,,7.0,,,,,7,Wyatt Fischer WR,,,1.0,,7.0,,,,,0,0,WR,cincinnati-bearcats
22,,7.0,,,,,7,Myjai Sanders DE,,,1.0,,7.0,,,,,0,0,DE,cincinnati-bearcats
23,,6.0,,,,,6,Tavion Thomas RB,,,1.0,,6.0,,,,,0,0,RB,cincinnati-bearcats
25,,14.2,,,,,75,Rashad Medaris WR,,,25.0,,354.0,,,,,2,0,WR,cincinnati-bearcats
26,,10.8,,,,,32,Malick Mbodj WR,,,23.0,,249.0,,,,,1,0,WR,cincinnati-bearcats
27,,10.1,,,,,24,Jayshon Jackson WR,,,17.0,,171.0,,,,,0,0,WR,cincinnati-bearcats
28,,7.3,,,,,30,Michael Warren II RB,,,21.0,,153.0,,,,,2,0,RB,cincinnati-bearcats
29,,12.5,,,,,51,Thomas Geddis WR,,,11.0,,137.0,,,,,1,0,WR,cincinnati-bearcats
30,,13.1,,,,,56,Tre Tucker WR,,,7.0,,92.0,,,,,0,0,WR,cincinnati-bearcats
31,,8.8,,,,,28,Gerrid Doaks RB,,,8.0,,70.0,,,,,1,0,RB,cincinnati-bearcats
32,,25.5,,,,,32,Josh Whyle TE,,,2.0,,51.0,,,,,0,0,TE,cincinnati-bearcats
