,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.6,,,119.0,63.6,7.0,44,Fred Payton QB,187.0,1421.0,,141.2,,,,10.0,-52.0,12,122,QB,coastal-carolina-chanticleers
1,6.5,,,93.0,65.5,2.0,51,Bryce Carpenter QB,142.0,927.0,,136.1,,,,10.0,-71.0,8,122,QB,coastal-carolina-chanticleers
2,6.3,,,4.0,100.0,0.0,14,Grayson McCall QB,4.0,25.0,,235.0,,,,0.0,0.0,1,122,QB,coastal-carolina-chanticleers
3,6.0,,,1.0,100.0,0.0,6,Jarrett Guest QB,1.0,6.0,,150.4,,,,0.0,0.0,0,122,QB,coastal-carolina-chanticleers
5,,,5.3,,,,75,CJ Marable RB,,,,,,204.0,1085.0,,,11,122,RB,coastal-carolina-chanticleers
6,,,3.6,,,,45,Bryce Carpenter QB,,,,,,109.0,390.0,,,1,122,QB,coastal-carolina-chanticleers
7,,,4.5,,,,10,T'Qele Holmes WR,,,,,,2.0,9.0,,,0,122,WR,coastal-carolina-chanticleers
8,,,7.0,,,,7,Jarrett Guest QB,,,,,,1.0,7.0,,,0,122,QB,coastal-carolina-chanticleers
9,,,6.0,,,,6,Jai Williams WR,,,,,,1.0,6.0,,,0,122,WR,coastal-carolina-chanticleers
10,,,4.0,,,,4,C.J. Brewer DT,,,,,,1.0,4.0,,,0,122,DT,coastal-carolina-chanticleers
11,,,-5.0,,,,0,Greg Latushko WR,,,,,,1.0,-5.0,,,0,122,WR,coastal-carolina-chanticleers
12,,,-4.0,,,,0,Ky'Jon Tyler WR,,,,,,4.0,-16.0,,,0,122,WR,coastal-carolina-chanticleers
14,,,4.6,,,,55,Jacqez Hairston RB,,,,,,79.0,360.0,,,6,122,RB,coastal-carolina-chanticleers
15,,,3.4,,,,37,Fred Payton QB,,,,,,54.0,181.0,,,2,122,QB,coastal-carolina-chanticleers
16,,,4.6,,,,35,Reese White RB,,,,,,36.0,167.0,,,3,122,RB,coastal-carolina-chanticleers
17,,,15.0,,,,29,Aaron Bedgood WR,,,,,,4.0,60.0,,,0,122,WR,coastal-carolina-chanticleers
18,,,8.6,,,,20,Kered Class RB,,,,,,5.0,43.0,,,0,122,RB,coastal-carolina-chanticleers
19,,,10.3,,,,17,Anthony McAfee RB,,,,,,3.0,31.0,,,1,122,RB,coastal-carolina-chanticleers
20,,,2.3,,,,8,Baden Pinson RB,,,,,,10.0,23.0,,,0,122,RB,coastal-carolina-chanticleers
21,,,5.5,,,,7,Grayson McCall QB,,,,,,2.0,11.0,,,0,122,QB,coastal-carolina-chanticleers
22,,10.8,,,,,23,Jaivon Heiligh WR,,,46.0,,497.0,,,,,3,122,WR,coastal-carolina-chanticleers
23,,13.5,,,,,51,Isaiah Likely TE,,,32.0,,431.0,,,,,5,122,TE,coastal-carolina-chanticleers
24,,9.5,,,,,21,Aaron Bedgood WR,,,8.0,,76.0,,,,,1,122,WR,coastal-carolina-chanticleers
25,,44.0,,,,,44,Sam Denmark WR,,,1.0,,44.0,,,,,1,122,WR,coastal-carolina-chanticleers
26,,14.0,,,,,14,Patrick McSweeney TE,,,1.0,,14.0,,,,,0,122,TE,coastal-carolina-chanticleers
27,,4.3,,,,,6,Josh Anderson WR,,,3.0,,13.0,,,,,0,122,WR,coastal-carolina-chanticleers
28,,5.5,,,,,10,Deon Fountain WR,,,2.0,,11.0,,,,,0,122,WR,coastal-carolina-chanticleers
29,,6.0,,,,,6,Michael McFarlane TE,,,1.0,,6.0,,,,,0,122,TE,coastal-carolina-chanticleers
31,,7.8,,,,,32,CJ Marable RB,,,38.0,,295.0,,,,,3,122,RB,coastal-carolina-chanticleers
32,,13.1,,,,,36,Jeremiah Miller WR,,,19.0,,248.0,,,,,1,122,WR,coastal-carolina-chanticleers
33,,8.8,,,,,34,Ky'Jon Tyler WR,,,23.0,,203.0,,,,,1,122,WR,coastal-carolina-chanticleers
34,,15.1,,,,,46,Jai Williams WR,,,9.0,,136.0,,,,,2,122,WR,coastal-carolina-chanticleers
35,,15.3,,,,,51,Larry Collins Jr. WR,,,8.0,,122.0,,,,,0,122,WR,coastal-carolina-chanticleers
36,,8.6,,,,,23,T'Qele Holmes WR,,,13.0,,112.0,,,,,0,122,WR,coastal-carolina-chanticleers
37,,22.5,,,,,41,Reese White RB,,,4.0,,90.0,,,,,2,122,RB,coastal-carolina-chanticleers
38,,9.0,,,,,16,Shadell Bell TE,,,9.0,,81.0,,,,,2,122,TE,coastal-carolina-chanticleers
