,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,5.8,,,209.0,58.5,11.0,49,Quentin Harris QB,357.0,2078.0,,116.1,,,,28.0,-140.0,16,14,QB,duke-blue-devils
1,3.8,,,3.0,23.1,1.0,23,Chris Katrenick QB,13.0,49.0,,64.7,,,,0.0,0.0,1,14,QB,duke-blue-devils
2,25.0,,,1.0,100.0,0.0,25,Jalon Calhoun WR,1.0,25.0,,640.0,,,,0.0,0.0,1,14,WR,duke-blue-devils
3,0.0,,,0.0,0.0,1.0,0,Deon Jackson RB,1.0,0.0,,-200.0,,,,0.0,0.0,0,14,RB,duke-blue-devils
4,0.0,,,0.0,0.0,0.0,0,Jake Bobo WR,1.0,0.0,,0.0,,,,0.0,0.0,0,14,WR,duke-blue-devils
5,0.0,,,0.0,0.0,0.0,0,Austin Parker P,1.0,0.0,,0.0,,,,0.0,0.0,0,14,P,duke-blue-devils
6,0.0,,,0.0,0.0,1.0,0,Aaron Young WR,2.0,0.0,,-100.0,,,,0.0,0.0,0,14,WR,duke-blue-devils
7,0.0,,,0.0,0.0,0.0,0,-,2.0,0.0,,0.0,,,,0.0,0.0,0,14,-,duke-blue-devils
9,,,3.7,,,,32,Deon Jackson RB,,,,,,172.0,641.0,,,6,14,RB,duke-blue-devils
10,,,3.2,,,,65,Quentin Harris QB,,,,,,160.0,510.0,,,7,14,QB,duke-blue-devils
11,,,0.5,,,,3,Jalon Calhoun WR,,,,,,4.0,2.0,,,0,14,WR,duke-blue-devils
12,,,-5.8,,,,0,-,,,,,,8.0,-46.0,,,0,14,-,duke-blue-devils
14,,,4.8,,,,42,Mataeo Durant RB,,,,,,97.0,461.0,,,1,14,RB,duke-blue-devils
15,,,4.7,,,,16,Brittain Brown RB,,,,,,12.0,56.0,,,0,14,RB,duke-blue-devils
16,,,3.6,,,,11,Chris Katrenick QB,,,,,,13.0,47.0,,,1,14,QB,duke-blue-devils
17,,,15.0,,,,28,Austin Parker P,,,,,,3.0,45.0,,,0,14,P,duke-blue-devils
18,,,2.8,,,,23,Jaylen Coleman RB,,,,,,15.0,42.0,,,0,14,RB,duke-blue-devils
19,,,6.7,,,,9,Eli Pancol WR,,,,,,3.0,20.0,,,1,14,WR,duke-blue-devils
20,,,3.0,,,,7,Elijah Deveaux RB,,,,,,6.0,18.0,,,0,14,RB,duke-blue-devils
21,,,4.0,,,,7,Jordan Waters RB,,,,,,2.0,8.0,,,0,14,RB,duke-blue-devils
22,,9.1,,,,,49,Jalon Calhoun WR,,,46.0,,420.0,,,,,4,14,WR,duke-blue-devils
23,,7.7,,,,,23,Noah Gray TE,,,51.0,,392.0,,,,,3,14,TE,duke-blue-devils
24,,6.5,,,,,10,Brittain Brown RB,,,2.0,,13.0,,,,,0,14,RB,duke-blue-devils
25,,7.0,,,,,7,Jake Marwede TE,,,1.0,,7.0,,,,,0,14,TE,duke-blue-devils
27,,12.7,,,,,29,Aaron Young WR,,,29.0,,367.0,,,,,3,14,WR,duke-blue-devils
28,,12.9,,,,,37,Scott Bracey WR,,,21.0,,270.0,,,,,2,14,WR,duke-blue-devils
29,,9.1,,,,,44,Deon Jackson RB,,,21.0,,192.0,,,,,2,14,RB,duke-blue-devils
30,,16.3,,,,,41,Darrell Harding Jr. WR,,,8.0,,130.0,,,,,0,14,WR,duke-blue-devils
31,,12.2,,,,,17,Jake Bobo WR,,,10.0,,122.0,,,,,0,14,WR,duke-blue-devils
32,,7.3,,,,,22,Mataeo Durant RB,,,16.0,,117.0,,,,,1,14,RB,duke-blue-devils
33,,15.2,,,,,39,Eli Pancol WR,,,6.0,,91.0,,,,,3,14,WR,duke-blue-devils
34,,15.5,,,,,26,Damond Philyaw-Johnson WR,,,2.0,,31.0,,,,,0,14,WR,duke-blue-devils
