,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.3,,,237.0,66.9,7.0,66,Kyle Trask QB,354.0,2941.0,,156.1,,,,22.0,-163.0,25,109,QB,florida-gators
1,9.8,,,54.0,76.1,3.0,69,Feleipe Franks QB,71.0,698.0,,173.4,,,,3.0,-15.0,5,109,QB,florida-gators
2,7.0,,,25.0,65.8,0.0,48,Emory Jones QB,38.0,267.0,,150.9,,,,0.0,0.0,3,109,QB,florida-gators
3,4.0,,,1.0,100.0,0.0,4,Lucas Krull TE,1.0,4.0,,133.6,,,,0.0,0.0,0,109,TE,florida-gators
4,0.0,,,0.0,0.0,0.0,0,Kadarius Toney WR,1.0,0.0,,0.0,,,,0.0,0.0,0,109,WR,florida-gators
5,0.0,,,0.0,0.0,0.0,0,Lamical Perine RB,1.0,0.0,,0.0,,,,0.0,0.0,0,109,RB,florida-gators
6,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0,109,-,florida-gators
8,,,5.1,,,,88,Lamical Perine RB,,,,,,132.0,676.0,,,6,109,RB,florida-gators
9,,,5.6,,,,75,Dameon Pierce RB,,,,,,54.0,305.0,,,4,109,RB,florida-gators
10,,,2.0,,,,5,Nay'Quan Wright RB,,,,,,12.0,24.0,,,0,109,RB,florida-gators
11,,,0.1,,,,16,Kyle Trask QB,,,,,,63.0,8.0,,,4,109,QB,florida-gators
12,,,7.0,,,,7,Van Jefferson WR,,,,,,1.0,7.0,,,0,109,WR,florida-gators
13,,,1.7000000000000002,,,,6,Tommy Townsend P,,,,,,3.0,5.0,,,0,109,P,florida-gators
14,,,-4.0,,,,0,Trevon Grimes WR,,,,,,1.0,-4.0,,,0,109,WR,florida-gators
15,,,-1.2,,,,0,-,,,,,,6.0,-7.0,,,0,109,-,florida-gators
17,,,6.1,,,,29,Emory Jones QB,,,,,,42.0,256.0,,,4,109,QB,florida-gators
18,,,16.8,,,,76,Josh Hammond WR,,,,,,6.0,101.0,,,1,109,WR,florida-gators
19,,,2.5,,,,12,Malik Davis RB,,,,,,34.0,86.0,,,1,109,RB,florida-gators
20,,,3.2,,,,22,Feleipe Franks QB,,,,,,21.0,68.0,,,1,109,QB,florida-gators
21,,,4.9,,,,26,Kadarius Toney WR,,,,,,12.0,59.0,,,0,109,WR,florida-gators
22,,,16.0,,,,41,Iverson Clement RB,,,,,,3.0,48.0,,,0,109,RB,florida-gators
23,,,7.0,,,,15,Jacob Copeland WR,,,,,,4.0,28.0,,,0,109,WR,florida-gators
24,,,6.8,,,,10,Freddie Swain WR,,,,,,4.0,27.0,,,0,109,WR,florida-gators
25,,13.4,,,,,69,Van Jefferson WR,,,49.0,,657.0,,,,,6,109,WR,florida-gators
26,,12.0,,,,,32,Kyle Pitts TE,,,54.0,,649.0,,,,,5,109,TE,florida-gators
27,,11.0,,,,,20,Lucas Krull TE,,,3.0,,33.0,,,,,0,109,TE,florida-gators
28,,10.3,,,,,25,Keon Zipperer TE,,,3.0,,31.0,,,,,1,109,TE,florida-gators
29,,7.5,,,,,18,Dameon Pierce RB,,,4.0,,30.0,,,,,0,109,RB,florida-gators
30,,13.5,,,,,24,Rick Wells WR,,,2.0,,27.0,,,,,0,109,WR,florida-gators
31,,4.0,,,,,4,Nay'Quan Wright RB,,,1.0,,4.0,,,,,0,109,RB,florida-gators
32,,4.0,,,,,4,Kyle Trask QB,,,1.0,,4.0,,,,,0,109,QB,florida-gators
34,,13.6,,,,,64,Freddie Swain WR,,,38.0,,517.0,,,,,7,109,WR,florida-gators
35,,14.9,,,,,66,Trevon Grimes WR,,,33.0,,491.0,,,,,3,109,WR,florida-gators
36,,14.0,,,,,36,Tyrie Cleveland WR,,,25.0,,351.0,,,,,1,109,WR,florida-gators
37,,12.8,,,,,65,Josh Hammond WR,,,27.0,,346.0,,,,,2,109,WR,florida-gators
38,,13.0,,,,,37,Jacob Copeland WR,,,21.0,,273.0,,,,,2,109,WR,florida-gators
39,,6.6,,,,,30,Lamical Perine RB,,,40.0,,262.0,,,,,5,109,RB,florida-gators
40,,19.4,,,,,66,Kadarius Toney WR,,,10.0,,194.0,,,,,1,109,WR,florida-gators
41,,6.8,,,,,10,Malik Davis RB,,,6.0,,41.0,,,,,0,109,RB,florida-gators
