,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.2,,,207.0,58.0,5.0,61,James Morgan QB,357.0,2560.0,,128.4,,,,12.0,-74.0,14,52,QB,florida-international-panthers
1,6.4,,,15.0,55.6,0.0,40,Kaylan Wiggins QB,27.0,172.0,,109.1,,,,2.0,-10.0,0,52,QB,florida-international-panthers
2,11.0,,,1.0,50.0,0.0,22,Maurice Alexander WR,2.0,22.0,,142.4,,,,0.0,0.0,0,52,WR,florida-international-panthers
3,0.0,,,0.0,0.0,1.0,0,Alec Hallman P,1.0,0.0,,-200.0,,,,0.0,0.0,0,52,P,florida-international-panthers
4,0.0,,,0.0,0.0,0.0,0,Anthony Jones RB,1.0,0.0,,0.0,,,,0.0,0.0,0,52,RB,florida-international-panthers
6,,,4.6,,,,65,Anthony Jones RB,,,,,,187.0,867.0,,,9,52,RB,florida-international-panthers
7,,,5.3,,,,75,Napoleon Maxwell RB,,,,,,128.0,675.0,,,9,52,RB,florida-international-panthers
8,,,-5.0,,,,0,Josh Turner DB,,,,,,1.0,-5.0,,,0,52,DB,florida-international-panthers
9,,,-18.0,,,,0,Tommy Heatherly P,,,,,,2.0,-36.0,,,0,52,P,florida-international-panthers
10,,,-1.3,,,,15,James Morgan QB,,,,,,32.0,-40.0,,,2,52,QB,florida-international-panthers
12,,,6.6,,,,70,Kaylan Wiggins QB,,,,,,49.0,323.0,,,3,52,QB,florida-international-panthers
13,,,5.0,,,,34,D'Vonte Price RB,,,,,,50.0,249.0,,,0,52,RB,florida-international-panthers
14,,,4.8,,,,9,Lexington Joseph RB,,,,,,10.0,48.0,,,0,52,RB,florida-international-panthers
15,,,4.7,,,,14,Maurice Alexander WR,,,,,,9.0,42.0,,,0,52,WR,florida-international-panthers
16,,,4.0,,,,7,Shaun Peterson Jr. RB,,,,,,8.0,32.0,,,0,52,RB,florida-international-panthers
17,,,15.0,,,,15,Nate Jefferson WR,,,,,,1.0,15.0,,,0,52,WR,florida-international-panthers
18,,,2.0,,,,2,Alexy Jean-Baptiste DL,,,,,,1.0,2.0,,,0,52,DL,florida-international-panthers
19,,,1.0,,,,1,Demarcus Townsend RB,,,,,,1.0,1.0,,,0,52,RB,florida-international-panthers
20,,13.1,,,,,54,Shemar Thornton WR,,,51.0,,668.0,,,,,5,52,WR,florida-international-panthers
21,,19.4,,,,,59,Austin Maloney WR,,,33.0,,639.0,,,,,2,52,WR,florida-international-panthers
22,,12.0,,,,,12,David O'Meara TE,,,1.0,,12.0,,,,,0,52,TE,florida-international-panthers
24,,12.4,,,,,30,Tony Gaiter IV WR,,,50.0,,622.0,,,,,4,52,WR,florida-international-panthers
25,,11.9,,,,,46,Maurice Alexander WR,,,25.0,,298.0,,,,,1,52,WR,florida-international-panthers
26,,9.3,,,,,35,Sterling Palmer TE,,,22.0,,205.0,,,,,0,52,TE,florida-international-panthers
27,,12.3,,,,,61,Anthony Jones RB,,,10.0,,123.0,,,,,2,52,RB,florida-international-panthers
28,,7.2,,,,,23,Napoleon Maxwell RB,,,13.0,,94.0,,,,,0,52,RB,florida-international-panthers
29,,4.9,,,,,14,D'Vonte Price RB,,,10.0,,49.0,,,,,0,52,RB,florida-international-panthers
30,,9.0,,,,,15,Kamareon Williams FB,,,3.0,,27.0,,,,,0,52,FB,florida-international-panthers
31,,8.5,,,,,18,Cadarius Gaskin WR,,,2.0,,17.0,,,,,0,52,WR,florida-international-panthers
