,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.9,,,227.0,63.9,8.0,44,Dan Ellington QB,355.0,2447.0,,137.8,,,,19.0,-145.0,22,124,QB,georgia-state-panthers
1,4.6,,,11.0,39.3,1.0,34,Cornelious Brown QB,28.0,130.0,,71.1,,,,0.0,0.0,0,124,QB,georgia-state-panthers
2,0.0,,,0.0,0.0,0.0,0,Kierston Harvey QB,1.0,0.0,,0.0,,,,0.0,0.0,0,124,QB,georgia-state-panthers
3,0.0,,,0.0,0.0,0.0,0,Destin Coates RB,1.0,0.0,,0.0,,,,0.0,0.0,0,124,RB,georgia-state-panthers
5,,,5.9,,,,56,Tra Barnett RB,,,,,,248.0,1453.0,,,12,124,RB,georgia-state-panthers
6,,,4.2,,,,64,Dan Ellington QB,,,,,,160.0,668.0,,,6,124,QB,georgia-state-panthers
7,,,0.0,,,,0,Aubry Payne TE,,,,,,1.0,0.0,,,0,124,TE,georgia-state-panthers
8,,,-0.7000000000000001,,,,1,Darius Stubbs RB,,,,,,9.0,-6.0,,,0,124,RB,georgia-state-panthers
10,,,6.7,,,,67,Destin Coates RB,,,,,,82.0,546.0,,,7,124,RB,georgia-state-panthers
11,,,6.6,,,,65,Seth Paige RB,,,,,,61.0,405.0,,,4,124,RB,georgia-state-panthers
12,,,3.7,,,,20,Tucker Gregg RB,,,,,,15.0,56.0,,,1,124,RB,georgia-state-panthers
13,,,8.0,,,,15,Devin Gentry WR,,,,,,3.0,24.0,,,0,124,WR,georgia-state-panthers
14,,,3.8,,,,9,Cornelious Brown QB,,,,,,4.0,15.0,,,0,124,QB,georgia-state-panthers
15,,,5.0,,,,5,Matlin Marshall WR,,,,,,1.0,5.0,,,0,124,WR,georgia-state-panthers
16,,,4.0,,,,4,Cornelius McCoy WR,,,,,,1.0,4.0,,,0,124,WR,georgia-state-panthers
17,,,1.0,,,,1,Kierston Harvey QB,,,,,,1.0,1.0,,,0,124,QB,georgia-state-panthers
18,,10.8,,,,,44,Cornelius McCoy WR,,,70.0,,757.0,,,,,5,124,WR,georgia-state-panthers
19,,12.8,,,,,43,Sam Pinckney WR,,,36.0,,460.0,,,,,5,124,WR,georgia-state-panthers
20,,18.0,,,,,34,Cadarrius Thompson WR,,,2.0,,36.0,,,,,0,124,WR,georgia-state-panthers
21,,8.5,,,,,16,Jamari Thrash WR,,,2.0,,17.0,,,,,0,124,WR,georgia-state-panthers
22,,4.0,,,,,4,Donavon Grier WR,,,1.0,,4.0,,,,,0,124,WR,georgia-state-panthers
24,,11.9,,,,,31,Roger Carter TE,,,28.0,,334.0,,,,,3,124,TE,georgia-state-panthers
25,,11.4,,,,,44,Devin Gentry WR,,,25.0,,286.0,,,,,2,124,WR,georgia-state-panthers
26,,15.7,,,,,40,Aubry Payne TE,,,13.0,,204.0,,,,,6,124,TE,georgia-state-panthers
27,,10.2,,,,,37,Jonathan Ifedi WR,,,19.0,,193.0,,,,,0,124,WR,georgia-state-panthers
28,,9.1,,,,,14,Terrance Dixon WR,,,9.0,,82.0,,,,,1,124,WR,georgia-state-panthers
29,,7.5,,,,,18,Matlin Marshall WR,,,10.0,,75.0,,,,,0,124,WR,georgia-state-panthers
30,,4.3,,,,,12,Tra Barnett RB,,,16.0,,69.0,,,,,0,124,RB,georgia-state-panthers
31,,8.6,,,,,19,Destin Coates RB,,,7.0,,60.0,,,,,0,124,RB,georgia-state-panthers
