,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.1,,,326.0,63.8,14.0,59,Cole McDonald QB,511.0,4135.0,,147.6,,,,19.0,-128.0,33,86,QB,hawaii-rainbow-warriors
1,7.6,,,69.0,57.5,3.0,71,Chevan Cordeiro QB,120.0,907.0,,138.0,,,,7.0,-37.0,8,86,QB,hawaii-rainbow-warriors
2,4.7,,,1.0,33.3,0.0,14,Justin Uahinui QB,3.0,14.0,,182.5,,,,1.0,-8.0,1,86,QB,hawaii-rainbow-warriors
4,,,5.2,,,,31,Miles Reed RB,,,,,,174.0,908.0,,,8,86,RB,hawaii-rainbow-warriors
5,,,3.8,,,,76,Cole McDonald QB,,,,,,101.0,383.0,,,7,86,QB,hawaii-rainbow-warriors
6,,,0.0,,,,0,Melquise Stovall WR,,,,,,1.0,0.0,,,0,86,WR,hawaii-rainbow-warriors
7,,,-8.0,,,,0,Justin Uahinui QB,,,,,,1.0,-8.0,,,0,86,QB,hawaii-rainbow-warriors
9,,,5.6,,,,32,Fred Holly III RB,,,,,,52.0,292.0,,,2,86,RB,hawaii-rainbow-warriors
10,,,5.3,,,,26,Chevan Cordeiro QB,,,,,,40.0,212.0,,,3,86,QB,hawaii-rainbow-warriors
11,,,5.0,,,,23,Hekili Keliiliki RB,,,,,,17.0,85.0,,,0,86,RB,hawaii-rainbow-warriors
12,,,5.2,,,,17,Dayton Furuta RB,,,,,,13.0,67.0,,,1,86,RB,hawaii-rainbow-warriors
13,,,24.5,,,,42,Lincoln Victor WR,,,,,,2.0,49.0,,,0,86,WR,hawaii-rainbow-warriors
14,,,9.0,,,,29,Cedric Byrd II WR,,,,,,4.0,36.0,,,0,86,WR,hawaii-rainbow-warriors
15,,,4.3,,,,7,Jason-Matthew Sharsh WR,,,,,,3.0,13.0,,,0,86,WR,hawaii-rainbow-warriors
16,,,9.0,,,,9,Kana'i Picanco LB,,,,,,1.0,9.0,,,0,86,LB,hawaii-rainbow-warriors
17,,17.4,,,,,71,JoJo Ward WR,,,65.0,,1134.0,,,,,11,86,WR,hawaii-rainbow-warriors
18,,13.0,,,,,58,Jared Smart WR,,,87.0,,1129.0,,,,,5,86,WR,hawaii-rainbow-warriors
19,,4.0,,,,,8,Dayton Furuta RB,,,6.0,,24.0,,,,,0,86,RB,hawaii-rainbow-warriors
20,,19.0,,,,,19,Mekel Ealy WR,,,1.0,,19.0,,,,,0,86,WR,hawaii-rainbow-warriors
21,,5.3,,,,,6,Miles Reed RB,,,3.0,,16.0,,,,,0,86,RB,hawaii-rainbow-warriors
22,,3.5,,,,,10,Fred Holly III RB,,,2.0,,7.0,,,,,0,86,RB,hawaii-rainbow-warriors
23,,6.0,,,,,6,John Johnson WR,,,1.0,,6.0,,,,,0,86,WR,hawaii-rainbow-warriors
25,,11.2,,,,,46,Cedric Byrd II WR,,,98.0,,1097.0,,,,,10,86,WR,hawaii-rainbow-warriors
26,,10.5,,,,,30,Jason-Matthew Sharsh WR,,,87.0,,913.0,,,,,5,86,WR,hawaii-rainbow-warriors
27,,13.8,,,,,59,Melquise Stovall WR,,,18.0,,248.0,,,,,4,86,WR,hawaii-rainbow-warriors
28,,33.8,,,,,50,Nick Mardner WR,,,5.0,,169.0,,,,,2,86,WR,hawaii-rainbow-warriors
29,,30.0,,,,,57,Kumoku Noa WR,,,4.0,,120.0,,,,,1,86,WR,hawaii-rainbow-warriors
30,,8.6,,,,,17,Lincoln Victor WR,,,10.0,,86.0,,,,,3,86,WR,hawaii-rainbow-warriors
31,,10.4,,,,,18,James Phillips WR,,,5.0,,52.0,,,,,0,86,WR,hawaii-rainbow-warriors
32,,9.0,,,,,14,Robert Funkhouser WR,,,4.0,,36.0,,,,,1,86,WR,hawaii-rainbow-warriors
