,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.9,,,152.0,55.3,8.0,83,Brandon Peters QB,275.0,1884.0,,128.6,,,,24.0,-180.0,18,36,QB,illinois-fighting-illini
1,6.2,,,42.0,54.5,0.0,35,Matt Robinson QB,77.0,475.0,,110.7,,,,14.0,-106.0,1,36,QB,illinois-fighting-illini
2,3.8,,,3.0,30.0,1.0,25,Isaiah Williams QB,10.0,38.0,,41.9,,,,1.0,-3.0,0,36,QB,illinois-fighting-illini
3,12.0,,,1.0,100.0,0.0,12,Cam Miller QB,1.0,12.0,,200.8,,,,0.0,0.0,0,36,QB,illinois-fighting-illini
4,0.0,,,0.0,0.0,0.0,0,Casey Washington WR,1.0,0.0,,0.0,,,,0.0,0.0,0,36,WR,illinois-fighting-illini
5,0.0,,,0.0,0.0,0.0,0,Trenard Davis WR,1.0,0.0,,0.0,,,,0.0,0.0,0,36,WR,illinois-fighting-illini
7,,,4.7,,,,66,Reggie Corbin RB,,,,,,143.0,675.0,,,7,36,RB,illinois-fighting-illini
8,,,5.2,,,,44,Dre Brown RB,,,,,,113.0,584.0,,,5,36,RB,illinois-fighting-illini
9,,,4.0,,,,8,Conner Lillig RB,,,,,,2.0,8.0,,,0,36,RB,illinois-fighting-illini
10,,,6.0,,,,6,Donny Navarro WR,,,,,,1.0,6.0,,,0,36,WR,illinois-fighting-illini
11,,,2.0,,,,2,Trevon Sidney WR,,,,,,1.0,2.0,,,0,36,WR,illinois-fighting-illini
12,,,0.0,,,,0,Blake Hayes P,,,,,,1.0,0.0,,,0,36,P,illinois-fighting-illini
13,,,-2.0,,,,3,Dominic Stampley WR,,,,,,3.0,-6.0,,,0,36,WR,illinois-fighting-illini
14,,,-1.5,,,,11,Matt Robinson QB,,,,,,30.0,-45.0,,,1,36,QB,illinois-fighting-illini
16,,,3.5,,,,14,Ra'Von Bonner RB,,,,,,65.0,225.0,,,3,36,RB,illinois-fighting-illini
17,,,2.9,,,,54,Brandon Peters QB,,,,,,74.0,213.0,,,3,36,QB,illinois-fighting-illini
18,,,6.3,,,,50,Jakari Norwood RB,,,,,,15.0,94.0,,,0,36,RB,illinois-fighting-illini
19,,,3.7,,,,13,Kenyon Sims RB,,,,,,14.0,52.0,,,0,36,RB,illinois-fighting-illini
20,,,5.6,,,,14,Mike Epstein RB,,,,,,8.0,45.0,,,0,36,RB,illinois-fighting-illini
21,,,6.0,,,,14,Chase Brown RB,,,,,,3.0,18.0,,,0,36,RB,illinois-fighting-illini
22,,,1.8,,,,7,Isaiah Williams QB,,,,,,9.0,16.0,,,0,36,QB,illinois-fighting-illini
23,,,5.5,,,,6,Coran Taylor QB,,,,,,2.0,11.0,,,0,36,QB,illinois-fighting-illini
24,,19.2,,,,,83,Josh Imatorbhebhe WR,,,33.0,,634.0,,,,,9,36,WR,illinois-fighting-illini
25,,12.8,,,,,48,Donny Navarro WR,,,27.0,,345.0,,,,,2,36,WR,illinois-fighting-illini
26,,16.8,,,,,28,Ra'Von Bonner RB,,,4.0,,67.0,,,,,1,36,RB,illinois-fighting-illini
27,,21.5,,,,,30,Trenard Davis WR,,,2.0,,43.0,,,,,0,36,WR,illinois-fighting-illini
28,,15.5,,,,,31,Kyron Cumby WR,,,2.0,,31.0,,,,,0,36,WR,illinois-fighting-illini
29,,9.3,,,,,23,Reggie Corbin RB,,,3.0,,28.0,,,,,0,36,RB,illinois-fighting-illini
30,,5.5,,,,,8,Carlos Sandy WR,,,4.0,,22.0,,,,,0,36,WR,illinois-fighting-illini
31,,8.0,,,,,10,Jordan Holmes WR,,,2.0,,16.0,,,,,0,36,WR,illinois-fighting-illini
32,,7.0,,,,,12,Griffin Palmer TE,,,2.0,,14.0,,,,,0,36,TE,illinois-fighting-illini
33,,0.0,,,,,14,Richie Petitbon OL,,,0.0,,14.0,,,,,0,36,OL,illinois-fighting-illini
34,,3.0,,,,,4,Isaiah Williams QB,,,3.0,,9.0,,,,,0,36,QB,illinois-fighting-illini
35,,3.5,,,,,5,Kenyon Sims RB,,,2.0,,7.0,,,,,0,36,RB,illinois-fighting-illini
36,,15.2,,,,,52,Daniel Barker TE,,,18.0,,273.0,,,,,4,36,TE,illinois-fighting-illini
37,,-0.5,,,,,2,Jakari Norwood RB,,,2.0,,-1.0,,,,,0,36,RB,illinois-fighting-illini
39,,9.4,,,,,26,Ricky Smalling WR,,,24.0,,225.0,,,,,1,36,WR,illinois-fighting-illini
40,,9.7,,,,,33,Justice Williams TE,,,14.0,,136.0,,,,,1,36,TE,illinois-fighting-illini
41,,12.0,,,,,20,Casey Washington WR,,,11.0,,132.0,,,,,0,36,WR,illinois-fighting-illini
42,,7.7,,,,,16,Trevon Sidney WR,,,16.0,,123.0,,,,,1,36,WR,illinois-fighting-illini
43,,10.8,,,,,29,Caleb Reams WR,,,10.0,,108.0,,,,,0,36,WR,illinois-fighting-illini
44,,11.2,,,,,27,Dominic Stampley WR,,,9.0,,101.0,,,,,0,36,WR,illinois-fighting-illini
45,,8.2,,,,,15,Dre Brown RB,,,10.0,,82.0,,,,,0,36,RB,illinois-fighting-illini
