,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.2,,,226.0,60.9,11.0,75,Carter Stanley QB,371.0,2661.0,,136.6,,,,21.0,-144.0,24,28,QB,kansas-jayhawks
1,6.7,,,9.0,52.9,2.0,33,Manny Miles QB,17.0,114.0,,105.2,,,,2.0,-8.0,1,28,QB,kansas-jayhawks
2,0.0,,,0.0,0.0,1.0,0,Thomas MacVittie QB,1.0,0.0,,-200.0,,,,0.0,0.0,0,28,QB,kansas-jayhawks
4,,,5.1,,,,65,Pooka Williams Jr. RB,,,,,,203.0,1042.0,,,3,28,RB,kansas-jayhawks
5,,,8.9,,,,82,Khalil Herbert RB,,,,,,43.0,384.0,,,2,28,RB,kansas-jayhawks
6,,,0.30000000000000004,,,,1,Ben Miles FB,,,,,,3.0,1.0,,,0,28,FB,kansas-jayhawks
7,,,0.0,,,,0,Andrew Parchment WR,,,,,,1.0,0.0,,,0,28,WR,kansas-jayhawks
9,,,5.3,,,,45,Velton Gardner RB,,,,,,26.0,138.0,,,2,28,RB,kansas-jayhawks
10,,,1.0,,,,36,Carter Stanley QB,,,,,,67.0,68.0,,,1,28,QB,kansas-jayhawks
11,,,3.2,,,,27,Dom Williams RB,,,,,,20.0,63.0,,,0,28,RB,kansas-jayhawks
12,,,3.1,,,,13,Manny Miles QB,,,,,,7.0,22.0,,,1,28,QB,kansas-jayhawks
13,,,3.3,,,,6,Stephon Robinson Jr. WR,,,,,,4.0,13.0,,,0,28,WR,kansas-jayhawks
14,,,1.3,,,,2,Torry Locklin QB,,,,,,3.0,4.0,,,0,28,QB,kansas-jayhawks
15,,,1.0,,,,1,Hudson Hall FB,,,,,,1.0,1.0,,,1,28,FB,kansas-jayhawks
16,,,1.0,,,,1,Quan Hampton WR,,,,,,1.0,1.0,,,0,28,WR,kansas-jayhawks
17,,12.8,,,,,75,Andrew Parchment WR,,,65.0,,829.0,,,,,7,28,WR,kansas-jayhawks
18,,16.2,,,,,65,Stephon Robinson Jr. WR,,,45.0,,727.0,,,,,8,28,WR,kansas-jayhawks
19,,21.0,,,,,21,Evan Fairs WR,,,1.0,,21.0,,,,,0,28,WR,kansas-jayhawks
20,,9.5,,,,,10,Quan Hampton WR,,,2.0,,19.0,,,,,1,28,WR,kansas-jayhawks
21,,2.0,,,,,2,Spencer Roe FB,,,1.0,,2.0,,,,,1,28,FB,kansas-jayhawks
22,,2.0,,,,,2,Ben Miles FB,,,1.0,,2.0,,,,,0,28,FB,kansas-jayhawks
23,,-1.0,,,,,0,Khalil Herbert RB,,,1.0,,-1.0,,,,,0,28,RB,kansas-jayhawks
25,,12.5,,,,,32,Daylon Charlot WR,,,33.0,,412.0,,,,,2,28,WR,kansas-jayhawks
26,,10.4,,,,,36,Kwamie Lassiter II WR,,,34.0,,352.0,,,,,1,28,WR,kansas-jayhawks
27,,7.9,,,,,27,Pooka Williams Jr. RB,,,27.0,,214.0,,,,,2,28,RB,kansas-jayhawks
28,,10.3,,,,,20,James Sosinski TE,,,7.0,,72.0,,,,,1,28,TE,kansas-jayhawks
29,,7.7,,,,,19,Jack Luavasa TE,,,6.0,,46.0,,,,,1,28,TE,kansas-jayhawks
30,,16.0,,,,,23,Mason Fairchild TE,,,2.0,,32.0,,,,,0,28,TE,kansas-jayhawks
31,,4.0,,,,,11,Velton Gardner RB,,,6.0,,24.0,,,,,0,28,RB,kansas-jayhawks
32,,6.0,,,,,11,Takulve Williams WR,,,4.0,,24.0,,,,,1,28,WR,kansas-jayhawks
