,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.8,,,177.0,59.6,5.0,70,Skylar Thompson QB,297.0,2315.0,,135.0,,,,24.0,-121.0,12,29,QB,kansas-state-wildcats
1,9.3,,,3.0,100.0,0.0,12,Nick Ast QB,3.0,28.0,,178.4,,,,0.0,0.0,0,29,QB,kansas-state-wildcats
2,3.0,,,1.0,33.3,0.0,9,John Holcombe II QB,3.0,9.0,,58.5,,,,1.0,-7.0,0,29,QB,kansas-state-wildcats
4,,,5.2,,,,51,James Gilbert RB,,,,,,141.0,737.0,,,6,29,RB,kansas-state-wildcats
5,,,3.6,,,,61,Skylar Thompson QB,,,,,,114.0,405.0,,,11,29,QB,kansas-state-wildcats
6,,,3.7,,,,8,Phillip Brooks WR,,,,,,7.0,26.0,,,0,29,WR,kansas-state-wildcats
7,,,7.0,,,,7,Dylan Wentzel WR,,,,,,1.0,7.0,,,0,29,WR,kansas-state-wildcats
8,,,4.0,,,,4,Dalton Schoen WR,,,,,,1.0,4.0,,,0,29,WR,kansas-state-wildcats
9,,,3.0,,,,3,Wykeen Gill WR,,,,,,1.0,3.0,,,0,29,WR,kansas-state-wildcats
10,,,0.5,,,,2,Nick Ast QB,,,,,,2.0,1.0,,,0,29,QB,kansas-state-wildcats
11,,,-1.0,,,,0,Chris Herron QB,,,,,,1.0,-1.0,,,0,29,QB,kansas-state-wildcats
13,,,4.5,,,,50,Jordon Brown RB,,,,,,84.0,380.0,,,4,29,RB,kansas-state-wildcats
14,,,4.0,,,,17,Harry Trotter RB,,,,,,66.0,263.0,,,3,29,RB,kansas-state-wildcats
15,,,5.7,,,,19,Tyler Burns RB,,,,,,26.0,148.0,,,2,29,RB,kansas-state-wildcats
16,,,5.5,,,,37,Jacardia Wright RB,,,,,,22.0,122.0,,,1,29,RB,kansas-state-wildcats
17,,,4.1,,,,13,Joe Ervin RB,,,,,,23.0,95.0,,,1,29,RB,kansas-state-wildcats
18,,,5.5,,,,21,John Holcombe II QB,,,,,,13.0,71.0,,,0,29,QB,kansas-state-wildcats
19,,,10.0,,,,23,Malik Knowles WR,,,,,,7.0,70.0,,,0,29,WR,kansas-state-wildcats
20,,,5.0,,,,12,Joshua Youngblood WR,,,,,,11.0,55.0,,,1,29,WR,kansas-state-wildcats
21,,15.6,,,,,68,Dalton Schoen WR,,,37.0,,579.0,,,,,4,29,WR,kansas-state-wildcats
22,,14.7,,,,,70,Malik Knowles WR,,,27.0,,397.0,,,,,3,29,WR,kansas-state-wildcats
23,,8.2,,,,,16,James Gilbert RB,,,6.0,,49.0,,,,,0,29,RB,kansas-state-wildcats
24,,8.0,,,,,10,Jax Dineen FB,,,3.0,,24.0,,,,,0,29,FB,kansas-state-wildcats
25,,5.3,,,,,9,Harry Trotter RB,,,3.0,,16.0,,,,,0,29,RB,kansas-state-wildcats
26,,12.0,,,,,12,Seth Porter WR,,,1.0,,12.0,,,,,0,29,WR,kansas-state-wildcats
27,,3.3,,,,,5,Logan Long TE,,,3.0,,10.0,,,,,0,29,TE,kansas-state-wildcats
28,,7.0,,,,,7,Blaise Gammon TE,,,1.0,,7.0,,,,,0,29,TE,kansas-state-wildcats
29,,0.0,,,,,4,Adam Holtorf OL,,,0.0,,4.0,,,,,0,29,OL,kansas-state-wildcats
30,,-2.0,,,,,-2,Mason Barta FB,,,1.0,,-2.0,,,,,0,29,FB,kansas-state-wildcats
32,,17.1,,,,,44,Wykeen Gill WR,,,16.0,,273.0,,,,,2,29,WR,kansas-state-wildcats
33,,9.7,,,,,21,Phillip Brooks WR,,,26.0,,253.0,,,,,1,29,WR,kansas-state-wildcats
34,,12.5,,,,,24,Nick Lenners TE,,,13.0,,163.0,,,,,1,29,TE,kansas-state-wildcats
35,,16.1,,,,,48,Chabastin Taylor WR,,,10.0,,161.0,,,,,1,29,WR,kansas-state-wildcats
36,,9.9,,,,,23,Jordon Brown RB,,,14.0,,138.0,,,,,0,29,RB,kansas-state-wildcats
37,,16.7,,,,,35,Landry Weber WR,,,7.0,,117.0,,,,,0,29,WR,kansas-state-wildcats
38,,19.5,,,,,39,Samuel Wheeler TE,,,4.0,,78.0,,,,,0,29,TE,kansas-state-wildcats
39,,8.1,,,,,12,Joshua Youngblood WR,,,9.0,,73.0,,,,,0,29,WR,kansas-state-wildcats
