,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.5,,,249.0,57.8,7.0,73,Stephen Calvert QB,431.0,3663.0,,147.4,,,,25.0,-179.0,28,66,QB,liberty-flames
1,19.0,,,1.0,50.0,0.0,38,DJ Stubbs WR,2.0,38.0,,209.6,,,,1.0,-12.0,0,66,WR,liberty-flames
2,2.5,,,3.0,30.0,1.0,22,Landon Brown QB,10.0,25.0,,31.0,,,,0.0,0.0,0,66,QB,liberty-flames
3,6.3,,,2.0,66.7,0.0,14,Brandon Robinson QB,3.0,19.0,,229.9,,,,2.0,-8.0,1,66,QB,liberty-flames
4,2.2,,,2.0,40.0,0.0,7,Johnathan Bennett QB,5.0,11.0,,58.5,,,,0.0,0.0,0,66,QB,liberty-flames
6,,,5.6,,,,66,Frankie Hickson RB,,,,,,187.0,1041.0,,,12,66,RB,liberty-flames
7,,,5.8,,,,63,Joshua Mack RB,,,,,,133.0,774.0,,,7,66,RB,liberty-flames
8,,,-12.0,,,,0,DJ Stubbs WR,,,,,,1.0,-12.0,,,0,66,WR,liberty-flames
9,,,-3.8,,,,7,Stephen Calvert QB,,,,,,40.0,-151.0,,,0,66,QB,liberty-flames
11,,,8.1,,,,75,Brandon Robinson QB,,,,,,17.0,138.0,,,3,66,QB,liberty-flames
12,,,8.7,,,,59,Troy Henderson RB,,,,,,10.0,87.0,,,1,66,RB,liberty-flames
13,,,3.5,,,,14,Peytton Pickett RB,,,,,,24.0,83.0,,,2,66,RB,liberty-flames
14,,,5.3,,,,13,Frank Boyd RB,,,,,,4.0,21.0,,,0,66,RB,liberty-flames
15,,,6.0,,,,12,Michael Bollinger TE,,,,,,3.0,18.0,,,0,66,TE,liberty-flames
16,,,2.0,,,,2,Johnathan Bennett QB,,,,,,1.0,2.0,,,0,66,QB,liberty-flames
17,,,-5.0,,,,0,Shedro Louis WR,,,,,,1.0,-5.0,,,0,66,WR,liberty-flames
18,,,-7.0,,,,0,Landon Brown QB,,,,,,1.0,-7.0,,,0,66,QB,liberty-flames
19,,17.7,,,,,73,Antonio Gandy-Golden WR,,,79.0,,1396.0,,,,,10,66,WR,liberty-flames
20,,12.5,,,,,47,DJ Stubbs WR,,,32.0,,401.0,,,,,3,66,WR,liberty-flames
21,,8.7,,,,,27,Frankie Hickson RB,,,11.0,,96.0,,,,,1,66,RB,liberty-flames
22,,11.8,,,,,56,Peytton Pickett RB,,,6.0,,71.0,,,,,0,66,RB,liberty-flames
23,,9.4,,,,,15,Khaleb Coleman WR,,,5.0,,47.0,,,,,0,66,WR,liberty-flames
24,,8.3,,,,,15,Shedro Louis WR,,,4.0,,33.0,,,,,0,66,WR,liberty-flames
25,,11.0,,,,,18,Troy Henderson RB,,,3.0,,33.0,,,,,2,66,RB,liberty-flames
26,,22.0,,,,,22,Brody Brumm WR,,,1.0,,22.0,,,,,0,66,WR,liberty-flames
27,,19.0,,,,,19,Michael Bollinger TE,,,1.0,,19.0,,,,,1,66,TE,liberty-flames
28,,5.0,,,,,9,Jerome Jackson TE,,,3.0,,15.0,,,,,2,66,TE,liberty-flames
29,,5.0,,,,,7,Chris Barrett TE,,,2.0,,10.0,,,,,0,66,TE,liberty-flames
30,,8.0,,,,,8,Mason Yost TE,,,1.0,,8.0,,,,,0,66,TE,liberty-flames
31,,13.3,,,,,40,Kevin Shaa WR,,,26.0,,346.0,,,,,2,66,WR,liberty-flames
33,,19.4,,,,,53,Noah Frith WR,,,15.0,,291.0,,,,,3,66,WR,liberty-flames
34,,17.8,,,,,57,Johnny Huntley TE,,,11.0,,196.0,,,,,1,66,TE,liberty-flames
35,,9.0,,,,,23,Damian King WR,,,21.0,,189.0,,,,,0,66,WR,liberty-flames
36,,13.6,,,,,62,Joshua Mack RB,,,13.0,,177.0,,,,,0,66,RB,liberty-flames
37,,18.3,,,,,38,Zac Foutz TE,,,8.0,,146.0,,,,,3,66,TE,liberty-flames
38,,15.1,,,,,45,Demario Douglas WR,,,9.0,,136.0,,,,,1,66,WR,liberty-flames
39,,20.7,,,,,47,CJ Yarbrough WR,,,6.0,,124.0,,,,,0,66,WR,liberty-flames
