,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,11.5,,,112.0,62.6,5.0,90,Micale Cunningham QB,179.0,2065.0,,194.4,,,,25.0,-129.0,22,17,QB,louisville-cardinals
1,8.6,,,40.0,56.3,3.0,62,Evan Conley QB,71.0,613.0,,139.0,,,,10.0,-63.0,4,17,QB,louisville-cardinals
2,7.2,,,24.0,52.2,1.0,50,Jawon Pass QB,46.0,330.0,,136.8,,,,4.0,-28.0,4,17,QB,louisville-cardinals
3,8.3,,,1.0,25.0,0.0,33,Tutu Atwell WR,4.0,33.0,,176.8,,,,0.0,0.0,1,17,WR,louisville-cardinals
4,7.0,,,1.0,100.0,0.0,7,Ryan Chalifoux PK,1.0,7.0,,488.8,,,,0.0,0.0,1,17,PK,louisville-cardinals
5,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0,17,-,louisville-cardinals
7,,,5.8,,,,66,Javian Hawkins RB,,,,,,264.0,1525.0,,,9,17,RB,louisville-cardinals
8,,,4.6,,,,58,Hassan Hall RB,,,,,,108.0,501.0,,,5,17,RB,louisville-cardinals
10,,,4.0,,,,48,Micale Cunningham QB,,,,,,122.0,482.0,,,6,17,QB,louisville-cardinals
11,,,5.2,,,,24,Jawon Pass QB,,,,,,20.0,104.0,,,2,17,QB,louisville-cardinals
12,,,2.9,,,,41,Evan Conley QB,,,,,,30.0,88.0,,,1,17,QB,louisville-cardinals
13,,,5.4,,,,12,Maurice Burkley RB,,,,,,8.0,43.0,,,0,17,RB,louisville-cardinals
14,,,3.6,,,,11,Tutu Atwell WR,,,,,,8.0,29.0,,,0,17,WR,louisville-cardinals
15,,,9.0,,,,9,Tabarius Peterson DL,,,,,,1.0,9.0,,,0,17,DL,louisville-cardinals
16,,,1.0,,,,1,Trenell Troutman DB,,,,,,1.0,1.0,,,0,17,DB,louisville-cardinals
17,,,-2.5,,,,0,-,,,,,,6.0,-15.0,,,0,17,-,louisville-cardinals
18,,18.2,,,,,90,Tutu Atwell WR,,,70.0,,1276.0,,,,,12,17,WR,louisville-cardinals
19,,18.1,,,,,74,Dez Fitzpatrick WR,,,35.0,,635.0,,,,,6,17,WR,louisville-cardinals
20,,6.3,,,,,9,Thomas Jackson WR,,,3.0,,19.0,,,,,0,17,WR,louisville-cardinals
21,,12.0,,,,,12,Josh Johnson WR,,,1.0,,12.0,,,,,0,17,WR,louisville-cardinals
22,,9.0,,,,,9,Tobias Little TE,,,1.0,,9.0,,,,,0,17,TE,louisville-cardinals
23,,8.0,,,,,8,Isaac Martin TE,,,1.0,,8.0,,,,,0,17,TE,louisville-cardinals
24,,3.5,,,,,6,Ean Pfeifer TE,,,2.0,,7.0,,,,,2,17,TE,louisville-cardinals
25,,-5.0,,,,,0,Jawon Pass QB,,,1.0,,-5.0,,,,,0,17,QB,louisville-cardinals
27,,21.8,,,,,77,Seth Dawkins WR,,,16.0,,348.0,,,,,3,17,WR,louisville-cardinals
28,,14.6,,,,,48,Marshon Ford TE,,,20.0,,292.0,,,,,7,17,TE,louisville-cardinals
29,,22.5,,,,,35,Justin Marshall WR,,,6.0,,135.0,,,,,0,17,WR,louisville-cardinals
30,,12.2,,,,,22,Keion Wakefield WR,,,6.0,,73.0,,,,,0,17,WR,louisville-cardinals
31,,17.3,,,,,28,Jordan Davis TE,,,4.0,,69.0,,,,,1,17,TE,louisville-cardinals
32,,20.3,,,,,26,Devante Peete WR,,,3.0,,61.0,,,,,1,17,WR,louisville-cardinals
33,,14.5,,,,,40,Javian Hawkins RB,,,4.0,,58.0,,,,,0,17,RB,louisville-cardinals
34,,10.2,,,,,14,Hassan Hall RB,,,5.0,,51.0,,,,,0,17,RB,louisville-cardinals
