,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,10.9,,,371.0,77.6,6.0,78,Joe Burrow QB,478.0,5208.0,,204.6,,,,29.0,-185.0,55,112,QB,lsu-tigers
1,8.8,,,24.0,60.0,1.0,58,Myles Brennan QB,40.0,353.0,,137.4,,,,0.0,0.0,1,112,QB,lsu-tigers
3,,,6.6,,,,89,Clyde Edwards-Helaire RB,,,,,,199.0,1304.0,,,16,112,RB,lsu-tigers
4,,,3.1,,,,22,Joe Burrow QB,,,,,,101.0,310.0,,,4,112,QB,lsu-tigers
5,,,4.6,,,,33,Tyrion Davis-Price RB,,,,,,64.0,295.0,,,6,112,RB,lsu-tigers
6,,,5.0,,,,20,Chris Curry RB,,,,,,38.0,189.0,,,0,112,RB,lsu-tigers
7,,,4.8,,,,39,John Emery Jr. RB,,,,,,39.0,188.0,,,4,112,RB,lsu-tigers
8,,,4.6,,,,9,Myles Brennan QB,,,,,,9.0,41.0,,,0,112,QB,lsu-tigers
9,,,2.8,,,,10,Lanard Fournette RB,,,,,,13.0,36.0,,,1,112,RB,lsu-tigers
10,,,5.0,,,,5,Ja'Marr Chase WR,,,,,,1.0,5.0,,,0,112,WR,lsu-tigers
12,,20.8,,,,,78,Ja'Marr Chase WR,,,75.0,,1559.0,,,,,18,112,WR,lsu-tigers
13,,14.1,,,,,71,Justin Jefferson WR,,,102.0,,1434.0,,,,,18,112,WR,lsu-tigers
14,,13.4,,,,,35,Jaray Jenkins WR,,,5.0,,67.0,,,,,0,112,WR,lsu-tigers
15,,10.0,,,,,17,John Emery Jr. RB,,,6.0,,60.0,,,,,0,112,RB,lsu-tigers
16,,13.5,,,,,28,Devonta Lee WR,,,2.0,,27.0,,,,,0,112,WR,lsu-tigers
17,,7.7,,,,,9,Chris Curry RB,,,3.0,,23.0,,,,,0,112,RB,lsu-tigers
18,,3.8,,,,,10,Lanard Fournette RB,,,5.0,,19.0,,,,,0,112,RB,lsu-tigers
19,,16.0,,,,,16,Joe Burrow QB,,,1.0,,16.0,,,,,0,112,QB,lsu-tigers
20,,7.5,,,,,8,Tory Carter FB,,,2.0,,15.0,,,,,0,112,FB,lsu-tigers
21,,12.0,,,,,12,TK McLendon TE,,,1.0,,12.0,,,,,0,112,TE,lsu-tigers
22,,6.0,,,,,6,Trey Palmer WR,,,1.0,,6.0,,,,,0,112,WR,lsu-tigers
23,,-1.0,,,,,0,Jamal Pettigrew TE,,,1.0,,-1.0,,,,,0,112,TE,lsu-tigers
24,,14.5,,,,,41,Terrace Marshall Jr. WR,,,43.0,,625.0,,,,,12,112,WR,lsu-tigers
26,,12.7,,,,,62,Thaddeus Moss TE,,,42.0,,534.0,,,,,2,112,TE,lsu-tigers
27,,8.0,,,,,26,Clyde Edwards-Helaire RB,,,50.0,,399.0,,,,,1,112,RB,lsu-tigers
28,,16.8,,,,,60,Racey McMath WR,,,17.0,,285.0,,,,,3,112,WR,lsu-tigers
29,,13.5,,,,,37,Derrick Dillon WR,,,15.0,,202.0,,,,,2,112,WR,lsu-tigers
30,,10.8,,,,,30,Stephen Sullivan TE,,,12.0,,130.0,,,,,0,112,TE,lsu-tigers
31,,37.5,,,,,65,Jontre Kirklin WR,,,2.0,,75.0,,,,,0,112,WR,lsu-tigers
32,,7.4,,,,,18,Tyrion Davis-Price RB,,,10.0,,74.0,,,,,0,112,RB,lsu-tigers
