,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.3,,,189.0,56.3,11.0,75,Isaiah Green QB,336.0,2438.0,,125.4,,,,24.0,-166.0,15,54,QB,marshall-thundering-herd
1,13.7,,,8.0,88.9,0.0,43,Alex Thomson QB,9.0,123.0,,240.4,,,,1.0,-16.0,1,54,QB,marshall-thundering-herd
2,11.0,,,1.0,33.3,0.0,33,Xavier Gaines TE,3.0,33.0,,125.7,,,,0.0,0.0,0,54,TE,marshall-thundering-herd
3,5.5,,,2.0,100.0,0.0,6,Jackson White QB,2.0,11.0,,146.2,,,,0.0,0.0,0,54,QB,marshall-thundering-herd
5,,,5.1,,,,43,Brenden Knox RB,,,,,,270.0,1387.0,,,11,54,RB,marshall-thundering-herd
6,,,5.4,,,,22,Sheldon Evans RB,,,,,,69.0,375.0,,,1,54,RB,marshall-thundering-herd
7,,,1.0,,,,1,Grant Wells QB,,,,,,1.0,1.0,,,0,54,QB,marshall-thundering-herd
8,,,-5.0,,,,0,Talik Keaton WR,,,,,,1.0,-5.0,,,0,54,WR,marshall-thundering-herd
10,,,2.6,,,,20,Isaiah Green QB,,,,,,114.0,300.0,,,5,54,QB,marshall-thundering-herd
11,,,7.0,,,,26,Xavier Gaines TE,,,,,,26.0,181.0,,,2,54,TE,marshall-thundering-herd
12,,,17.6,,,,42,Willie Johnson WR,,,,,,8.0,141.0,,,2,54,WR,marshall-thundering-herd
13,,,6.1,,,,35,Tyler King RB,,,,,,15.0,91.0,,,0,54,RB,marshall-thundering-herd
14,,,5.7,,,,15,Lawrence Papillon RB,,,,,,6.0,34.0,,,0,54,RB,marshall-thundering-herd
15,,,3.1,,,,23,Alex Thomson QB,,,,,,7.0,22.0,,,0,54,QB,marshall-thundering-herd
16,,,12.0,,,,12,Simino Walden WR,,,,,,1.0,12.0,,,0,54,WR,marshall-thundering-herd
17,,,9.0,,,,9,Joey Fields WR,,,,,,1.0,9.0,,,0,54,WR,marshall-thundering-herd
18,,12.0,,,,,75,Armani Levias TE,,,46.0,,553.0,,,,,3,54,TE,marshall-thundering-herd
19,,26.8,,,,,70,Willie Johnson WR,,,13.0,,349.0,,,,,4,54,WR,marshall-thundering-herd
20,,11.0,,,,,51,Artie Henry WR,,,6.0,,66.0,,,,,1,54,WR,marshall-thundering-herd
21,,12.3,,,,,18,Sheldon Evans RB,,,3.0,,37.0,,,,,0,54,RB,marshall-thundering-herd
22,,7.0,,,,,19,Tyler King RB,,,4.0,,28.0,,,,,0,54,RB,marshall-thundering-herd
23,,6.3,,,,,11,Garet Morrell TE,,,3.0,,19.0,,,,,1,54,TE,marshall-thundering-herd
24,,5.3,,,,,6,Stone Scarcelle WR,,,3.0,,16.0,,,,,0,54,WR,marshall-thundering-herd
25,,16.0,,,,,16,Simino Walden WR,,,1.0,,16.0,,,,,0,54,WR,marshall-thundering-herd
26,,5.0,,,,,6,Joey Fields WR,,,2.0,,10.0,,,,,0,54,WR,marshall-thundering-herd
28,,17.6,,,,,54,Broc Thompson WR,,,19.0,,334.0,,,,,0,54,WR,marshall-thundering-herd
29,,11.3,,,,,63,Xavier Gaines TE,,,27.0,,306.0,,,,,3,54,TE,marshall-thundering-herd
30,,13.6,,,,,41,Obi Obialo WR,,,18.0,,244.0,,,,,0,54,WR,marshall-thundering-herd
31,,14.4,,,,,33,Corey Gammage WR,,,13.0,,187.0,,,,,1,54,WR,marshall-thundering-herd
32,,15.6,,,,,34,Talik Keaton WR,,,9.0,,140.0,,,,,1,54,WR,marshall-thundering-herd
33,,9.2,,,,,40,Brenden Knox RB,,,14.0,,129.0,,,,,0,54,RB,marshall-thundering-herd
34,,10.9,,,,,29,Tavin Richardson WR,,,8.0,,87.0,,,,,0,54,WR,marshall-thundering-herd
35,,7.6,,,,,22,Devin Miller TE,,,11.0,,84.0,,,,,2,54,TE,marshall-thundering-herd
