,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.2,,,98.0,47.3,6.0,80,Josh Jackson QB,207.0,1274.0,,112.4,,,,25.0,-162.0,12,39,QB,maryland-terrapins
1,6.1,,,69.0,58.5,6.0,62,Tyrrell Pigrome QB,118.0,719.0,,107.9,,,,10.0,-75.0,3,39,QB,maryland-terrapins
2,6.3,,,4.0,28.6,0.0,59,Tyler DeSue QB,14.0,88.0,,104.9,,,,2.0,-16.0,1,39,QB,maryland-terrapins
3,2.3,,,1.0,33.3,0.0,7,Lance LeGendre QB,3.0,7.0,,52.9,,,,1.0,-9.0,0,39,QB,maryland-terrapins
5,,,7.2,,,,64,Javon Leake RB,,,,,,102.0,736.0,,,8,39,RB,maryland-terrapins
6,,,5.4,,,,80,Anthony McFarland Jr. RB,,,,,,114.0,614.0,,,8,39,RB,maryland-terrapins
7,,,-1.0,,,,14,Josh Jackson QB,,,,,,53.0,-53.0,,,0,39,QB,maryland-terrapins
9,,,4.2,,,,21,Tayon Fleet-Davis RB,,,,,,63.0,265.0,,,2,39,RB,maryland-terrapins
10,,,10.2,,,,54,Jake Funk RB,,,,,,17.0,173.0,,,2,39,RB,maryland-terrapins
11,,,3.4,,,,61,Tyrrell Pigrome QB,,,,,,45.0,153.0,,,2,39,QB,maryland-terrapins
12,,,8.0,,,,26,Lance LeGendre QB,,,,,,13.0,104.0,,,0,39,QB,maryland-terrapins
13,,,10.0,,,,30,Lorenzo Harrison III RB,,,,,,7.0,70.0,,,0,39,RB,maryland-terrapins
14,,,4.0,,,,4,Dontay Demus Jr. WR,,,,,,1.0,4.0,,,0,39,WR,maryland-terrapins
15,,,-10.0,,,,0,Mike Shinsky PK,,,,,,1.0,-10.0,,,0,39,PK,maryland-terrapins
16,,,-4.5,,,,5,Tyler DeSue QB,,,,,,4.0,-18.0,,,1,39,QB,maryland-terrapins
17,,15.2,,,,,80,Dontay Demus Jr. WR,,,41.0,,625.0,,,,,6,39,WR,maryland-terrapins
18,,15.2,,,,,40,Brian Cobbs WR,,,16.0,,243.0,,,,,0,39,WR,maryland-terrapins
19,,6.1,,,,,33,Javon Leake RB,,,9.0,,55.0,,,,,0,39,RB,maryland-terrapins
20,,22.0,,,,,22,Jayden Comma WR,,,1.0,,22.0,,,,,0,39,WR,maryland-terrapins
21,,4.0,,,,,12,Jake Funk RB,,,4.0,,16.0,,,,,0,39,RB,maryland-terrapins
22,,4.3,,,,,13,Rayshad Lewis WR,,,3.0,,13.0,,,,,0,39,WR,maryland-terrapins
23,,7.0,,,,,7,Dino Tomlin WR,,,1.0,,7.0,,,,,0,39,WR,maryland-terrapins
24,,6.0,,,,,6,Sean Nelson WR,,,1.0,,6.0,,,,,1,39,WR,maryland-terrapins
25,,3.0,,,,,3,Noah Barnes TE,,,1.0,,3.0,,,,,0,39,TE,maryland-terrapins
27,,10.6,,,,,23,Chigoziem Okonkwo TE,,,19.0,,201.0,,,,,2,39,TE,maryland-terrapins
28,,12.1,,,,,59,Tayon Fleet-Davis RB,,,15.0,,181.0,,,,,2,39,RB,maryland-terrapins
29,,17.6,,,,,49,Darryl Jones WR,,,9.0,,158.0,,,,,0,39,WR,maryland-terrapins
30,,11.9,,,,,52,Tyler Mabry TE,,,13.0,,155.0,,,,,3,39,TE,maryland-terrapins
31,,11.4,,,,,17,Carlos Carriere WR,,,12.0,,137.0,,,,,1,39,WR,maryland-terrapins
32,,7.4,,,,,39,Anthony McFarland Jr. RB,,,17.0,,126.0,,,,,1,39,RB,maryland-terrapins
33,,21.0,,,,,29,DJ Turner WR,,,4.0,,84.0,,,,,0,39,WR,maryland-terrapins
34,,9.3,,,,,15,Sean Savoy WR,,,6.0,,56.0,,,,,0,39,WR,maryland-terrapins
