,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.1,,,260.0,59.6,13.0,64,Brian Lewerke QB,436.0,3079.0,,125.9,,,,18.0,-113.0,17,40,QB,michigan-state-spartans
1,3.5,,,7.0,33.3,2.0,19,Rocky Lombardi QB,21.0,74.0,,43.9,,,,0.0,0.0,0,40,QB,michigan-state-spartans
2,17.0,,,1.0,100.0,0.0,17,Darrell Stewart Jr. WR,1.0,17.0,,242.8,,,,0.0,0.0,0,40,WR,michigan-state-spartans
3,4.0,,,2.0,66.7,0.0,8,Theo Day QB,3.0,12.0,,100.3,,,,0.0,0.0,0,40,QB,michigan-state-spartans
4,0.0,,,0.0,0.0,0.0,0,Cody White WR,2.0,0.0,,0.0,,,,0.0,0.0,0,40,WR,michigan-state-spartans
6,,,4.4,,,,58,Elijah Collins RB,,,,,,222.0,988.0,,,5,40,RB,michigan-state-spartans
7,,,3.3,,,,42,Brian Lewerke QB,,,,,,111.0,363.0,,,3,40,QB,michigan-state-spartans
8,,,5.0,,,,5,Laress Nelson WR,,,,,,1.0,5.0,,,0,40,WR,michigan-state-spartans
9,,,0.5,,,,1,Alante Thomas RB,,,,,,2.0,1.0,,,1,40,RB,michigan-state-spartans
10,,,0.0,,,,0,Theo Day QB,,,,,,1.0,0.0,,,0,40,QB,michigan-state-spartans
11,,,-0.8,,,,3,Rocky Lombardi QB,,,,,,4.0,-3.0,,,0,40,QB,michigan-state-spartans
12,,,-6.5,,,,0,Darrell Stewart Jr. WR,,,,,,2.0,-13.0,,,0,40,WR,michigan-state-spartans
14,,,3.1,,,,17,Anthony Williams Jr. RB,,,,,,38.0,118.0,,,1,40,RB,michigan-state-spartans
15,,,3.3,,,,14,Connor Heyward RB,,,,,,24.0,79.0,,,0,40,RB,michigan-state-spartans
16,,,2.7,,,,10,Brandon Wright RB,,,,,,18.0,48.0,,,0,40,RB,michigan-state-spartans
17,,,5.4,,,,10,Jalen Nailor WR,,,,,,5.0,27.0,,,0,40,WR,michigan-state-spartans
18,,,1.3,,,,5,La'Darius Jefferson RB,,,,,,19.0,25.0,,,2,40,RB,michigan-state-spartans
19,,,3.7,,,,13,Cody White WR,,,,,,6.0,22.0,,,0,40,WR,michigan-state-spartans
20,,,20.0,,,,20,Tyriq Thompson LB,,,,,,1.0,20.0,,,0,40,LB,michigan-state-spartans
21,,,9.5,,,,10,Julian Barnett WR,,,,,,2.0,19.0,,,0,40,WR,michigan-state-spartans
22,,14.0,,,,,49,Cody White WR,,,66.0,,922.0,,,,,6,40,WR,michigan-state-spartans
23,,14.2,,,,,44,Darrell Stewart Jr. WR,,,49.0,,697.0,,,,,4,40,WR,michigan-state-spartans
24,,12.8,,,,,23,Anthony Williams Jr. RB,,,6.0,,77.0,,,,,0,40,RB,michigan-state-spartans
25,,7.4,,,,,15,Connor Heyward RB,,,7.0,,52.0,,,,,1,40,RB,michigan-state-spartans
26,,12.0,,,,,25,Laress Nelson WR,,,4.0,,48.0,,,,,0,40,WR,michigan-state-spartans
27,,11.3,,,,,18,La'Darius Jefferson RB,,,3.0,,34.0,,,,,0,40,RB,michigan-state-spartans
28,,17.0,,,,,17,Brian Lewerke QB,,,1.0,,17.0,,,,,0,40,QB,michigan-state-spartans
29,,5.0,,,,,5,Parks Gissinger TE,,,1.0,,5.0,,,,,0,40,TE,michigan-state-spartans
30,,2.0,,,,,3,Max Rosenthal FB,,,2.0,,4.0,,,,,1,40,FB,michigan-state-spartans
32,,10.9,,,,,48,Matt Seybert TE,,,26.0,,284.0,,,,,3,40,TE,michigan-state-spartans
33,,10.3,,,,,23,Tre Mosley WR,,,21.0,,216.0,,,,,1,40,WR,michigan-state-spartans
34,,14.0,,,,,32,Julian Barnett WR,,,13.0,,182.0,,,,,0,40,WR,michigan-state-spartans
35,,9.4,,,,,20,Matt Dotson TE,,,16.0,,151.0,,,,,1,40,TE,michigan-state-spartans
36,,12.3,,,,,64,Trenton Gillison TE,,,12.0,,147.0,,,,,0,40,TE,michigan-state-spartans
37,,10.8,,,,,24,C.J. Hayes WR,,,13.0,,141.0,,,,,0,40,WR,michigan-state-spartans
38,,7.1,,,,,23,Jalen Nailor WR,,,15.0,,106.0,,,,,0,40,WR,michigan-state-spartans
39,,6.6,,,,,16,Elijah Collins RB,,,15.0,,99.0,,,,,0,40,RB,michigan-state-spartans
