,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.0,,,214.0,56.2,8.0,76,Shea Patterson QB,381.0,3061.0,,139.4,,,,25.0,-207.0,23,41,QB,michigan-wolverines
1,5.8,,,10.0,50.0,0.0,26,Dylan McCaffrey QB,20.0,116.0,,115.2,,,,0.0,0.0,1,41,QB,michigan-wolverines
2,8.4,,,3.0,42.9,1.0,29,Joe Milton QB,7.0,59.0,,132.2,,,,0.0,0.0,1,41,QB,michigan-wolverines
3,25.0,,,1.0,100.0,0.0,25,Michael Barrett LB,1.0,25.0,,310.0,,,,0.0,0.0,0,41,LB,michigan-wolverines
5,,,4.9,,,,41,Zach Charbonnet RB,,,,,,149.0,726.0,,,11,41,RB,michigan-wolverines
6,,,5.1,,,,49,Hassan Haskins RB,,,,,,121.0,622.0,,,4,41,RB,michigan-wolverines
7,,,9.0,,,,9,Ronnie Bell WR,,,,,,1.0,9.0,,,0,41,WR,michigan-wolverines
8,,,3.0,,,,3,Ben Mason DL,,,,,,1.0,3.0,,,0,41,DL,michigan-wolverines
9,,,0.5,,,,5,Nicholas Capatina RB,,,,,,2.0,1.0,,,0,41,RB,michigan-wolverines
10,,,-3.5,,,,2,Donovan Peoples-Jones WR,,,,,,2.0,-7.0,,,0,41,WR,michigan-wolverines
11,,,-9.0,,,,0,Jon Runyan OL,,,,,,1.0,-9.0,,,0,41,OL,michigan-wolverines
13,,,5.0,,,,39,Tru Wilson RB,,,,,,44.0,221.0,,,1,41,RB,michigan-wolverines
14,,,3.9,,,,13,Christian Turner RB,,,,,,44.0,171.0,,,1,41,RB,michigan-wolverines
15,,,6.9,,,,22,Giles Jackson WR,,,,,,10.0,69.0,,,1,41,WR,michigan-wolverines
16,,,5.2,,,,10,Dylan McCaffrey QB,,,,,,13.0,67.0,,,1,41,QB,michigan-wolverines
17,,,0.6000000000000001,,,,22,Shea Patterson QB,,,,,,87.0,50.0,,,5,41,QB,michigan-wolverines
18,,,2.2,,,,6,Ben VanSumeren RB,,,,,,9.0,20.0,,,1,41,RB,michigan-wolverines
19,,,3.2,,,,9,Joe Milton QB,,,,,,5.0,16.0,,,1,41,QB,michigan-wolverines
20,,,14.0,,,,14,Michael Barrett LB,,,,,,1.0,14.0,,,0,41,LB,michigan-wolverines
21,,15.9,,,,,71,Ronnie Bell WR,,,47.0,,747.0,,,,,1,41,WR,michigan-wolverines
22,,19.7,,,,,76,Nico Collins WR,,,37.0,,729.0,,,,,7,41,WR,michigan-wolverines
23,,6.7,,,,,19,Hassan Haskins RB,,,6.0,,40.0,,,,,0,41,RB,michigan-wolverines
24,,3.8,,,,,8,Zach Charbonnet RB,,,8.0,,30.0,,,,,0,41,RB,michigan-wolverines
25,,25.0,,,,,25,Daxton Hill DB,,,1.0,,25.0,,,,,0,41,DB,michigan-wolverines
26,,7.0,,,,,11,Tru Wilson RB,,,2.0,,14.0,,,,,0,41,RB,michigan-wolverines
27,,3.3,,,,,6,Christian Turner RB,,,4.0,,13.0,,,,,0,41,RB,michigan-wolverines
28,,10.0,,,,,10,Erick All TE,,,1.0,,10.0,,,,,0,41,TE,michigan-wolverines
29,,1.0,,,,,1,Dylan McCaffrey QB,,,1.0,,1.0,,,,,0,41,QB,michigan-wolverines
31,,12.9,,,,,41,Donovan Peoples-Jones WR,,,34.0,,438.0,,,,,6,41,WR,michigan-wolverines
32,,12.9,,,,,36,Tarik Black WR,,,25.0,,323.0,,,,,1,41,WR,michigan-wolverines
33,,9.8,,,,,34,Nick Eubanks TE,,,26.0,,254.0,,,,,4,41,TE,michigan-wolverines
34,,18.1,,,,,41,Sean McKeon TE,,,13.0,,235.0,,,,,2,41,TE,michigan-wolverines
35,,18.1,,,,,35,Mike Sainristil WR,,,8.0,,145.0,,,,,1,41,WR,michigan-wolverines
36,,15.8,,,,,50,Giles Jackson WR,,,9.0,,142.0,,,,,1,41,WR,michigan-wolverines
37,,15.3,,,,,39,Cornelius Johnson WR,,,4.0,,61.0,,,,,1,41,WR,michigan-wolverines
38,,27.0,,,,,29,Luke Schoonmaker TE,,,2.0,,54.0,,,,,1,41,TE,michigan-wolverines
