,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.6,,,181.0,62.0,6.0,74,Kelly Bryant QB,292.0,2215.0,,138.6,,,,21.0,-138.0,15,114,QB,missouri-tigers
1,4.8,,,29.0,46.8,2.0,37,Taylor Powell QB,62.0,297.0,,85.9,,,,4.0,-25.0,1,114,QB,missouri-tigers
2,6.9,,,15.0,71.4,0.0,17,Connor Bazelak QB,21.0,144.0,,129.0,,,,2.0,-7.0,0,114,QB,missouri-tigers
3,15.0,,,1.0,100.0,0.0,15,Micah Wilson WR,1.0,15.0,,556.0,,,,0.0,0.0,1,114,WR,missouri-tigers
5,,,4.5,,,,41,Larry Rountree III RB,,,,,,186.0,829.0,,,9,114,RB,missouri-tigers
6,,,4.2,,,,49,Tyler Badie RB,,,,,,108.0,457.0,,,3,114,RB,missouri-tigers
7,,,-0.5,,,,13,Taylor Powell QB,,,,,,6.0,-3.0,,,0,114,QB,missouri-tigers
9,,,2.3,,,,26,Kelly Bryant QB,,,,,,106.0,242.0,,,1,114,QB,missouri-tigers
10,,,5.7,,,,54,Dawson Downing RB,,,,,,40.0,227.0,,,1,114,RB,missouri-tigers
11,,,4.6,,,,16,Simi Bakare RB,,,,,,8.0,37.0,,,0,114,RB,missouri-tigers
12,,,3.2,,,,5,Anthony Watkins RB,,,,,,6.0,19.0,,,0,114,RB,missouri-tigers
13,,,13.0,,,,13,Johnathon Johnson WR,,,,,,1.0,13.0,,,0,114,WR,missouri-tigers
14,,,4.0,,,,4,Jonathan Nance WR,,,,,,1.0,4.0,,,0,114,WR,missouri-tigers
15,,,0.30000000000000004,,,,7,Connor Bazelak QB,,,,,,7.0,2.0,,,0,114,QB,missouri-tigers
16,,,2.0,,,,2,Jamal Brooks LB,,,,,,1.0,2.0,,,0,114,LB,missouri-tigers
17,,14.8,,,,,64,Jonathan Nance WR,,,31.0,,458.0,,,,,4,114,WR,missouri-tigers
18,,11.1,,,,,74,Tyler Badie RB,,,32.0,,356.0,,,,,5,114,RB,missouri-tigers
19,,24.0,,,,,37,Tauskie Dove WR,,,2.0,,48.0,,,,,0,114,WR,missouri-tigers
20,,10.0,,,,,16,Niko Hea TE,,,3.0,,30.0,,,,,0,114,TE,missouri-tigers
21,,3.4,,,,,7,Dawson Downing RB,,,8.0,,27.0,,,,,0,114,RB,missouri-tigers
23,,19.3,,,,,55,Kam Scott WR,,,17.0,,328.0,,,,,0,114,WR,missouri-tigers
24,,16.2,,,,,54,Jalen Knox WR,,,19.0,,307.0,,,,,1,114,WR,missouri-tigers
25,,11.8,,,,,36,Albert Okwuegbunam TE,,,26.0,,306.0,,,,,6,114,TE,missouri-tigers
26,,10.1,,,,,29,Johnathon Johnson WR,,,29.0,,294.0,,,,,0,114,WR,missouri-tigers
27,,9.1,,,,,23,Barrett Banister WR,,,27.0,,246.0,,,,,1,114,WR,missouri-tigers
28,,9.3,,,,,21,Daniel Parker Jr. TE,,,15.0,,140.0,,,,,0,114,TE,missouri-tigers
29,,5.4,,,,,10,Larry Rountree III RB,,,13.0,,70.0,,,,,0,114,RB,missouri-tigers
30,,15.3,,,,,26,Dominic Gicinto WR,,,4.0,,61.0,,,,,0,114,WR,missouri-tigers
