,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,12.6,,,48.0,55.8,3.0,80,Malcolm Perry QB,86.0,1084.0,,181.6,,,,15.0,-80.0,7,4,QB,navy-midshipmen
1,22.5,,,3.0,75.0,0.0,41,CJ Williams WR,4.0,90.0,,346.5,,,,0.0,0.0,1,4,WR,navy-midshipmen
2,5.6,,,2.0,25.0,1.0,43,Perry Olsen QB,8.0,45.0,,88.5,,,,2.0,-15.0,1,4,QB,navy-midshipmen
3,6.3,,,2.0,66.7,0.0,18,Chance Warren WR,3.0,19.0,,229.9,,,,0.0,0.0,1,4,WR,navy-midshipmen
5,,,6.8,,,,70,Malcolm Perry QB,,,,,,295.0,2017.0,,,21,4,QB,navy-midshipmen
6,,,6.6,,,,75,Jamale Carothers FB,,,,,,111.0,734.0,,,14,4,FB,navy-midshipmen
7,,,8.6,,,,24,Garrett Winn WR,,,,,,5.0,43.0,,,0,4,WR,navy-midshipmen
8,,,9.0,,,,13,Justin Smith RB,,,,,,4.0,36.0,,,0,4,RB,navy-midshipmen
9,,,6.0,,,,18,Tyreek King-El WR,,,,,,6.0,36.0,,,1,4,WR,navy-midshipmen
10,,,9.3,,,,11,Mychal Cooper WR,,,,,,3.0,28.0,,,0,4,WR,navy-midshipmen
11,,,2.8,,,,7,James Harris II FB,,,,,,9.0,25.0,,,0,4,FB,navy-midshipmen
12,,,20.0,,,,20,Travis Brannan WR,,,,,,1.0,20.0,,,0,4,WR,navy-midshipmen
13,,,8.0,,,,9,Dalen Morris QB,,,,,,2.0,16.0,,,0,4,QB,navy-midshipmen
14,,,13.0,,,,13,Mark Walker WR,,,,,,1.0,13.0,,,0,4,WR,navy-midshipmen
15,,,-0.5,,,,3,Tyger Goslin QB,,,,,,4.0,-2.0,,,0,4,QB,navy-midshipmen
17,,,4.9,,,,77,Nelson Smith FB,,,,,,116.0,571.0,,,7,4,FB,navy-midshipmen
18,,,5.3,,,,27,CJ Williams WR,,,,,,56.0,298.0,,,3,4,WR,navy-midshipmen
19,,,8.3,,,,26,Tazh Maloy WR,,,,,,32.0,267.0,,,1,4,WR,navy-midshipmen
20,,,7.1,,,,41,Keoni-Kordell Makekau WR,,,,,,30.0,212.0,,,0,4,WR,navy-midshipmen
21,,,7.2,,,,31,Myles Fells WR,,,,,,18.0,130.0,,,0,4,WR,navy-midshipmen
22,,,3.8,,,,26,Isaac Ruoss FB,,,,,,29.0,109.0,,,1,4,FB,navy-midshipmen
23,,,2.4,,,,13,Perry Olsen QB,,,,,,34.0,80.0,,,2,4,QB,navy-midshipmen
24,,,14.0,,,,22,Chance Warren WR,,,,,,5.0,70.0,,,2,4,WR,navy-midshipmen
25,,21.1,,,,,58,Mychal Cooper WR,,,18.0,,380.0,,,,,2,4,WR,navy-midshipmen
26,,30.0,,,,,80,CJ Williams WR,,,7.0,,210.0,,,,,2,4,WR,navy-midshipmen
27,,22.9,,,,,74,Ryan Mitchell WR,,,8.0,,183.0,,,,,1,4,WR,navy-midshipmen
28,,35.0,,,,,60,Keoni-Kordell Makekau WR,,,5.0,,175.0,,,,,1,4,WR,navy-midshipmen
29,,26.3,,,,,47,Jamale Carothers FB,,,4.0,,105.0,,,,,2,4,FB,navy-midshipmen
30,,15.2,,,,,41,Chance Warren WR,,,6.0,,91.0,,,,,1,4,WR,navy-midshipmen
31,,25.5,,,,,33,Tazh Maloy WR,,,2.0,,51.0,,,,,0,4,WR,navy-midshipmen
32,,16.0,,,,,23,OJ Davis WR,,,2.0,,32.0,,,,,1,4,WR,navy-midshipmen
33,,3.7,,,,,7,Myles Fells WR,,,3.0,,11.0,,,,,0,4,WR,navy-midshipmen
