,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.8,,,149.0,59.4,9.0,75,Adrian Martinez QB,251.0,1956.0,,130.8,,,,23.0,-134.0,10,43,QB,nebraska-cornhuskers
1,8.0,,,34.0,65.4,0.0,51,Noah Vedral QB,52.0,418.0,,132.9,,,,4.0,-27.0,0,43,QB,nebraska-cornhuskers
2,11.8,,,9.0,75.0,0.0,39,Luke McCaffrey QB,12.0,142.0,,229.4,,,,0.0,0.0,2,43,QB,nebraska-cornhuskers
3,11.0,,,1.0,50.0,0.0,22,JD Spielman WR,2.0,22.0,,142.4,,,,0.0,0.0,0,43,WR,nebraska-cornhuskers
4,2.2,,,1.0,16.7,0.0,13,Andrew Bunch QB,6.0,13.0,,34.9,,,,1.0,-7.0,0,43,QB,nebraska-cornhuskers
6,,,5.2,,,,61,Dedrick Mills RB,,,,,,143.0,745.0,,,10,43,RB,nebraska-cornhuskers
7,,,4.3,,,,56,Adrian Martinez QB,,,,,,144.0,626.0,,,7,43,QB,nebraska-cornhuskers
8,,,4.0,,,,4,Jaylin Bradley RB,,,,,,2.0,8.0,,,0,43,RB,nebraska-cornhuskers
9,,,2.0,,,,2,Austin Allen TE,,,,,,1.0,2.0,,,0,43,TE,nebraska-cornhuskers
10,,,-0.5,,,,6,Andrew Bunch QB,,,,,,2.0,-1.0,,,0,43,QB,nebraska-cornhuskers
12,,,3.9,,,,42,Wan'Dale Robinson WR,,,,,,88.0,340.0,,,3,43,WR,nebraska-cornhuskers
13,,,6.0,,,,60,Maurice Washington RB,,,,,,50.0,298.0,,,1,43,RB,nebraska-cornhuskers
14,,,6.9,,,,15,Luke McCaffrey QB,,,,,,24.0,166.0,,,1,43,QB,nebraska-cornhuskers
15,,,3.5,,,,22,Noah Vedral QB,,,,,,30.0,106.0,,,3,43,QB,nebraska-cornhuskers
16,,,3.5,,,,11,Wyatt Mazour RB,,,,,,21.0,74.0,,,1,43,RB,nebraska-cornhuskers
17,,,3.0,,,,13,Rahmir Johnson RB,,,,,,21.0,64.0,,,1,43,RB,nebraska-cornhuskers
18,,,6.4,,,,22,Brody Belt RB,,,,,,5.0,32.0,,,0,43,RB,nebraska-cornhuskers
19,,,7.8,,,,14,JD Spielman WR,,,,,,4.0,31.0,,,0,43,WR,nebraska-cornhuskers
20,,18.3,,,,,65,JD Spielman WR,,,49.0,,898.0,,,,,5,43,WR,nebraska-cornhuskers
21,,11.3,,,,,49,Wan'Dale Robinson WR,,,40.0,,453.0,,,,,2,43,WR,nebraska-cornhuskers
22,,22.0,,,,,22,Noah Vedral QB,,,1.0,,22.0,,,,,0,43,QB,nebraska-cornhuskers
23,,7.0,,,,,8,Jaevon McQuitty WR,,,2.0,,14.0,,,,,0,43,WR,nebraska-cornhuskers
24,,13.0,,,,,13,Darien Chase WR,,,1.0,,13.0,,,,,0,43,WR,nebraska-cornhuskers
25,,12.0,,,,,12,Luke McCaffrey QB,,,1.0,,12.0,,,,,0,43,QB,nebraska-cornhuskers
26,,12.0,,,,,12,Rahmir Johnson RB,,,1.0,,12.0,,,,,0,43,RB,nebraska-cornhuskers
27,,3.0,,,,,7,Jaron Woodyard WR,,,3.0,,9.0,,,,,0,43,WR,nebraska-cornhuskers
28,,9.0,,,,,9,Kurt Rafdal TE,,,1.0,,9.0,,,,,0,43,TE,nebraska-cornhuskers
30,,14.4,,,,,36,Kanawai Noa WR,,,17.0,,245.0,,,,,2,43,WR,nebraska-cornhuskers
31,,9.4,,,,,42,Jack Stoll TE,,,25.0,,234.0,,,,,1,43,TE,nebraska-cornhuskers
32,,13.5,,,,,75,Maurice Washington RB,,,12.0,,162.0,,,,,2,43,RB,nebraska-cornhuskers
33,,8.2,,,,,20,Dedrick Mills RB,,,15.0,,123.0,,,,,0,43,RB,nebraska-cornhuskers
34,,21.8,,,,,34,Mike Williams WR,,,5.0,,109.0,,,,,0,43,WR,nebraska-cornhuskers
35,,12.6,,,,,26,Kade Warner WR,,,8.0,,101.0,,,,,0,43,WR,nebraska-cornhuskers
36,,11.9,,,,,30,Austin Allen TE,,,7.0,,83.0,,,,,0,43,TE,nebraska-cornhuskers
37,,10.4,,,,,20,Wyatt Mazour RB,,,5.0,,52.0,,,,,0,43,RB,nebraska-cornhuskers
