,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.5,,,102.0,52.3,6.0,62,Tevaka Tuioti QB,195.0,1460.0,,120.9,,,,11.0,-65.0,7,88,QB,new-mexico-lobos
1,6.6,,,34.0,44.7,7.0,47,Sheriron Jones QB,76.0,500.0,,90.3,,,,4.0,-28.0,2,88,QB,new-mexico-lobos
2,7.5,,,12.0,41.4,0.0,51,Brandt Hughes QB,29.0,218.0,,104.5,,,,0.0,0.0,0,88,QB,new-mexico-lobos
3,5.8,,,15.0,53.6,2.0,30,Trae Hall QB,28.0,162.0,,135.0,,,,3.0,-16.0,4,88,QB,new-mexico-lobos
4,0.0,,,0.0,0.0,0.0,0,Q' Drennan WR,1.0,0.0,,0.0,,,,0.0,0.0,0,88,WR,new-mexico-lobos
6,,,5.9,,,,67,Ahmari Davis RB,,,,,,140.0,832.0,,,7,88,RB,new-mexico-lobos
7,,,5.1,,,,56,Bryson Carroll RB,,,,,,105.0,536.0,,,2,88,RB,new-mexico-lobos
8,,,5.0,,,,7,Chad Alexander RB,,,,,,5.0,25.0,,,0,88,RB,new-mexico-lobos
9,,,2.0,,,,6,Emmanuel Logan-Greene WR,,,,,,6.0,12.0,,,0,88,WR,new-mexico-lobos
10,,,4.0,,,,8,Jay Griffin IV WR,,,,,,3.0,12.0,,,0,88,WR,new-mexico-lobos
11,,,3.0,,,,4,Lawrence Johnson RB,,,,,,3.0,9.0,,,0,88,RB,new-mexico-lobos
12,,,4.0,,,,4,Thomas Vieira WR,,,,,,1.0,4.0,,,0,88,WR,new-mexico-lobos
13,,,1.5,,,,2,Elijah Lilly WR,,,,,,2.0,3.0,,,0,88,WR,new-mexico-lobos
14,,,2.0,,,,2,Tyson Dyer P,,,,,,1.0,2.0,,,0,88,P,new-mexico-lobos
15,,,0.5,,,,5,Cedric Patterson III WR,,,,,,2.0,1.0,,,0,88,WR,new-mexico-lobos
16,,,-5.0,,,,0,Brandt Hughes QB,,,,,,1.0,-5.0,,,0,88,QB,new-mexico-lobos
18,,,5.0,,,,48,Tevaka Tuioti QB,,,,,,52.0,262.0,,,0,88,QB,new-mexico-lobos
19,,,4.3,,,,35,Sheriron Jones QB,,,,,,47.0,204.0,,,3,88,QB,new-mexico-lobos
20,,,7.0,,,,37,Bobby Cole RB,,,,,,27.0,189.0,,,2,88,RB,new-mexico-lobos
21,,,5.8,,,,22,Trae Hall QB,,,,,,28.0,163.0,,,2,88,QB,new-mexico-lobos
22,,,3.7,,,,9,Kentrail Moran RB,,,,,,27.0,100.0,,,2,88,RB,new-mexico-lobos
23,,,5.3,,,,23,Micah Gray RB,,,,,,16.0,84.0,,,1,88,RB,new-mexico-lobos
24,,,3.1,,,,15,Daevon Vigilant RB,,,,,,17.0,53.0,,,1,88,RB,new-mexico-lobos
25,,,3.3,,,,11,Javohn Jones RB,,,,,,8.0,26.0,,,0,88,RB,new-mexico-lobos
26,,18.9,,,,,59,Jordan Kress WR,,,28.0,,530.0,,,,,6,88,WR,new-mexico-lobos
27,,16.5,,,,,42,Marcus Williams TE,,,26.0,,428.0,,,,,1,88,TE,new-mexico-lobos
28,,9.6,,,,,18,Q' Drennan WR,,,5.0,,48.0,,,,,0,88,WR,new-mexico-lobos
29,,7.5,,,,,11,Thomas Vieira WR,,,4.0,,30.0,,,,,0,88,WR,new-mexico-lobos
30,,4.3,,,,,6,Javohn Jones RB,,,3.0,,13.0,,,,,0,88,RB,new-mexico-lobos
31,,6.0,,,,,7,Bryson Carroll RB,,,2.0,,12.0,,,,,0,88,RB,new-mexico-lobos
32,,2.8,,,,,6,Daevon Vigilant RB,,,4.0,,11.0,,,,,0,88,RB,new-mexico-lobos
33,,8.0,,,,,8,Jeffrey Jones Jr. TE,,,1.0,,8.0,,,,,0,88,TE,new-mexico-lobos
35,,13.0,,,,,40,Anselem Umeh WR,,,21.0,,272.0,,,,,0,88,WR,new-mexico-lobos
36,,17.5,,,,,41,Aaron Molina WR,,,14.0,,245.0,,,,,3,88,WR,new-mexico-lobos
37,,24.8,,,,,62,Cedric Patterson III WR,,,8.0,,198.0,,,,,2,88,WR,new-mexico-lobos
38,,10.2,,,,,21,Emmanuel Logan-Greene WR,,,19.0,,193.0,,,,,0,88,WR,new-mexico-lobos
39,,9.1,,,,,25,Jay Griffin IV WR,,,13.0,,118.0,,,,,0,88,WR,new-mexico-lobos
40,,13.6,,,,,36,Elijah Lilly WR,,,7.0,,95.0,,,,,0,88,WR,new-mexico-lobos
41,,15.2,,,,,29,Anu Somoye WR,,,5.0,,76.0,,,,,1,88,WR,new-mexico-lobos
42,,21.0,,,,,51,Ahmari Davis RB,,,3.0,,63.0,,,,,0,88,RB,new-mexico-lobos
