,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.6,,,259.0,61.4,7.0,68,Sam Howell QB,422.0,3641.0,,160.2,,,,36.0,-220.0,38,20,QB,north-carolina-tar-heels
1,12.0,,,3.0,75.0,0.0,31,Vincent Amendola QB,4.0,48.0,,175.8,,,,0.0,0.0,0,20,QB,north-carolina-tar-heels
2,18.0,,,1.0,100.0,0.0,18,Dyami Brown WR,1.0,18.0,,251.2,,,,0.0,0.0,0,20,WR,north-carolina-tar-heels
3,3.5,,,1.0,50.0,0.0,7,Jace Ruder QB,2.0,7.0,,79.4,,,,1.0,-7.0,0,20,QB,north-carolina-tar-heels
4,2.0,,,1.0,100.0,0.0,2,Rontavius Groves WR,1.0,2.0,,446.8,,,,0.0,0.0,1,20,WR,north-carolina-tar-heels
6,,,5.7,,,,60,Michael Carter RB,,,,,,177.0,1003.0,,,3,20,RB,north-carolina-tar-heels
7,,,5.6,,,,40,Javonte Williams RB,,,,,,166.0,933.0,,,5,20,RB,north-carolina-tar-heels
8,,,0.0,,,,0,Chazz Surratt LB,,,,,,1.0,0.0,,,0,20,LB,north-carolina-tar-heels
10,,,6.7,,,,59,Antonio Williams RB,,,,,,48.0,322.0,,,3,20,RB,north-carolina-tar-heels
11,,,7.1,,,,35,Josh Henderson RB,,,,,,18.0,127.0,,,0,20,RB,north-carolina-tar-heels
12,,,0.4,,,,24,Sam Howell QB,,,,,,94.0,35.0,,,1,20,QB,north-carolina-tar-heels
13,,,5.5,,,,22,Jace Ruder QB,,,,,,4.0,22.0,,,0,20,QB,north-carolina-tar-heels
14,,,3.7,,,,8,Rontavius Groves WR,,,,,,3.0,11.0,,,0,20,WR,north-carolina-tar-heels
15,,,3.3,,,,12,British Brooks RB,,,,,,3.0,10.0,,,1,20,RB,north-carolina-tar-heels
16,,,3.0,,,,4,Dazz Newsome WR,,,,,,3.0,9.0,,,0,20,WR,north-carolina-tar-heels
17,,,2.0,,,,2,Dyami Brown WR,,,,,,1.0,2.0,,,0,20,WR,north-carolina-tar-heels
18,,20.3,,,,,66,Dyami Brown WR,,,51.0,,1034.0,,,,,12,20,WR,north-carolina-tar-heels
19,,14.1,,,,,57,Dazz Newsome WR,,,72.0,,1018.0,,,,,10,20,WR,north-carolina-tar-heels
20,,19.5,,,,,31,Roscoe Johnson WR,,,2.0,,39.0,,,,,0,20,WR,north-carolina-tar-heels
21,,7.7,,,,,18,Sam Howell QB,,,3.0,,23.0,,,,,1,20,QB,north-carolina-tar-heels
22,,5.0,,,,,9,Jake Bargas TE,,,3.0,,15.0,,,,,1,20,TE,north-carolina-tar-heels
23,,9.0,,,,,9,Kamari Morales TE,,,1.0,,9.0,,,,,0,20,TE,north-carolina-tar-heels
24,,2.0,,,,,7,Antonio Williams RB,,,2.0,,4.0,,,,,0,20,RB,north-carolina-tar-heels
26,,14.4,,,,,41,Beau Corrales WR,,,40.0,,575.0,,,,,6,20,WR,north-carolina-tar-heels
27,,9.3,,,,,25,Rontavius Groves WR,,,27.0,,250.0,,,,,1,20,WR,north-carolina-tar-heels
28,,27.1,,,,,68,Antoine Green WR,,,8.0,,217.0,,,,,2,20,WR,north-carolina-tar-heels
29,,10.4,,,,,26,Javonte Williams RB,,,17.0,,176.0,,,,,1,20,RB,north-carolina-tar-heels
30,,7.3,,,,,41,Michael Carter RB,,,21.0,,154.0,,,,,2,20,RB,north-carolina-tar-heels
31,,8.4,,,,,16,Garrett Walston TE,,,9.0,,76.0,,,,,1,20,TE,north-carolina-tar-heels
32,,18.0,,,,,33,Emery Simmons WR,,,4.0,,72.0,,,,,1,20,WR,north-carolina-tar-heels
33,,10.8,,,,,16,Carl Tucker TE,,,5.0,,54.0,,,,,1,20,TE,north-carolina-tar-heels
