,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.4,,,166.0,57.8,8.0,74,Ross Bowers QB,287.0,2130.0,,122.7,,,,18.0,-142.0,7,78,QB,northern-illinois-huskies
1,5.8,,,48.0,58.5,3.0,71,Marcus Childers QB,82.0,474.0,,123.9,,,,6.0,-42.0,6,78,QB,northern-illinois-huskies
2,7.0,,,1.0,100.0,0.0,7,Michael Love WR,1.0,7.0,,488.8,,,,0.0,0.0,1,78,WR,northern-illinois-huskies
4,,,4.4,,,,40,Tre Harbison RB,,,,,,230.0,1021.0,,,8,78,RB,northern-illinois-huskies
5,,,6.2,,,,70,Marcus Childers QB,,,,,,59.0,366.0,,,5,78,QB,northern-illinois-huskies
6,,,-5.3,,,,2,Matt Ference P,,,,,,3.0,-16.0,,,0,78,P,northern-illinois-huskies
7,,,-3.3,,,,9,Ross Bowers QB,,,,,,34.0,-111.0,,,1,78,QB,northern-illinois-huskies
9,,,4.1,,,,34,Jordan Nettles RB,,,,,,67.0,274.0,,,0,78,RB,northern-illinois-huskies
10,,,3.6,,,,20,Marcus Jones RB,,,,,,24.0,87.0,,,1,78,RB,northern-illinois-huskies
11,,,4.8,,,,33,Rondarius Gregory RB,,,,,,9.0,43.0,,,0,78,RB,northern-illinois-huskies
12,,,7.0,,,,13,Tyrice Richie WR,,,,,,5.0,35.0,,,0,78,WR,northern-illinois-huskies
13,,,4.3,,,,13,Rahveon Valentine RB,,,,,,6.0,26.0,,,0,78,RB,northern-illinois-huskies
14,,,6.0,,,,6,Spencer Tears WR,,,,,,1.0,6.0,,,0,78,WR,northern-illinois-huskies
15,,,3.0,,,,3,Anthony Thompson QB,,,,,,1.0,3.0,,,0,78,QB,northern-illinois-huskies
16,,,-1.0,,,,6,Michael Love WR,,,,,,1.0,-1.0,,,0,78,WR,northern-illinois-huskies
17,,14.0,,,,,49,Cole Tucker WR,,,38.0,,531.0,,,,,1,78,WR,northern-illinois-huskies
18,,13.1,,,,,48,Mitchell Brinkman TE,,,34.0,,445.0,,,,,3,78,TE,northern-illinois-huskies
19,,8.0,,,,,8,Maximilian Thrower TE,,,1.0,,8.0,,,,,0,78,TE,northern-illinois-huskies
20,,2.0,,,,,10,Jordan Nettles RB,,,4.0,,8.0,,,,,0,78,RB,northern-illinois-huskies
21,,5.0,,,,,5,Brett Bostad FB,,,1.0,,5.0,,,,,1,78,FB,northern-illinois-huskies
22,,3.0,,,,,3,Rahveon Valentine RB,,,1.0,,3.0,,,,,0,78,RB,northern-illinois-huskies
24,,12.0,,,,,45,Daniel Crawford TE,,,37.0,,443.0,,,,,2,78,TE,northern-illinois-huskies
25,,13.0,,,,,71,Tyrice Richie WR,,,32.0,,415.0,,,,,4,78,WR,northern-illinois-huskies
26,,16.1,,,,,74,Spencer Tears WR,,,23.0,,370.0,,,,,2,78,WR,northern-illinois-huskies
27,,8.9,,,,,23,Marcus Jones RB,,,15.0,,134.0,,,,,0,78,RB,northern-illinois-huskies
28,,8.2,,,,,38,Michael Love WR,,,13.0,,107.0,,,,,0,78,WR,northern-illinois-huskies
29,,8.3,,,,,25,Dennis Robinson WR,,,8.0,,66.0,,,,,0,78,WR,northern-illinois-huskies
30,,7.8,,,,,33,Tre Harbison RB,,,6.0,,47.0,,,,,0,78,RB,northern-illinois-huskies
31,,14.5,,,,,26,Corey Lersch TE,,,2.0,,29.0,,,,,1,78,TE,northern-illinois-huskies
