,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.6,,,240.0,60.2,6.0,70,Ian Book QB,399.0,3034.0,,149.1,,,,14.0,-72.0,34,68,QB,notre-dame-fighting-irish
1,14.8,,,12.0,80.0,0.0,52,Phil Jurkovec QB,15.0,222.0,,248.3,,,,2.0,-16.0,2,68,QB,notre-dame-fighting-irish
2,11.0,,,1.0,50.0,0.0,22,Brendon Clark QB,2.0,22.0,,307.4,,,,0.0,0.0,1,68,QB,notre-dame-fighting-irish
4,,,6.0,,,,84,Tony Jones Jr. RB,,,,,,144.0,857.0,,,6,68,RB,notre-dame-fighting-irish
5,,,4.9,,,,53,Ian Book QB,,,,,,112.0,546.0,,,4,68,QB,notre-dame-fighting-irish
6,,,6.5,,,,14,Kyren Williams RB,,,,,,4.0,26.0,,,0,68,RB,notre-dame-fighting-irish
7,,,1.7000000000000002,,,,7,Avery Davis CB,,,,,,6.0,10.0,,,0,68,CB,notre-dame-fighting-irish
8,,,1.0,,,,7,Chris Finke WR,,,,,,2.0,2.0,,,0,68,WR,notre-dame-fighting-irish
9,,,2.0,,,,2,Michael Young WR,,,,,,1.0,2.0,,,0,68,WR,notre-dame-fighting-irish
10,,,1.0,,,,1,Nolan Henry QB,,,,,,1.0,1.0,,,0,68,QB,notre-dame-fighting-irish
12,,,15.4,,,,61,Braden Lenzy WR,,,,,,13.0,200.0,,,2,68,WR,notre-dame-fighting-irish
13,,,4.3,,,,40,Jahmir Smith RB,,,,,,42.0,180.0,,,2,68,RB,notre-dame-fighting-irish
14,,,3.4,,,,14,C'Bo Flemister RB,,,,,,48.0,162.0,,,5,68,RB,notre-dame-fighting-irish
15,,,5.9,,,,27,Phil Jurkovec QB,,,,,,22.0,130.0,,,0,68,QB,notre-dame-fighting-irish
16,,,2.7,,,,28,Jafar Armstrong RB,,,,,,46.0,122.0,,,1,68,RB,notre-dame-fighting-irish
17,,,7.5,,,,15,Lawrence Keys III WR,,,,,,6.0,45.0,,,0,68,WR,notre-dame-fighting-irish
18,,,3.8,,,,13,Mick Assaf RB,,,,,,9.0,34.0,,,0,68,RB,notre-dame-fighting-irish
19,,,6.6,,,,14,Brendon Clark QB,,,,,,5.0,33.0,,,0,68,QB,notre-dame-fighting-irish
20,,15.7,,,,,47,Chase Claypool WR,,,66.0,,1037.0,,,,,13,68,WR,notre-dame-fighting-irish
21,,12.0,,,,,37,Cole Kmet TE,,,43.0,,515.0,,,,,6,68,TE,notre-dame-fighting-irish
22,,22.5,,,,,40,Brock Wright TE,,,2.0,,45.0,,,,,0,68,TE,notre-dame-fighting-irish
23,,3.5,,,,,8,Michael Young WR,,,6.0,,21.0,,,,,0,68,WR,notre-dame-fighting-irish
24,,13.0,,,,,13,C'Bo Flemister RB,,,1.0,,13.0,,,,,0,68,RB,notre-dame-fighting-irish
25,,6.0,,,,,6,Jahmir Smith RB,,,2.0,,12.0,,,,,0,68,RB,notre-dame-fighting-irish
26,,6.0,,,,,10,George Takacs TE,,,2.0,,12.0,,,,,1,68,TE,notre-dame-fighting-irish
27,,3.0,,,,,3,Kyren Williams RB,,,1.0,,3.0,,,,,0,68,RB,notre-dame-fighting-irish
29,,11.1,,,,,54,Chris Finke WR,,,41.0,,456.0,,,,,4,68,WR,notre-dame-fighting-irish
30,,24.4,,,,,65,Javon McKinley WR,,,11.0,,268.0,,,,,4,68,WR,notre-dame-fighting-irish
31,,23.1,,,,,70,Braden Lenzy WR,,,11.0,,254.0,,,,,2,68,WR,notre-dame-fighting-irish
32,,11.4,,,,,29,Tommy Tremble TE,,,16.0,,183.0,,,,,4,68,TE,notre-dame-fighting-irish
33,,10.3,,,,,28,Lawrence Keys III WR,,,13.0,,134.0,,,,,0,68,WR,notre-dame-fighting-irish
34,,12.4,,,,,59,Avery Davis CB,,,10.0,,124.0,,,,,2,68,CB,notre-dame-fighting-irish
35,,6.9,,,,,24,Tony Jones Jr. RB,,,15.0,,104.0,,,,,1,68,RB,notre-dame-fighting-irish
36,,7.5,,,,,26,Jafar Armstrong RB,,,13.0,,97.0,,,,,0,68,RB,notre-dame-fighting-irish
