,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.6,,,200.0,61.0,5.0,55,Nathan Rourke QB,328.0,2820.0,,150.3,,,,21.0,-150.0,20,79,QB,ohio-bobcats
1,7.7,,,1.0,33.3,1.0,23,Joe Mischler QB,3.0,23.0,,31.1,,,,0.0,0.0,0,79,QB,ohio-bobcats
2,21.0,,,1.0,100.0,0.0,21,Drew Keszei WR,1.0,21.0,,276.4,,,,0.0,0.0,0,79,WR,ohio-bobcats
3,2.0,,,1.0,100.0,0.0,2,DL Knock WR,1.0,2.0,,446.8,,,,0.0,0.0,1,79,WR,ohio-bobcats
4,0.0,,,0.0,0.0,0.0,0,Isiah Cox WR,1.0,0.0,,0.0,,,,0.0,0.0,0,79,WR,ohio-bobcats
6,,,6.3,,,,54,O'Shaan Allison RB,,,,,,138.0,869.0,,,6,79,RB,ohio-bobcats
7,,,5.6,,,,72,Nathan Rourke QB,,,,,,154.0,867.0,,,13,79,QB,ohio-bobcats
8,,,3.0,,,,3,Jerome Buckner WR,,,,,,1.0,3.0,,,0,79,WR,ohio-bobcats
9,,,2.0,,,,2,Drew Keszei WR,,,,,,1.0,2.0,,,0,79,WR,ohio-bobcats
10,,,2.0,,,,2,Austen Pleasants OL,,,,,,1.0,2.0,,,1,79,OL,ohio-bobcats
12,,,6.4,,,,55,De'Montre Tuggle RB,,,,,,101.0,644.0,,,11,79,RB,ohio-bobcats
13,,,3.7,,,,21,Julian Ross RB,,,,,,76.0,284.0,,,1,79,RB,ohio-bobcats
14,,,6.0,,,,16,Ja'Vahri Portis RB,,,,,,28.0,168.0,,,4,79,RB,ohio-bobcats
15,,,6.7,,,,8,Kurtis Rourke QB,,,,,,3.0,20.0,,,0,79,QB,ohio-bobcats
16,,,2.1,,,,8,Jake Neatherton RB,,,,,,7.0,15.0,,,0,79,RB,ohio-bobcats
17,,,15.0,,,,15,Isiah Cox WR,,,,,,1.0,15.0,,,0,79,WR,ohio-bobcats
18,,,4.0,,,,4,Joe Mischler QB,,,,,,2.0,8.0,,,0,79,QB,ohio-bobcats
19,,,1.0,,,,1,Tyler Walton WR,,,,,,4.0,4.0,,,0,79,WR,ohio-bobcats
20,,17.0,,,,,55,Isiah Cox WR,,,39.0,,663.0,,,,,2,79,WR,ohio-bobcats
21,,19.8,,,,,49,Shane Hooks WR,,,26.0,,515.0,,,,,5,79,WR,ohio-bobcats
22,,22.0,,,,,23,Camryn Snow WR,,,2.0,,44.0,,,,,0,79,WR,ohio-bobcats
23,,14.0,,,,,25,Adam Luehrman TE,,,3.0,,42.0,,,,,0,79,TE,ohio-bobcats
24,,10.0,,,,,22,Julian Ross RB,,,4.0,,40.0,,,,,1,79,RB,ohio-bobcats
25,,12.0,,,,,16,K.J. Minter WR,,,3.0,,36.0,,,,,0,79,WR,ohio-bobcats
26,,21.0,,,,,21,Bryan Long Jr. WR,,,1.0,,21.0,,,,,0,79,WR,ohio-bobcats
27,,10.0,,,,,10,Alec Burton TE,,,1.0,,10.0,,,,,0,79,TE,ohio-bobcats
28,,2.0,,,,,2,Nathan Rourke QB,,,1.0,,2.0,,,,,1,79,QB,ohio-bobcats
30,,12.9,,,,,36,Ryan Luehrman TE,,,28.0,,360.0,,,,,5,79,TE,ohio-bobcats
31,,18.1,,,,,51,Jerome Buckner WR,,,18.0,,326.0,,,,,2,79,WR,ohio-bobcats
32,,10.9,,,,,24,Cameron Odom WR,,,19.0,,207.0,,,,,0,79,WR,ohio-bobcats
33,,11.1,,,,,38,Tyler Walton WR,,,18.0,,199.0,,,,,1,79,WR,ohio-bobcats
34,,7.6,,,,,18,De'Montre Tuggle RB,,,16.0,,121.0,,,,,1,79,RB,ohio-bobcats
35,,13.2,,,,,22,Tyler Tupa WR,,,9.0,,119.0,,,,,2,79,WR,ohio-bobcats
36,,21.3,,,,,53,DL Knock WR,,,4.0,,85.0,,,,,1,79,WR,ohio-bobcats
37,,6.9,,,,,34,O'Shaan Allison RB,,,11.0,,76.0,,,,,0,79,RB,ohio-bobcats
