,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.4,,,155.0,62.8,11.0,90,Spencer Sanders QB,247.0,2065.0,,145.4,,,,18.0,-98.0,16,31,QB,oklahoma-state-cowboys
1,7.6,,,72.0,67.3,1.0,69,Dru Brown QB,107.0,810.0,,150.6,,,,8.0,-59.0,7,31,QB,oklahoma-state-cowboys
2,5.3,,,4.0,100.0,0.0,8,Shaun Taylor QB,4.0,21.0,,144.1,,,,0.0,0.0,0,31,QB,oklahoma-state-cowboys
3,20.0,,,1.0,100.0,0.0,20,Tom Hutton P,1.0,20.0,,268.0,,,,0.0,0.0,0,31,P,oklahoma-state-cowboys
4,0.0,,,0.0,0.0,0.0,0,Dillon Stoner WR,1.0,0.0,,0.0,,,,0.0,0.0,0,31,WR,oklahoma-state-cowboys
5,0.0,,,0.0,0.0,0.0,0,- Team -,1.0,0.0,,0.0,,,,0.0,0.0,0,31,-,oklahoma-state-cowboys
6,0.0,,,0.0,0.0,0.0,0,Jake McClure PK,1.0,0.0,,0.0,,,,0.0,0.0,0,31,PK,oklahoma-state-cowboys
8,,,6.4,,,,92,Chuba Hubbard RB,,,,,,328.0,2094.0,,,21,31,RB,oklahoma-state-cowboys
9,,,4.5,,,,33,Spencer Sanders QB,,,,,,139.0,628.0,,,2,31,QB,oklahoma-state-cowboys
10,,,-3.6,,,,0,- Team -,,,,,,9.0,-32.0,,,0,31,-,oklahoma-state-cowboys
12,,,5.5,,,,68,LD Brown RB,,,,,,40.0,221.0,,,2,31,RB,oklahoma-state-cowboys
13,,,3.1,,,,6,Jahmyl Jeter RB,,,,,,11.0,34.0,,,0,31,RB,oklahoma-state-cowboys
14,,,12.0,,,,12,Dillon Stoner WR,,,,,,1.0,12.0,,,0,31,WR,oklahoma-state-cowboys
15,,,1.7000000000000002,,,,6,Micah Cooper RB,,,,,,7.0,12.0,,,1,31,RB,oklahoma-state-cowboys
16,,,4.0,,,,7,Deondrick Glass RB,,,,,,2.0,8.0,,,0,31,RB,oklahoma-state-cowboys
17,,,0.30000000000000004,,,,12,Dru Brown QB,,,,,,23.0,6.0,,,1,31,QB,oklahoma-state-cowboys
18,,,2.0,,,,2,A.J. Green CB,,,,,,1.0,2.0,,,0,31,CB,oklahoma-state-cowboys
19,,,0.0,,,,0,Tylan Wallace WR,,,,,,1.0,0.0,,,0,31,WR,oklahoma-state-cowboys
20,,17.0,,,,,90,Tylan Wallace WR,,,53.0,,903.0,,,,,8,31,WR,oklahoma-state-cowboys
21,,11.5,,,,,57,Dillon Stoner WR,,,52.0,,599.0,,,,,5,31,WR,oklahoma-state-cowboys
22,,8.0,,,,,10,Rodarius Williams CB,,,2.0,,16.0,,,,,0,31,CB,oklahoma-state-cowboys
23,,3.0,,,,,6,Logan Carter TE,,,5.0,,15.0,,,,,1,31,TE,oklahoma-state-cowboys
24,,4.0,,,,,6,LC Greenwood WR,,,3.0,,12.0,,,,,0,31,WR,oklahoma-state-cowboys
25,,9.0,,,,,9,Dezmon Jackson RB,,,1.0,,9.0,,,,,0,31,RB,oklahoma-state-cowboys
26,,8.0,,,,,8,Langston Anderson WR,,,1.0,,8.0,,,,,0,31,WR,oklahoma-state-cowboys
27,,4.0,,,,,4,Jacob Morris WR,,,1.0,,4.0,,,,,0,31,WR,oklahoma-state-cowboys
29,,22.6,,,,,69,Braydon Johnson WR,,,21.0,,475.0,,,,,4,31,WR,oklahoma-state-cowboys
30,,12.5,,,,,73,Jordan McCray WR,,,19.0,,237.0,,,,,2,31,WR,oklahoma-state-cowboys
31,,8.6,,,,,46,Chuba Hubbard RB,,,23.0,,198.0,,,,,0,31,RB,oklahoma-state-cowboys
32,,7.6,,,,,30,Landon Wolf WR,,,25.0,,189.0,,,,,0,31,WR,oklahoma-state-cowboys
33,,7.0,,,,,30,Jelani Woods TE,,,16.0,,112.0,,,,,1,31,TE,oklahoma-state-cowboys
34,,20.3,,,,,59,C.J. Moore WR,,,4.0,,81.0,,,,,2,31,WR,oklahoma-state-cowboys
35,,10.7,,,,,15,LD Brown RB,,,3.0,,32.0,,,,,0,31,RB,oklahoma-state-cowboys
36,,8.7,,,,,20,Dayton Metcalf TE,,,3.0,,26.0,,,,,0,31,TE,oklahoma-state-cowboys
