,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.1,,,286.0,66.8,6.0,73,Justin Herbert QB,428.0,3471.0,,156.8,,,,24.0,-173.0,32,98,QB,oregon-ducks
1,9.6,,,12.0,80.0,0.0,35,Tyler Shough QB,15.0,144.0,,226.6,,,,1.0,-2.0,3,98,QB,oregon-ducks
2,0.0,,,0.0,0.0,0.0,0,Juwan Johnson WR,1.0,0.0,,0.0,,,,0.0,0.0,0,98,WR,oregon-ducks
4,,,6.2,,,,89,CJ Verdell RB,,,,,,197.0,1220.0,,,8,98,RB,oregon-ducks
5,,,6.2,,,,47,Travis Dye RB,,,,,,106.0,658.0,,,0,98,RB,oregon-ducks
7,,,4.0,,,,20,Cyrus Habibi-Likio RB,,,,,,85.0,337.0,,,10,98,RB,oregon-ducks
8,,,5.8,,,,62,Darrian Felix RB,,,,,,34.0,197.0,,,2,98,RB,oregon-ducks
9,,,11.6,,,,63,Sean Dollars RB,,,,,,7.0,81.0,,,0,98,RB,oregon-ducks
10,,,0.9,,,,30,Justin Herbert QB,,,,,,58.0,50.0,,,4,98,QB,oregon-ducks
11,,,5.5,,,,13,Tyler Shough QB,,,,,,2.0,11.0,,,0,98,QB,oregon-ducks
12,,,1.7000000000000002,,,,4,Jaylon Redd WR,,,,,,6.0,10.0,,,2,98,WR,oregon-ducks
13,,,1.0,,,,1,Penei Sewell OL,,,,,,1.0,1.0,,,0,98,OL,oregon-ducks
14,,,-9.0,,,,0,Daewood Davis CB,,,,,,1.0,-9.0,,,0,98,CB,oregon-ducks
15,,14.7,,,,,73,Johnny Johnson III WR,,,57.0,,836.0,,,,,7,98,WR,oregon-ducks
16,,15.6,,,,,53,Juwan Johnson WR,,,30.0,,467.0,,,,,4,98,WR,oregon-ducks
17,,9.9,,,,,19,Daewood Davis CB,,,9.0,,89.0,,,,,1,98,CB,oregon-ducks
18,,13.0,,,,,27,Darrian Felix RB,,,6.0,,78.0,,,,,0,98,RB,oregon-ducks
19,,11.8,,,,,21,Hunter Kampmoyer TE,,,5.0,,59.0,,,,,1,98,TE,oregon-ducks
20,,10.8,,,,,16,Ryan Bay TE,,,5.0,,54.0,,,,,1,98,TE,oregon-ducks
21,,22.0,,,,,23,Brenden Schooler WR,,,2.0,,44.0,,,,,0,98,WR,oregon-ducks
22,,3.6,,,,,9,Cyrus Habibi-Likio RB,,,9.0,,32.0,,,,,0,98,RB,oregon-ducks
23,,14.0,,,,,14,Tevin Jeannis WR,,,1.0,,14.0,,,,,0,98,WR,oregon-ducks
24,,1.0,,,,,1,Brady Aiello OL,,,1.0,,1.0,,,,,1,98,OL,oregon-ducks
25,,0.5,,,,,4,Sean Dollars RB,,,2.0,,1.0,,,,,0,98,RB,oregon-ducks
27,,9.3,,,,,36,Jaylon Redd WR,,,50.0,,465.0,,,,,7,98,WR,oregon-ducks
28,,15.6,,,,,66,Jacob Breeland TE,,,26.0,,405.0,,,,,6,98,TE,oregon-ducks
29,,12.6,,,,,39,Mycah Pittman WR,,,18.0,,227.0,,,,,2,98,WR,oregon-ducks
30,,11.6,,,,,24,Spencer Webb TE,,,18.0,,209.0,,,,,3,98,TE,oregon-ducks
31,,11.3,,,,,34,Bryan Addison WR,,,18.0,,203.0,,,,,1,98,WR,oregon-ducks
32,,9.9,,,,,33,Travis Dye RB,,,16.0,,159.0,,,,,1,98,RB,oregon-ducks
33,,13.4,,,,,28,Josh Delgado WR,,,11.0,,147.0,,,,,0,98,WR,oregon-ducks
34,,8.9,,,,,27,CJ Verdell RB,,,14.0,,125.0,,,,,0,98,RB,oregon-ducks
