,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.6,,,222.0,62.0,3.0,75,Jake Luton QB,358.0,2714.0,,149.8,,,,24.0,-170.0,28,99,QB,oregon-state-beavers
1,5.8,,,38.0,63.3,1.0,22,Tristan Gebbia QB,60.0,347.0,,119.6,,,,1.0,-7.0,2,99,QB,oregon-state-beavers
2,0.0,,,0.0,0.0,0.0,0,Daniel Rodriguez P,1.0,0.0,,0.0,,,,0.0,0.0,0,99,P,oregon-state-beavers
4,,,6.0,,,,53,Artavis Pierce RB,,,,,,146.0,873.0,,,6,99,RB,oregon-state-beavers
5,,,4.8,,,,54,Jermar Jefferson RB,,,,,,142.0,685.0,,,8,99,RB,oregon-state-beavers
6,,,-2.0,,,,19,Jake Luton QB,,,,,,44.0,-87.0,,,1,99,QB,oregon-state-beavers
8,,,5.9,,,,74,B.J. Baylor RB,,,,,,30.0,177.0,,,3,99,RB,oregon-state-beavers
9,,,8.9,,,,24,Tyjon Lindsey WR,,,,,,8.0,71.0,,,1,99,WR,oregon-state-beavers
10,,,5.7,,,,11,Calvin Tyler Jr. RB,,,,,,12.0,68.0,,,0,99,RB,oregon-state-beavers
11,,,4.1,,,,15,Tristan Gebbia QB,,,,,,11.0,45.0,,,1,99,QB,oregon-state-beavers
12,,,12.0,,,,18,Trevon Bradford WR,,,,,,2.0,24.0,,,0,99,WR,oregon-state-beavers
13,,,6.0,,,,24,Champ Flemings WR,,,,,,3.0,18.0,,,0,99,WR,oregon-state-beavers
14,,,1.7000000000000002,,,,8,Jack Colletto QB,,,,,,6.0,10.0,,,1,99,QB,oregon-state-beavers
15,,,2.0,,,,6,Ta'Ron Madison RB,,,,,,2.0,4.0,,,0,99,RB,oregon-state-beavers
16,,13.6,,,,,42,Isaiah Hodgins WR,,,86.0,,1171.0,,,,,13,99,WR,oregon-state-beavers
17,,14.3,,,,,75,Champ Flemings WR,,,32.0,,457.0,,,,,3,99,WR,oregon-state-beavers
18,,9.0,,,,,14,Luke Musgrave TE,,,2.0,,18.0,,,,,0,99,TE,oregon-state-beavers
19,,15.0,,,,,15,Calvin Tyler Jr. RB,,,1.0,,15.0,,,,,1,99,RB,oregon-state-beavers
20,,6.0,,,,,6,B.J. Baylor RB,,,1.0,,6.0,,,,,0,99,RB,oregon-state-beavers
22,,9.2,,,,,23,Noah Togiai TE,,,44.0,,406.0,,,,,3,99,TE,oregon-state-beavers
23,,10.0,,,,,45,Kolby Taylor WR,,,22.0,,219.0,,,,,1,99,WR,oregon-state-beavers
24,,11.6,,,,,53,Tyjon Lindsey WR,,,18.0,,209.0,,,,,2,99,WR,oregon-state-beavers
25,,7.3,,,,,20,Artavis Pierce RB,,,23.0,,169.0,,,,,1,99,RB,oregon-state-beavers
26,,9.3,,,,,18,Trevon Bradford WR,,,13.0,,121.0,,,,,1,99,WR,oregon-state-beavers
27,,20.0,,,,,28,Teagan Quitoriano TE,,,5.0,,100.0,,,,,2,99,TE,oregon-state-beavers
28,,21.3,,,,,43,Jesiah Irish WR,,,4.0,,85.0,,,,,1,99,WR,oregon-state-beavers
29,,9.4,,,,,39,Jermar Jefferson RB,,,9.0,,85.0,,,,,2,99,RB,oregon-state-beavers
