,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.3,,,189.0,59.2,7.0,72,Sean Clifford QB,319.0,2654.0,,148.5,,,,24.0,-124.0,23,46,QB,penn-state-nittany-lions
1,4.7,,,28.0,59.6,2.0,44,Will Levis QB,47.0,223.0,,105.0,,,,8.0,-55.0,2,46,QB,penn-state-nittany-lions
2,0.0,,,0.0,0.0,0.0,0,Ta'Quan Roberson QB,1.0,0.0,,0.0,,,,0.0,0.0,0,46,QB,penn-state-nittany-lions
4,,,6.9,,,,85,Journey Brown RB,,,,,,129.0,890.0,,,12,46,RB,penn-state-nittany-lions
5,,,5.3,,,,27,Noah Cain RB,,,,,,84.0,443.0,,,8,46,RB,penn-state-nittany-lions
6,,,-5.0,,,,0,Michael Shuster QB,,,,,,1.0,-5.0,,,0,46,QB,penn-state-nittany-lions
8,,,3.5,,,,58,Sean Clifford QB,,,,,,116.0,402.0,,,5,46,QB,penn-state-nittany-lions
9,,,5.7,,,,81,Devyn Ford RB,,,,,,52.0,294.0,,,3,46,RB,penn-state-nittany-lions
10,,,4.6,,,,44,Ricky Slade RB,,,,,,47.0,214.0,,,2,46,RB,penn-state-nittany-lions
11,,,4.2,,,,49,Will Levis QB,,,,,,51.0,213.0,,,3,46,QB,penn-state-nittany-lions
12,,,7.3,,,,10,Nick Eury RB,,,,,,6.0,44.0,,,1,46,RB,penn-state-nittany-lions
13,,,3.3,,,,16,KJ Hamler WR,,,,,,13.0,43.0,,,0,46,WR,penn-state-nittany-lions
14,,,0.0,,,,4,Jahan Dotson WR,,,,,,2.0,0.0,,,0,46,WR,penn-state-nittany-lions
15,,,-1.0,,,,0,Ta'Quan Roberson QB,,,,,,1.0,-1.0,,,0,46,QB,penn-state-nittany-lions
16,,16.1,,,,,58,KJ Hamler WR,,,56.0,,904.0,,,,,8,46,WR,penn-state-nittany-lions
17,,11.8,,,,,28,Pat Freiermuth TE,,,43.0,,507.0,,,,,7,46,TE,penn-state-nittany-lions
18,,7.4,,,,,20,Noah Cain RB,,,7.0,,52.0,,,,,0,46,RB,penn-state-nittany-lions
19,,6.0,,,,,15,Devyn Ford RB,,,5.0,,30.0,,,,,0,46,RB,penn-state-nittany-lions
20,,9.0,,,,,11,Weston Carr WR,,,3.0,,27.0,,,,,0,46,WR,penn-state-nittany-lions
21,,9.0,,,,,10,Zack Kuntz TE,,,2.0,,18.0,,,,,0,46,TE,penn-state-nittany-lions
22,,15.0,,,,,15,Isaac Lutz WR,,,1.0,,15.0,,,,,0,46,WR,penn-state-nittany-lions
23,,15.0,,,,,15,Mac Hippenhammer WR,,,1.0,,15.0,,,,,0,46,WR,penn-state-nittany-lions
24,,10.0,,,,,10,Justin Weller WR,,,1.0,,10.0,,,,,0,46,WR,penn-state-nittany-lions
25,,4.0,,,,,4,Brenton Strange TE,,,1.0,,4.0,,,,,1,46,TE,penn-state-nittany-lions
26,,-5.0,,,,,-5,Des Holmes OL,,,1.0,,-5.0,,,,,0,46,OL,penn-state-nittany-lions
28,,18.1,,,,,72,Jahan Dotson WR,,,27.0,,488.0,,,,,5,46,WR,penn-state-nittany-lions
29,,21.4,,,,,55,Nick Bowers TE,,,10.0,,214.0,,,,,3,46,TE,penn-state-nittany-lions
30,,11.4,,,,,18,Justin Shorter WR,,,12.0,,137.0,,,,,0,46,WR,penn-state-nittany-lions
31,,8.9,,,,,37,Journey Brown RB,,,15.0,,134.0,,,,,1,46,RB,penn-state-nittany-lions
32,,8.8,,,,,40,Ricky Slade RB,,,12.0,,105.0,,,,,0,46,RB,penn-state-nittany-lions
33,,11.1,,,,,22,Daniel George WR,,,9.0,,100.0,,,,,0,46,WR,penn-state-nittany-lions
34,,22.0,,,,,40,Dan Chisena WR,,,3.0,,66.0,,,,,0,46,WR,penn-state-nittany-lions
35,,7.0,,,,,14,Cam Sullivan-Brown WR,,,8.0,,56.0,,,,,0,46,WR,penn-state-nittany-lions
