,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.6,,,289.0,61.6,9.0,96,Kenny Pickett QB,469.0,3098.0,,122.4,,,,29.0,-212.0,13,21,QB,pittsburgh-panthers
1,7.0,,,26.0,60.5,1.0,48,Nick Patti QB,43.0,301.0,,137.6,,,,0.0,0.0,3,21,QB,pittsburgh-panthers
2,3.0,,,1.0,100.0,0.0,3,Aaron Mathews WR,1.0,3.0,,455.2,,,,0.0,0.0,1,21,WR,pittsburgh-panthers
4,,,4.2,,,,22,A.J. Davis RB,,,,,,127.0,530.0,,,4,21,RB,pittsburgh-panthers
5,,,5.1,,,,61,Vincent Davis RB,,,,,,61.0,314.0,,,5,21,RB,pittsburgh-panthers
6,,,-1.9,,,,0,-,,,,,,14.0,-27.0,,,0,21,-,pittsburgh-panthers
8,,,5.0,,,,33,Todd Sibley Jr. RB,,,,,,50.0,249.0,,,0,21,RB,pittsburgh-panthers
9,,,3.7,,,,26,V'Lique Carter WR,,,,,,65.0,243.0,,,0,21,WR,pittsburgh-panthers
10,,,1.2,,,,30,Kenny Pickett QB,,,,,,95.0,110.0,,,2,21,QB,pittsburgh-panthers
11,,,6.4,,,,17,Shocky Jacques-Louis WR,,,,,,13.0,83.0,,,0,21,WR,pittsburgh-panthers
12,,,5.4,,,,10,Nick Patti QB,,,,,,5.0,27.0,,,0,21,QB,pittsburgh-panthers
13,,,2.4,,,,14,Maurice Ffrench WR,,,,,,9.0,22.0,,,0,21,WR,pittsburgh-panthers
14,,,-3.0,,,,0,Jared Wayne WR,,,,,,1.0,-3.0,,,0,21,WR,pittsburgh-panthers
15,,,-4.0,,,,0,Aaron Mathews WR,,,,,,1.0,-4.0,,,0,21,WR,pittsburgh-panthers
16,,8.9,,,,,96,Maurice Ffrench WR,,,96.0,,850.0,,,,,4,21,WR,pittsburgh-panthers
17,,11.7,,,,,48,Taysir Mack WR,,,63.0,,736.0,,,,,3,21,WR,pittsburgh-panthers
18,,10.8,,,,,27,Dontavius Butler-Jenkins WR,,,6.0,,65.0,,,,,1,21,WR,pittsburgh-panthers
19,,5.6,,,,,28,Vincent Davis RB,,,5.0,,28.0,,,,,0,21,RB,pittsburgh-panthers
20,,9.0,,,,,16,Todd Sibley Jr. RB,,,2.0,,18.0,,,,,0,21,RB,pittsburgh-panthers
21,,2.0,,,,,5,John Vardzel WR,,,3.0,,6.0,,,,,0,21,WR,pittsburgh-panthers
22,,3.0,,,,,3,Rashad Wheeler OL,,,1.0,,3.0,,,,,0,21,OL,pittsburgh-panthers
23,,3.0,,,,,3,Kenny Pickett QB,,,1.0,,3.0,,,,,1,21,QB,pittsburgh-panthers
25,,15.1,,,,,74,Shocky Jacques-Louis WR,,,23.0,,348.0,,,,,2,21,WR,pittsburgh-panthers
26,,11.7,,,,,59,A.J. Davis RB,,,23.0,,269.0,,,,,0,21,RB,pittsburgh-panthers
27,,14.5,,,,,31,Jared Wayne WR,,,18.0,,261.0,,,,,1,21,WR,pittsburgh-panthers
28,,16.9,,,,,43,Aaron Mathews WR,,,13.0,,220.0,,,,,1,21,WR,pittsburgh-panthers
29,,9.7,,,,,36,Nakia Griffin-Stewart TE,,,19.0,,185.0,,,,,1,21,TE,pittsburgh-panthers
30,,10.8,,,,,30,V'Lique Carter WR,,,17.0,,183.0,,,,,2,21,WR,pittsburgh-panthers
31,,7.7,,,,,19,Will Gragg TE,,,19.0,,146.0,,,,,0,21,TE,pittsburgh-panthers
32,,11.6,,,,,20,Tre Tipton WR,,,7.0,,81.0,,,,,1,21,WR,pittsburgh-panthers
