,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,5.6,,,83.0,51.6,7.0,75,Cephus Johnson QB,161.0,900.0,,100.1,,,,15.0,-86.0,5,126,QB,south-alabama-jaguars
1,8.5,,,56.0,57.7,2.0,53,Desmond Trotter QB,97.0,820.0,,151.8,,,,9.0,-60.0,8,126,QB,south-alabama-jaguars
2,7.8,,,10.0,41.7,2.0,74,Tylan Morton QB,24.0,186.0,,103.9,,,,4.0,-20.0,1,126,QB,south-alabama-jaguars
4,,,5.5,,,,49,Tra Minter RB,,,,,,193.0,1057.0,,,5,126,RB,south-alabama-jaguars
5,,,4.3,,,,36,Carlos Davis RB,,,,,,60.0,261.0,,,2,126,RB,south-alabama-jaguars
6,,,1.6,,,,3,Terrion Avery RB,,,,,,8.0,13.0,,,0,126,RB,south-alabama-jaguars
7,,,-3.0,,,,0,Cade Sutherland WR,,,,,,1.0,-3.0,,,0,126,WR,south-alabama-jaguars
8,,,-5.0,,,,0,- Team -,,,,,,5.0,-25.0,,,0,126,-,south-alabama-jaguars
10,,,3.2,,,,25,Desmond Trotter QB,,,,,,61.0,197.0,,,0,126,QB,south-alabama-jaguars
11,,,2.4,,,,27,Cephus Johnson QB,,,,,,75.0,181.0,,,4,126,QB,south-alabama-jaguars
12,,,3.6,,,,26,Jared Wilson RB,,,,,,49.0,176.0,,,1,126,RB,south-alabama-jaguars
13,,,4.2,,,,26,Kawaan Baker WR,,,,,,20.0,83.0,,,2,126,WR,south-alabama-jaguars
14,,,6.0,,,,14,Tony Brown RB,,,,,,7.0,42.0,,,0,126,RB,south-alabama-jaguars
15,,,3.2,,,,9,John Tank Miller RB,,,,,,12.0,38.0,,,0,126,RB,south-alabama-jaguars
16,,,1.3,,,,7,Tylan Morton QB,,,,,,15.0,20.0,,,1,126,QB,south-alabama-jaguars
17,,,5.7,,,,7,Damean Bivins RB,,,,,,3.0,17.0,,,0,126,RB,south-alabama-jaguars
18,,16.4,,,,,75,Kawaan Baker WR,,,35.0,,574.0,,,,,3,126,WR,south-alabama-jaguars
19,,19.3,,,,,60,Jalen Tolbert WR,,,27.0,,521.0,,,,,6,126,WR,south-alabama-jaguars
20,,11.0,,,,,15,John Tank Miller RB,,,2.0,,22.0,,,,,0,126,RB,south-alabama-jaguars
21,,9.0,,,,,13,Khameron Taylor TE,,,2.0,,18.0,,,,,1,126,TE,south-alabama-jaguars
22,,15.0,,,,,15,Nick Thompson TE,,,1.0,,15.0,,,,,0,126,TE,south-alabama-jaguars
23,,7.0,,,,,7,Jared Wilson RB,,,1.0,,7.0,,,,,0,126,RB,south-alabama-jaguars
24,,3.0,,,,,5,Devin Voisin WR,,,2.0,,6.0,,,,,0,126,WR,south-alabama-jaguars
25,,2.0,,,,,2,Jamel Thomas WR,,,1.0,,2.0,,,,,0,126,WR,south-alabama-jaguars
27,,6.5,,,,,27,Tra Minter RB,,,32.0,,209.0,,,,,0,126,RB,south-alabama-jaguars
28,,16.4,,,,,53,Cade Sutherland WR,,,10.0,,164.0,,,,,0,126,WR,south-alabama-jaguars
29,,9.1,,,,,22,Davyn Flenord WR,,,14.0,,127.0,,,,,2,126,WR,south-alabama-jaguars
30,,10.8,,,,,27,Brandon Crum TE,,,6.0,,65.0,,,,,0,126,TE,south-alabama-jaguars
31,,12.4,,,,,20,Jalen Wayne WR,,,5.0,,62.0,,,,,2,126,WR,south-alabama-jaguars
32,,7.2,,,,,13,Carlos Davis RB,,,6.0,,43.0,,,,,0,126,RB,south-alabama-jaguars
33,,14.3,,,,,33,Tre'Veon Hamilton WR,,,3.0,,43.0,,,,,0,126,WR,south-alabama-jaguars
34,,14.0,,,,,18,Zac Crosby TE,,,2.0,,28.0,,,,,0,126,TE,south-alabama-jaguars
