,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,5.8,,,236.0,58.1,5.0,75,Ryan Hilinski QB,406.0,2357.0,,113.4,,,,19.0,-128.0,11,116,QB,south-carolina-gamecocks
1,6.0,,,16.0,57.1,0.0,25,Dakereon Joyner QB,28.0,168.0,,107.5,,,,3.0,-19.0,0,116,QB,south-carolina-gamecocks
2,4.7,,,16.0,53.3,2.0,26,Jake Bentley QB,30.0,142.0,,90.8,,,,3.0,-19.0,1,116,QB,south-carolina-gamecocks
3,0.0,,,0.0,0.0,0.0,0,Shi Smith WR,1.0,0.0,,0.0,,,,0.0,0.0,0,116,WR,south-carolina-gamecocks
5,,,5.4,,,,37,Tavien Feaster RB,,,,,,124.0,672.0,,,5,116,RB,south-carolina-gamecocks
6,,,4.7,,,,35,Rico Dowdle RB,,,,,,106.0,498.0,,,4,116,RB,south-carolina-gamecocks
7,,,5.0,,,,5,Josh Vann WR,,,,,,1.0,5.0,,,0,116,WR,south-carolina-gamecocks
8,,,3.0,,,,3,Parker White PK,,,,,,1.0,3.0,,,0,116,PK,south-carolina-gamecocks
9,,,-1.0,,,,0,OrTre Smith WR,,,,,,1.0,-1.0,,,0,116,WR,south-carolina-gamecocks
10,,,-0.8,,,,9,Jake Bentley QB,,,,,,6.0,-5.0,,,0,116,QB,south-carolina-gamecocks
11,,,-1.7000000000000002,,,,14,Ryan Hilinski QB,,,,,,33.0,-55.0,,,1,116,QB,south-carolina-gamecocks
13,,,5.9,,,,57,Mon Denson RB,,,,,,39.0,232.0,,,3,116,RB,south-carolina-gamecocks
14,,,8.5,,,,75,Kevin Harris RB,,,,,,21.0,179.0,,,4,116,RB,south-carolina-gamecocks
15,,,5.0,,,,18,Deshaun Fenwick RB,,,,,,22.0,111.0,,,0,116,RB,south-carolina-gamecocks
16,,,3.7,,,,41,Dakereon Joyner QB,,,,,,29.0,107.0,,,1,116,QB,south-carolina-gamecocks
17,,,11.0,,,,15,Bryan Edwards WR,,,,,,2.0,22.0,,,0,116,WR,south-carolina-gamecocks
18,,,3.5,,,,6,A.J. Turner RB,,,,,,4.0,14.0,,,0,116,RB,south-carolina-gamecocks
19,,,10.0,,,,10,Joseph Charlton P,,,,,,1.0,10.0,,,0,116,P,south-carolina-gamecocks
20,,,2.7,,,,5,Shi Smith WR,,,,,,3.0,8.0,,,0,116,WR,south-carolina-gamecocks
21,,11.5,,,,,75,Bryan Edwards WR,,,71.0,,816.0,,,,,6,116,WR,south-carolina-gamecocks
22,,11.4,,,,,75,Shi Smith WR,,,43.0,,489.0,,,,,2,116,WR,south-carolina-gamecocks
23,,19.3,,,,,29,Trey Adkins WR,,,3.0,,58.0,,,,,0,116,WR,south-carolina-gamecocks
24,,14.0,,,,,20,Chad Terrell WR,,,4.0,,56.0,,,,,0,116,WR,south-carolina-gamecocks
25,,7.7,,,,,13,Dakereon Joyner QB,,,6.0,,46.0,,,,,0,116,QB,south-carolina-gamecocks
26,,8.7,,,,,11,Kevin Harris RB,,,3.0,,26.0,,,,,0,116,RB,south-carolina-gamecocks
27,,11.0,,,,,11,Jay Urich QB,,,1.0,,11.0,,,,,0,116,QB,south-carolina-gamecocks
28,,-7.0,,,,,0,Ryan Hilinski QB,,,2.0,,-14.0,,,,,0,116,QB,south-carolina-gamecocks
30,,11.3,,,,,30,Kyle Markway TE,,,31.0,,349.0,,,,,2,116,TE,south-carolina-gamecocks
31,,9.0,,,,,19,Josh Vann WR,,,19.0,,171.0,,,,,0,116,WR,south-carolina-gamecocks
32,,7.6,,,,,26,Rico Dowdle RB,,,22.0,,167.0,,,,,0,116,RB,south-carolina-gamecocks
33,,9.3,,,,,21,Nick Muse TE,,,17.0,,158.0,,,,,0,116,TE,south-carolina-gamecocks
34,,9.8,,,,,21,Chavis Dawkins WR,,,10.0,,98.0,,,,,0,116,WR,south-carolina-gamecocks
35,,5.1,,,,,14,Tavien Feaster RB,,,17.0,,87.0,,,,,0,116,RB,south-carolina-gamecocks
36,,8.9,,,,,20,Xavier Legette WR,,,9.0,,80.0,,,,,1,116,WR,south-carolina-gamecocks
37,,7.7,,,,,17,OrTre Smith WR,,,9.0,,69.0,,,,,1,116,WR,south-carolina-gamecocks
