,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.6,,,275.0,67.9,15.0,77,Jack Abraham QB,405.0,3496.0,,148.5,,,,21.0,-168.0,19,59,QB,southern-mississippi-golden-eagles
1,6.9,,,12.0,41.4,2.0,42,Tate Whatley QB,29.0,199.0,,85.2,,,,2.0,-15.0,0,59,QB,southern-mississippi-golden-eagles
2,30.0,,,2.0,100.0,0.0,51,Neil McLaurin WR,2.0,60.0,,517.0,,,,0.0,0.0,1,59,WR,southern-mississippi-golden-eagles
3,4.5,,,2.0,100.0,0.0,7,Zac Everett P,2.0,9.0,,137.8,,,,0.0,0.0,0,59,P,southern-mississippi-golden-eagles
5,,,5.3,,,,79,Kevin Perkins RB,,,,,,103.0,547.0,,,3,59,RB,southern-mississippi-golden-eagles
6,,,4.8,,,,60,De'Michael Harris WR,,,,,,113.0,541.0,,,5,59,WR,southern-mississippi-golden-eagles
7,,,10.0,,,,10,Zac Everett P,,,,,,1.0,10.0,,,0,59,P,southern-mississippi-golden-eagles
8,,,3.0,,,,9,Chandler Rogers QB,,,,,,2.0,6.0,,,0,59,QB,southern-mississippi-golden-eagles
9,,,1.0,,,,1,Quez Watkins WR,,,,,,1.0,1.0,,,0,59,WR,southern-mississippi-golden-eagles
10,,,-2.0,,,,0,Tim Jones WR,,,,,,1.0,-2.0,,,0,59,WR,southern-mississippi-golden-eagles
11,,,-4.0,,,,0,Trace Clopton OL,,,,,,1.0,-4.0,,,0,59,OL,southern-mississippi-golden-eagles
12,,,-2.0,,,,0,-,,,,,,6.0,-12.0,,,0,59,-,southern-mississippi-golden-eagles
14,,,3.1,,,,11,Steven Anderson RB,,,,,,62.0,195.0,,,3,59,RB,southern-mississippi-golden-eagles
15,,,1.0,,,,37,Jack Abraham QB,,,,,,81.0,77.0,,,6,59,QB,southern-mississippi-golden-eagles
16,,,5.1,,,,12,Trivenskey Mosley RB,,,,,,10.0,51.0,,,0,59,RB,southern-mississippi-golden-eagles
17,,,3.9,,,,15,Dee Baker RB,,,,,,11.0,43.0,,,0,59,RB,southern-mississippi-golden-eagles
18,,,1.3,,,,12,Darius Maberry RB,,,,,,18.0,24.0,,,0,59,RB,southern-mississippi-golden-eagles
19,,,1.5,,,,17,Tate Whatley QB,,,,,,13.0,19.0,,,0,59,QB,southern-mississippi-golden-eagles
20,,,2.3,,,,4,Jaylond Adams WR,,,,,,7.0,16.0,,,0,59,WR,southern-mississippi-golden-eagles
21,,,3.8,,,,8,Jordan Kempf RB,,,,,,4.0,15.0,,,0,59,RB,southern-mississippi-golden-eagles
22,,18.4,,,,,77,Quez Watkins WR,,,64.0,,1178.0,,,,,6,59,WR,southern-mississippi-golden-eagles
23,,12.4,,,,,68,Tim Jones WR,,,73.0,,902.0,,,,,3,59,WR,southern-mississippi-golden-eagles
24,,6.6,,,,,17,Trivenskey Mosley RB,,,5.0,,33.0,,,,,0,59,RB,southern-mississippi-golden-eagles
25,,9.0,,,,,9,Jack Abraham QB,,,1.0,,9.0,,,,,0,59,QB,southern-mississippi-golden-eagles
26,,4.0,,,,,9,Steven Anderson RB,,,2.0,,8.0,,,,,0,59,RB,southern-mississippi-golden-eagles
27,,7.0,,,,,7,D.Q. Thomas DB,,,1.0,,7.0,,,,,0,59,DB,southern-mississippi-golden-eagles
28,,2.0,,,,,2,Rachuan Mitchell DB,,,1.0,,2.0,,,,,0,59,DB,southern-mississippi-golden-eagles
30,,10.1,,,,,48,Jaylond Adams WR,,,48.0,,483.0,,,,,2,59,WR,southern-mississippi-golden-eagles
31,,16.3,,,,,65,Jordan Mitchell WR,,,23.0,,376.0,,,,,3,59,WR,southern-mississippi-golden-eagles
32,,10.2,,,,,74,De'Michael Harris WR,,,34.0,,346.0,,,,,3,59,WR,southern-mississippi-golden-eagles
33,,11.8,,,,,55,Neil McLaurin WR,,,17.0,,201.0,,,,,1,59,WR,southern-mississippi-golden-eagles
34,,10.0,,,,,20,Trevor Terry WR,,,9.0,,90.0,,,,,0,59,WR,southern-mississippi-golden-eagles
35,,6.6,,,,,14,Kevin Perkins RB,,,7.0,,46.0,,,,,0,59,RB,southern-mississippi-golden-eagles
36,,22.5,,,,,28,Cole Cavallo TE,,,2.0,,45.0,,,,,0,59,TE,southern-mississippi-golden-eagles
37,,9.5,,,,,15,Ray Ladner TE,,,4.0,,38.0,,,,,2,59,TE,southern-mississippi-golden-eagles
