,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.1,,,181.0,53.4,10.0,55,Max Duggan QB,339.0,2077.0,,113.6,,,,25.0,-158.0,15,32,QB,tcu-horned-frogs
1,6.4,,,27.0,54.0,1.0,52,Alex Delton QB,50.0,318.0,,103.4,,,,3.0,-26.0,0,32,QB,tcu-horned-frogs
2,9.8,,,3.0,60.0,0.0,27,Mike Collins QB,5.0,49.0,,142.3,,,,1.0,-2.0,0,32,QB,tcu-horned-frogs
4,,,5.4,,,,77,Darius Anderson RB,,,,,,151.0,823.0,,,6,32,RB,tcu-horned-frogs
5,,,4.3,,,,62,Max Duggan QB,,,,,,130.0,555.0,,,6,32,QB,tcu-horned-frogs
6,,,4.0,,,,12,Te'Vailance Hunt WR,,,,,,3.0,12.0,,,0,32,WR,tcu-horned-frogs
7,,,4.5,,,,11,Mike Collins QB,,,,,,2.0,9.0,,,1,32,QB,tcu-horned-frogs
9,,,4.0,,,,35,Sewo Olonilua RB,,,,,,134.0,537.0,,,8,32,RB,tcu-horned-frogs
10,,,5.9,,,,54,Alex Delton QB,,,,,,17.0,100.0,,,0,32,QB,tcu-horned-frogs
11,,,4.5,,,,14,Darwin Barlow RB,,,,,,22.0,99.0,,,1,32,RB,tcu-horned-frogs
12,,,6.4,,,,29,Jalen Reagor WR,,,,,,14.0,89.0,,,0,32,WR,tcu-horned-frogs
13,,,17.4,,,,64,Taye Barber WR,,,,,,5.0,87.0,,,0,32,WR,tcu-horned-frogs
14,,,8.3,,,,22,Daimarqua Foster RB,,,,,,8.0,66.0,,,1,32,RB,tcu-horned-frogs
15,,,3.6,,,,20,Emari Demercado RB,,,,,,18.0,65.0,,,0,32,RB,tcu-horned-frogs
16,,,6.0,,,,19,Derius Davis WR,,,,,,3.0,18.0,,,0,32,WR,tcu-horned-frogs
17,,14.2,,,,,55,Jalen Reagor WR,,,43.0,,611.0,,,,,5,32,WR,tcu-horned-frogs
18,,12.8,,,,,51,Taye Barber WR,,,29.0,,372.0,,,,,0,32,WR,tcu-horned-frogs
19,,13.5,,,,,47,TreVontae Hights WR,,,8.0,,108.0,,,,,0,32,WR,tcu-horned-frogs
20,,8.3,,,,,14,Blair Conwright WR,,,3.0,,25.0,,,,,0,32,WR,tcu-horned-frogs
21,,22.0,,,,,22,Al'Dontre Davis WR,,,1.0,,22.0,,,,,1,32,WR,tcu-horned-frogs
22,,10.0,,,,,10,Darwin Barlow RB,,,1.0,,10.0,,,,,0,32,RB,tcu-horned-frogs
23,,4.5,,,,,7,Carter Ware TE,,,2.0,,9.0,,,,,0,32,TE,tcu-horned-frogs
25,,15.4,,,,,49,Te'Vailance Hunt WR,,,20.0,,308.0,,,,,1,32,WR,tcu-horned-frogs
26,,11.5,,,,,29,Pro Wells TE,,,17.0,,196.0,,,,,5,32,TE,tcu-horned-frogs
27,,13.7,,,,,52,Derius Davis WR,,,11.0,,151.0,,,,,0,32,WR,tcu-horned-frogs
28,,13.7,,,,,38,John Stephens Jr. WR,,,11.0,,151.0,,,,,0,32,WR,tcu-horned-frogs
29,,5.8,,,,,32,Darius Anderson RB,,,22.0,,128.0,,,,,0,32,RB,tcu-horned-frogs
30,,15.1,,,,,30,Dylan Thomas WR,,,8.0,,121.0,,,,,1,32,WR,tcu-horned-frogs
31,,10.7,,,,,25,Artayvious Lynn TE,,,11.0,,118.0,,,,,1,32,TE,tcu-horned-frogs
32,,4.8,,,,,19,Sewo Olonilua RB,,,24.0,,114.0,,,,,1,32,RB,tcu-horned-frogs
