,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.9,,,147.0,63.6,14.0,64,Tyler Vitt QB,231.0,1590.0,,125.0,,,,15.0,-98.0,11,127,QB,texas-state-bobcats
1,6.3,,,129.0,62.6,6.0,77,Gresch Jensen QB,206.0,1291.0,,117.4,,,,15.0,-109.0,5,127,QB,texas-state-bobcats
2,4.0,,,1.0,50.0,0.0,8,Hutch White WR,2.0,8.0,,248.6,,,,0.0,0.0,1,127,WR,texas-state-bobcats
3,4.0,,,1.0,100.0,0.0,4,Seamus O'Kelly P,1.0,4.0,,133.6,,,,0.0,0.0,0,127,P,texas-state-bobcats
4,0.0,,,0.0,0.0,0.0,0,Jaylin Nelson RB,1.0,0.0,,0.0,,,,0.0,0.0,0,127,RB,texas-state-bobcats
6,,,4.5,,,,60,Caleb Twyford WR,,,,,,108.0,488.0,,,2,127,WR,texas-state-bobcats
7,,,3.0,,,,20,Anthony D. Taylor RB,,,,,,74.0,223.0,,,2,127,RB,texas-state-bobcats
8,,,-7.2,,,,0,-,,,,,,6.0,-43.0,,,0,127,-,texas-state-bobcats
9,,,-1.8,,,,22,Gresch Jensen QB,,,,,,28.0,-49.0,,,2,127,QB,texas-state-bobcats
11,,,5.8,,,,40,Robert Brown Jr. RB,,,,,,28.0,161.0,,,1,127,RB,texas-state-bobcats
12,,,2.1,,,,25,Tyler Vitt QB,,,,,,56.0,119.0,,,0,127,QB,texas-state-bobcats
13,,,1.8,,,,10,Calvin Hill RB,,,,,,16.0,28.0,,,1,127,RB,texas-state-bobcats
14,,,4.6,,,,11,Jaylin Nelson RB,,,,,,5.0,23.0,,,0,127,RB,texas-state-bobcats
15,,,5.0,,,,5,Ishmael Davis DE,,,,,,1.0,5.0,,,0,127,DE,texas-state-bobcats
16,,,-1.0,,,,2,Hutch White WR,,,,,,3.0,-3.0,,,0,127,WR,texas-state-bobcats
17,,,-6.0,,,,0,Kieston Roach CB,,,,,,1.0,-6.0,,,0,127,CB,texas-state-bobcats
18,,,-25.0,,,,0,Seamus O'Kelly P,,,,,,1.0,-25.0,,,0,127,P,texas-state-bobcats
19,,9.2,,,,,40,Hutch White WR,,,67.0,,618.0,,,,,2,127,WR,texas-state-bobcats
20,,18.4,,,,,77,Javen Banks WR,,,20.0,,367.0,,,,,4,127,WR,texas-state-bobcats
21,,13.8,,,,,22,Jacoby Hopkins WR,,,5.0,,69.0,,,,,1,127,WR,texas-state-bobcats
22,,42.0,,,,,42,Kenny Frazier WR,,,1.0,,42.0,,,,,0,127,WR,texas-state-bobcats
23,,9.3,,,,,15,Seth Caillouet TE,,,4.0,,37.0,,,,,0,127,TE,texas-state-bobcats
24,,11.0,,,,,12,Dylan Jantz WR,,,2.0,,22.0,,,,,0,127,WR,texas-state-bobcats
25,,4.7,,,,,12,Hunter Hebert TE,,,3.0,,14.0,,,,,0,127,TE,texas-state-bobcats
26,,12.0,,,,,12,Chandler Speights WR,,,1.0,,12.0,,,,,0,127,WR,texas-state-bobcats
27,,3.7,,,,,9,Robert Brown Jr. RB,,,3.0,,11.0,,,,,0,127,RB,texas-state-bobcats
28,,4.5,,,,,5,Blake Aragon WR,,,2.0,,9.0,,,,,0,127,WR,texas-state-bobcats
29,,8.0,,,,,8,Tyler Vitt QB,,,1.0,,8.0,,,,,1,127,QB,texas-state-bobcats
30,,4.0,,,,,4,Jaylin Nelson RB,,,1.0,,4.0,,,,,0,127,RB,texas-state-bobcats
31,,12.6,,,,,62,Trevis Graham Jr. WR,,,28.0,,353.0,,,,,4,127,WR,texas-state-bobcats
32,,4.0,,,,,4,Kumonde Hines LB,,,1.0,,4.0,,,,,0,127,LB,texas-state-bobcats
34,,10.1,,,,,37,Jeremiah Haydel WR,,,32.0,,324.0,,,,,0,127,WR,texas-state-bobcats
35,,13.3,,,,,64,Mason Hays WR,,,20.0,,265.0,,,,,1,127,WR,texas-state-bobcats
36,,11.2,,,,,50,Jah'Marae Sheread WR,,,21.0,,236.0,,,,,1,127,WR,texas-state-bobcats
37,,13.4,,,,,36,Micah Hilts WR,,,13.0,,174.0,,,,,1,127,WR,texas-state-bobcats
38,,5.4,,,,,35,Caleb Twyford WR,,,27.0,,145.0,,,,,1,127,WR,texas-state-bobcats
39,,5.5,,,,,23,Anthony D. Taylor RB,,,20.0,,110.0,,,,,1,127,RB,texas-state-bobcats
40,,11.5,,,,,28,Calvin Hill RB,,,6.0,,69.0,,,,,0,127,RB,texas-state-bobcats
