,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.7,,,239.0,65.1,5.0,81,Jett Duffey QB,367.0,2840.0,,143.6,,,,16.0,-95.0,18,34,QB,texas-tech-red-raiders
1,6.6,,,101.0,65.6,3.0,66,Alan Bowman QB,154.0,1020.0,,130.2,,,,2.0,-8.0,6,34,QB,texas-tech-red-raiders
2,34.0,,,1.0,100.0,0.0,34,Austin McNamara PK,1.0,34.0,,385.6,,,,0.0,0.0,0,34,PK,texas-tech-red-raiders
3,0.30000000000000004,,,1.0,12.5,0.0,2,Jackson Tyner QB,8.0,2.0,,14.6,,,,0.0,0.0,0,34,QB,texas-tech-red-raiders
4,0.0,,,0.0,0.0,0.0,0,McLane Mannix WR,1.0,0.0,,0.0,,,,0.0,0.0,0,34,WR,texas-tech-red-raiders
6,,,4.8,,,,58,SaRodorick Thompson RB,,,,,,160.0,765.0,,,12,34,RB,texas-tech-red-raiders
7,,,5.8,,,,69,Armand Shyne RB,,,,,,65.0,374.0,,,3,34,RB,texas-tech-red-raiders
8,,,5.0,,,,5,Xavier Martin WR,,,,,,1.0,5.0,,,0,34,WR,texas-tech-red-raiders
9,,,1.0,,,,1,Chux Nwabuko III RB,,,,,,1.0,1.0,,,0,34,RB,texas-tech-red-raiders
10,,,0.0,,,,0,Xavier White WR,,,,,,1.0,0.0,,,0,34,WR,texas-tech-red-raiders
11,,,-1.3,,,,0,-,,,,,,3.0,-4.0,,,0,34,-,texas-tech-red-raiders
12,,,-2.0,,,,1,Mark Richardson WR,,,,,,2.0,-4.0,,,0,34,WR,texas-tech-red-raiders
14,,,4.5,,,,19,Ta'Zhawn Henry RB,,,,,,75.0,340.0,,,3,34,RB,texas-tech-red-raiders
15,,,2.9,,,,19,Jett Duffey QB,,,,,,72.0,212.0,,,1,34,QB,texas-tech-red-raiders
16,,,12.3,,,,23,McLane Mannix WR,,,,,,3.0,37.0,,,0,34,WR,texas-tech-red-raiders
17,,,5.6,,,,13,Jax Welch RB,,,,,,5.0,28.0,,,0,34,RB,texas-tech-red-raiders
18,,,2.0,,,,10,Alan Bowman QB,,,,,,7.0,14.0,,,1,34,QB,texas-tech-red-raiders
19,,,2.0,,,,8,Dalton Rigdon WR,,,,,,6.0,12.0,,,0,34,WR,texas-tech-red-raiders
20,,,4.5,,,,6,Jaylon Hutchings DL,,,,,,2.0,9.0,,,0,34,DL,texas-tech-red-raiders
21,,,6.0,,,,6,Jackson Tyner QB,,,,,,1.0,6.0,,,0,34,QB,texas-tech-red-raiders
22,,15.8,,,,,56,Erik Ezukanma WR,,,42.0,,664.0,,,,,4,34,WR,texas-tech-red-raiders
23,,14.5,,,,,79,R.J. Turner WR,,,45.0,,654.0,,,,,3,34,WR,texas-tech-red-raiders
24,,6.3,,,,,20,Ta'Zhawn Henry RB,,,22.0,,138.0,,,,,0,34,RB,texas-tech-red-raiders
25,,5.2,,,,,23,Armand Shyne RB,,,13.0,,67.0,,,,,0,34,RB,texas-tech-red-raiders
26,,14.0,,,,,14,Jett Duffey QB,,,1.0,,14.0,,,,,0,34,QB,texas-tech-red-raiders
27,,6.0,,,,,7,Myller Royals WR,,,2.0,,12.0,,,,,0,34,WR,texas-tech-red-raiders
28,,10.0,,,,,10,Jax Welch RB,,,1.0,,10.0,,,,,0,34,RB,texas-tech-red-raiders
29,,5.0,,,,,5,Xavier Martin WR,,,1.0,,5.0,,,,,0,34,WR,texas-tech-red-raiders
30,,4.0,,,,,4,Caden Leggett WR,,,1.0,,4.0,,,,,0,34,WR,texas-tech-red-raiders
32,,12.3,,,,,39,T.J. Vasher WR,,,42.0,,515.0,,,,,6,34,WR,texas-tech-red-raiders
33,,14.3,,,,,81,Dalton Rigdon WR,,,34.0,,486.0,,,,,5,34,WR,texas-tech-red-raiders
34,,12.0,,,,,28,Donta Thompson TE,,,26.0,,311.0,,,,,0,34,TE,texas-tech-red-raiders
35,,11.2,,,,,52,KeSean Carter WR,,,27.0,,303.0,,,,,2,34,WR,texas-tech-red-raiders
36,,9.5,,,,,66,McLane Mannix WR,,,26.0,,248.0,,,,,3,34,WR,texas-tech-red-raiders
37,,15.9,,,,,45,Xavier White WR,,,10.0,,159.0,,,,,1,34,WR,texas-tech-red-raiders
38,,3.9,,,,,23,SaRodorick Thompson RB,,,39.0,,154.0,,,,,0,34,RB,texas-tech-red-raiders
39,,15.2,,,,,32,Travis Koontz TE,,,10.0,,152.0,,,,,0,34,TE,texas-tech-red-raiders
