,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,9.0,,,79.0,64.8,2.0,66,Mitchell Guadagni QB,122.0,1099.0,,158.8,,,,11.0,-61.0,8,80,QB,toledo-rockets
1,7.9,,,62.0,59.0,3.0,82,Eli Peters QB,105.0,828.0,,138.4,,,,5.0,-36.0,6,80,QB,toledo-rockets
2,5.0,,,46.0,46.0,2.0,55,Carter Bradley QB,100.0,502.0,,87.5,,,,13.0,-76.0,1,80,QB,toledo-rockets
3,7.2,,,6.0,50.0,0.0,25,Dequan Finn QB,12.0,86.0,,110.2,,,,0.0,0.0,0,80,QB,toledo-rockets
5,,,6.1,,,,75,Bryant Koback RB,,,,,,195.0,1187.0,,,12,80,RB,toledo-rockets
6,,,4.8,,,,35,Shakif Seymour RB,,,,,,154.0,741.0,,,5,80,RB,toledo-rockets
7,,,-3.8,,,,0,-,,,,,,4.0,-15.0,,,0,80,-,toledo-rockets
9,,,5.3,,,,31,Mitchell Guadagni QB,,,,,,63.0,332.0,,,4,80,QB,toledo-rockets
10,,,6.9,,,,44,Ronnie Jones RB,,,,,,34.0,233.0,,,4,80,RB,toledo-rockets
11,,,6.0,,,,16,Dequan Finn QB,,,,,,15.0,90.0,,,0,80,QB,toledo-rockets
12,,,11.7,,,,42,Micah Kelly RB,,,,,,6.0,70.0,,,1,80,RB,toledo-rockets
13,,,1.7000000000000002,,,,23,Eli Peters QB,,,,,,16.0,27.0,,,0,80,QB,toledo-rockets
14,,,19.0,,,,19,Devin Maddox WR,,,,,,1.0,19.0,,,0,80,WR,toledo-rockets
15,,,4.3,,,,9,Jacquez Stuart WR,,,,,,4.0,17.0,,,0,80,WR,toledo-rockets
16,,,-0.30000000000000004,,,,17,Carter Bradley QB,,,,,,25.0,-7.0,,,1,80,QB,toledo-rockets
17,,19.4,,,,,66,Bryce Mitchell WR,,,35.0,,679.0,,,,,4,80,WR,toledo-rockets
18,,17.1,,,,,82,Danzel McKinley-Lewis WR,,,36.0,,615.0,,,,,1,80,WR,toledo-rockets
19,,10.5,,,,,18,Jacquez Stuart WR,,,4.0,,42.0,,,,,0,80,WR,toledo-rockets
20,,21.0,,,,,21,Jerjuan Newton WR,,,1.0,,21.0,,,,,0,80,WR,toledo-rockets
21,,17.0,,,,,17,Terrel Ferrell WR,,,1.0,,17.0,,,,,0,80,WR,toledo-rockets
22,,7.0,,,,,7,Jamal Turner TE,,,1.0,,7.0,,,,,0,80,TE,toledo-rockets
23,,5.0,,,,,5,Mitchell Guadagni QB,,,1.0,,5.0,,,,,0,80,QB,toledo-rockets
24,,1.0,,,,,1,Darius Corbett WR,,,1.0,,1.0,,,,,0,80,WR,toledo-rockets
26,,10.4,,,,,43,Desmond Phillips WR,,,36.0,,376.0,,,,,2,80,WR,toledo-rockets
27,,13.2,,,,,33,Drew Rosi TE,,,18.0,,238.0,,,,,2,80,TE,toledo-rockets
28,,9.3,,,,,24,Devin Maddox WR,,,14.0,,130.0,,,,,3,80,WR,toledo-rockets
29,,7.8,,,,,22,Shakif Seymour RB,,,16.0,,124.0,,,,,1,80,RB,toledo-rockets
30,,13.6,,,,,25,Nick Kovacs WR,,,7.0,,95.0,,,,,0,80,WR,toledo-rockets
31,,8.6,,,,,14,Bryant Koback RB,,,8.0,,69.0,,,,,2,80,RB,toledo-rockets
32,,5.8,,,,,13,Reggie Gilliam TE,,,9.0,,52.0,,,,,0,80,TE,toledo-rockets
33,,8.8,,,,,17,Ronnie Jones RB,,,5.0,,44.0,,,,,0,80,RB,toledo-rockets
