,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.9,,,299.0,65.0,10.0,64,Kaleb Barker QB,460.0,3628.0,,148.4,,,,27.0,-155.0,30,128,QB,troy-trojans
1,4.0,,,13.0,59.1,0.0,25,Gunnar Watson QB,22.0,89.0,,93.1,,,,0.0,0.0,0,128,QB,troy-trojans
2,4.6,,,3.0,60.0,1.0,11,Kade Young QB,5.0,23.0,,58.6,,,,0.0,0.0,0,128,QB,troy-trojans
3,9.0,,,1.0,50.0,0.0,18,Khalil McClain WR,2.0,18.0,,125.6,,,,0.0,0.0,0,128,WR,troy-trojans
4,0.0,,,0.0,0.0,0.0,0,Luke Whittemore WR,1.0,0.0,,0.0,,,,0.0,0.0,0,128,WR,troy-trojans
5,0.0,,,0.0,0.0,0.0,0,Kaylon Geiger WR,1.0,0.0,,0.0,,,,0.0,0.0,0,128,WR,troy-trojans
7,,,5.8,,,,70,DK Billingsley RB,,,,,,155.0,901.0,,,10,128,RB,troy-trojans
8,,,4.0,,,,17,Trevon Woolfolk RB,,,,,,71.0,287.0,,,3,128,RB,troy-trojans
9,,,4.4,,,,17,Jabir Daughtry-Frye RB,,,,,,33.0,146.0,,,2,128,RB,troy-trojans
10,,,1.6,,,,22,Kaleb Barker QB,,,,,,86.0,137.0,,,2,128,QB,troy-trojans
11,,,9.6,,,,41,B.J. Smith RB,,,,,,11.0,106.0,,,1,128,RB,troy-trojans
12,,,4.8,,,,14,Jamontez Woods RB,,,,,,22.0,105.0,,,0,128,RB,troy-trojans
13,,,4.0,,,,15,Tanner Blatt RB,,,,,,11.0,44.0,,,0,128,RB,troy-trojans
14,,,9.0,,,,15,Kaylon Geiger WR,,,,,,4.0,36.0,,,1,128,WR,troy-trojans
15,,,2.0,,,,2,Micah Murphy S,,,,,,1.0,2.0,,,0,128,S,troy-trojans
17,,11.3,,,,,57,Kaylon Geiger WR,,,77.0,,873.0,,,,,5,128,WR,troy-trojans
18,,17.5,,,,,61,Reggie Todd WR,,,38.0,,666.0,,,,,5,128,WR,troy-trojans
19,,3.5,,,,,13,Trevon Woolfolk RB,,,12.0,,42.0,,,,,2,128,RB,troy-trojans
20,,4.8,,,,,12,Timmie Gibson WR,,,5.0,,24.0,,,,,0,128,WR,troy-trojans
21,,8.5,,,,,12,Dalton Adkison WR,,,2.0,,17.0,,,,,0,128,WR,troy-trojans
22,,7.0,,,,,10,B.J. Smith RB,,,2.0,,14.0,,,,,0,128,RB,troy-trojans
23,,3.0,,,,,3,Reid Rials WR,,,1.0,,3.0,,,,,0,128,WR,troy-trojans
25,,12.5,,,,,39,Khalil McClain WR,,,45.0,,562.0,,,,,7,128,WR,troy-trojans
26,,12.7,,,,,42,Luke Whittemore WR,,,34.0,,431.0,,,,,2,128,WR,troy-trojans
27,,14.5,,,,,64,Tray Eafford WR,,,23.0,,334.0,,,,,3,128,WR,troy-trojans
28,,11.0,,,,,27,Bret Clark WR,,,29.0,,319.0,,,,,3,128,WR,troy-trojans
29,,8.4,,,,,31,DK Billingsley RB,,,25.0,,211.0,,,,,0,128,RB,troy-trojans
30,,14.1,,,,,30,Sam Letton TE,,,7.0,,99.0,,,,,0,128,TE,troy-trojans
31,,9.0,,,,,39,Jabir Daughtry-Frye RB,,,10.0,,90.0,,,,,0,128,RB,troy-trojans
32,,12.2,,,,,24,AJ Lewis TE,,,6.0,,73.0,,,,,3,128,TE,troy-trojans
