,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,9.2,,,236.0,59.3,7.0,75,Dillon Gabriel QB,398.0,3653.0,,156.9,,,,22.0,-125.0,29,10,QB,ucf-knights
1,7.1,,,19.0,61.3,1.0,37,Darriel Mack Jr. QB,31.0,219.0,,156.8,,,,2.0,-15.0,4,10,QB,ucf-knights
2,7.0,,,13.0,54.2,0.0,37,Brandon Wimbush QB,24.0,167.0,,140.1,,,,0.0,0.0,2,10,QB,ucf-knights
3,26.0,,,3.0,100.0,0.0,49,Quadry Jones QB,3.0,78.0,,428.4,,,,0.0,0.0,1,10,QB,ucf-knights
4,0.0,,,0.0,0.0,0.0,0,Marlon Williams WR,1.0,0.0,,0.0,,,,0.0,0.0,0,10,WR,ucf-knights
6,,,6.4,,,,54,Otis Anderson RB,,,,,,113.0,726.0,,,5,10,RB,ucf-knights
7,,,7.2,,,,75,Adrian Killins Jr. RB,,,,,,87.0,629.0,,,7,10,RB,ucf-knights
8,,,-3.0,,,,6,Quadry Jones QB,,,,,,5.0,-15.0,,,0,10,QB,ucf-knights
10,,,6.9,,,,45,Bentavious Thompson RB,,,,,,87.0,604.0,,,8,10,RB,ucf-knights
11,,,5.4,,,,73,Greg McCrae RB,,,,,,98.0,529.0,,,7,10,RB,ucf-knights
12,,,4.4,,,,16,Darriel Mack Jr. QB,,,,,,41.0,179.0,,,3,10,QB,ucf-knights
13,,,5.1,,,,38,Trilion Coles RB,,,,,,33.0,168.0,,,0,10,RB,ucf-knights
14,,,1.1,,,,22,Dillon Gabriel QB,,,,,,71.0,78.0,,,4,10,QB,ucf-knights
15,,,4.4,,,,32,Brandon Wimbush QB,,,,,,11.0,48.0,,,0,10,QB,ucf-knights
16,,,5.0,,,,9,Nate Evans LB,,,,,,2.0,10.0,,,0,10,LB,ucf-knights
17,,,-5.0,,,,0,Alex Harris WR,,,,,,1.0,-5.0,,,0,10,WR,ucf-knights
18,,17.2,,,,,73,Gabriel Davis WR,,,72.0,,1241.0,,,,,12,10,WR,ucf-knights
19,,16.9,,,,,53,Tre Nixon WR,,,49.0,,830.0,,,,,7,10,WR,ucf-knights
20,,11.0,,,,,26,Alex Harris WR,,,4.0,,44.0,,,,,1,10,WR,ucf-knights
21,,5.0,,,,,10,Bentavious Thompson RB,,,5.0,,25.0,,,,,0,10,RB,ucf-knights
22,,15.0,,,,,15,Ke'von Ahmad WR,,,1.0,,15.0,,,,,0,10,WR,ucf-knights
23,,10.0,,,,,10,Jarrad Baker WR,,,1.0,,10.0,,,,,0,10,WR,ucf-knights
24,,4.0,,,,,4,Kyle Benkel WR,,,1.0,,4.0,,,,,0,10,WR,ucf-knights
25,,4.0,,,,,4,Jonathon MacCollister TE,,,1.0,,4.0,,,,,1,10,TE,ucf-knights
26,,2.0,,,,,2,Anthony Roberson TE,,,1.0,,2.0,,,,,1,10,TE,ucf-knights
28,,14.1,,,,,75,Marlon Williams WR,,,51.0,,717.0,,,,,6,10,WR,ucf-knights
29,,23.6,,,,,74,Jacob Harris WR,,,19.0,,448.0,,,,,1,10,WR,ucf-knights
30,,11.8,,,,,58,Otis Anderson RB,,,31.0,,365.0,,,,,3,10,RB,ucf-knights
31,,15.0,,,,,74,Adrian Killins Jr. RB,,,8.0,,120.0,,,,,1,10,RB,ucf-knights
32,,9.7,,,,,20,Jake Hescock TE,,,9.0,,87.0,,,,,2,10,TE,ucf-knights
33,,10.6,,,,,17,Ryan O'Keefe WR,,,7.0,,74.0,,,,,0,10,WR,ucf-knights
34,,33.5,,,,,49,Amari Johnson WR,,,2.0,,67.0,,,,,1,10,WR,ucf-knights
35,,7.1,,,,,15,Greg McCrae RB,,,9.0,,64.0,,,,,0,10,RB,ucf-knights
