,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.9,,,150.0,57.7,11.0,94,Jack Zergiotis QB,260.0,1782.0,,118.2,,,,21.0,-117.0,9,11,QB,uconn-huskies
1,6.1,,,53.0,63.9,2.0,33,Mike Beaudry QB,83.0,503.0,,113.9,,,,9.0,-64.0,1,11,QB,uconn-huskies
2,7.7,,,24.0,63.2,2.0,32,Steven Krajewski QB,38.0,292.0,,143.2,,,,3.0,-21.0,3,11,QB,uconn-huskies
3,15.0,,,1.0,100.0,0.0,15,Quayvon Skanes WR,1.0,15.0,,556.0,,,,0.0,0.0,1,11,WR,uconn-huskies
5,,,4.5,,,,58,Kevin Mensah RB,,,,,,226.0,1013.0,,,9,11,RB,uconn-huskies
6,,,4.8,,,,42,Art Thompkins RB,,,,,,98.0,468.0,,,2,11,RB,uconn-huskies
8,,,4.5,,,,13,Dante Black RB,,,,,,13.0,58.0,,,0,11,RB,uconn-huskies
9,,,9.0,,,,17,Cameron Ross WR,,,,,,3.0,27.0,,,0,11,WR,uconn-huskies
10,,,1.9,,,,17,Steven Krajewski QB,,,,,,13.0,25.0,,,1,11,QB,uconn-huskies
11,,,6.0,,,,14,Dominico Moncion RB,,,,,,3.0,18.0,,,0,11,RB,uconn-huskies
12,,,3.4,,,,11,Donevin O'Reilly RB,,,,,,5.0,17.0,,,0,11,RB,uconn-huskies
13,,,1.0,,,,1,Quayvon Skanes WR,,,,,,1.0,1.0,,,0,11,WR,uconn-huskies
14,,,-1.5,,,,10,Mike Beaudry QB,,,,,,21.0,-32.0,,,1,11,QB,uconn-huskies
15,,,-1.1,,,,27,Jack Zergiotis QB,,,,,,41.0,-46.0,,,0,11,QB,uconn-huskies
16,,12.1,,,,,94,Cameron Ross WR,,,60.0,,723.0,,,,,4,11,WR,uconn-huskies
17,,13.6,,,,,51,Ardell Brown WR,,,27.0,,368.0,,,,,2,11,WR,uconn-huskies
18,,12.4,,,,,23,Donovan Williams TE,,,5.0,,62.0,,,,,0,11,TE,uconn-huskies
19,,15.0,,,,,17,Mason Donaldson WR,,,2.0,,30.0,,,,,0,11,WR,uconn-huskies
20,,6.0,,,,,6,Dante Black RB,,,1.0,,6.0,,,,,0,11,RB,uconn-huskies
21,,-1.0,,,,,0,Jack Zergiotis QB,,,1.0,,-1.0,,,,,0,11,QB,uconn-huskies
23,,13.2,,,,,47,Matt Drayton WR,,,21.0,,278.0,,,,,2,11,WR,uconn-huskies
24,,9.7,,,,,29,Jay Rose TE,,,27.0,,261.0,,,,,2,11,TE,uconn-huskies
25,,6.6,,,,,33,Art Thompkins RB,,,39.0,,257.0,,,,,2,11,RB,uconn-huskies
26,,21.0,,,,,53,Cameron Hairston WR,,,8.0,,168.0,,,,,1,11,WR,uconn-huskies
27,,13.0,,,,,30,Elijah Jeffreys WR,,,11.0,,143.0,,,,,1,11,WR,uconn-huskies
28,,11.3,,,,,24,Heron Maurisseau WR,,,10.0,,113.0,,,,,0,11,WR,uconn-huskies
29,,11.6,,,,,22,Jayce Medlock TE,,,8.0,,93.0,,,,,0,11,TE,uconn-huskies
30,,11.4,,,,,26,Kevin Mensah RB,,,8.0,,91.0,,,,,0,11,RB,uconn-huskies
