,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.8,,,167.0,54.2,9.0,75,Kenyon Oblad QB,308.0,2081.0,,124.4,,,,18.0,-110.0,18,91,QB,unlv-rebels
1,5.0,,,41.0,51.9,3.0,54,Armani Rogers QB,79.0,393.0,,94.4,,,,11.0,-59.0,2,91,QB,unlv-rebels
2,0.0,,,0.0,0.0,0.0,0,- Team -,1.0,0.0,,0.0,,,,0.0,0.0,0,91,-,unlv-rebels
4,,,5.9,,,,80,Charles Williams RB,,,,,,212.0,1257.0,,,11,91,RB,unlv-rebels
5,,,5.3,,,,26,Chad Magyar RB,,,,,,69.0,369.0,,,1,91,RB,unlv-rebels
6,,,0.0,,,,0,Kyle Beaudry LB,,,,,,1.0,0.0,,,0,91,LB,unlv-rebels
7,,,-5.0,,,,0,Jacob Gasser WR,,,,,,1.0,-5.0,,,0,91,WR,unlv-rebels
8,,,-1.6,,,,0,- Team -,,,,,,5.0,-8.0,,,0,91,-,unlv-rebels
9,,,-1.0,,,,12,Kenyon Oblad QB,,,,,,45.0,-43.0,,,1,91,QB,unlv-rebels
11,,,4.1,,,,66,Armani Rogers QB,,,,,,50.0,204.0,,,2,91,QB,unlv-rebels
12,,,3.2,,,,15,Darran Williams RB,,,,,,25.0,79.0,,,1,91,RB,unlv-rebels
13,,,5.6,,,,23,Tyleek Collins WR,,,,,,14.0,78.0,,,0,91,WR,unlv-rebels
14,,,4.7,,,,16,Courtney Reese RB,,,,,,11.0,52.0,,,1,91,RB,unlv-rebels
15,,,3.7,,,,8,Tyree Jackson RB,,,,,,6.0,22.0,,,0,91,RB,unlv-rebels
16,,,7.0,,,,7,Steve Jenkins WR,,,,,,1.0,7.0,,,0,91,WR,unlv-rebels
17,,,4.0,,,,4,Noah Bean TE,,,,,,1.0,4.0,,,0,91,TE,unlv-rebels
18,,,1.0,,,,3,Jamaal Neal TE,,,,,,2.0,2.0,,,0,91,TE,unlv-rebels
19,,15.8,,,,,63,Randal Grimes WR,,,44.0,,696.0,,,,,7,91,WR,unlv-rebels
20,,16.8,,,,,75,Steve Jenkins WR,,,23.0,,386.0,,,,,2,91,WR,unlv-rebels
21,,7.0,,,,,8,Patrick Ballard WR,,,3.0,,21.0,,,,,0,91,WR,unlv-rebels
22,,8.0,,,,,14,Jamaal Neal TE,,,2.0,,16.0,,,,,0,91,TE,unlv-rebels
23,,4.7,,,,,7,Courtney Reese RB,,,3.0,,14.0,,,,,0,91,RB,unlv-rebels
24,,5.5,,,,,7,Darran Williams RB,,,2.0,,11.0,,,,,0,91,RB,unlv-rebels
25,,6.0,,,,,6,Christian Minor DB,,,1.0,,6.0,,,,,0,91,DB,unlv-rebels
26,,6.0,,,,,6,Andre Collins Jr. WR,,,1.0,,6.0,,,,,0,91,WR,unlv-rebels
27,,3.0,,,,,7,Shelton Zeon III TE,,,2.0,,6.0,,,,,1,91,TE,unlv-rebels
28,,-0.5,,,,,4,Tyree Jackson RB,,,2.0,,-1.0,,,,,0,91,RB,unlv-rebels
30,,15.3,,,,,60,Noah Bean TE,,,22.0,,336.0,,,,,2,91,TE,unlv-rebels
31,,13.4,,,,,54,Giovanni Fauolo Sr. TE,,,22.0,,295.0,,,,,2,91,TE,unlv-rebels
32,,13.1,,,,,31,Darren Woods Jr. WR,,,21.0,,276.0,,,,,3,91,WR,unlv-rebels
33,,9.2,,,,,32,Mekhi Stevenson WR,,,20.0,,184.0,,,,,3,91,WR,unlv-rebels
34,,5.3,,,,,28,Tyleek Collins WR,,,15.0,,79.0,,,,,0,91,WR,unlv-rebels
35,,5.5,,,,,18,Jacob Gasser WR,,,10.0,,55.0,,,,,0,91,WR,unlv-rebels
36,,7.7,,,,,19,Charles Williams RB,,,7.0,,54.0,,,,,0,91,RB,unlv-rebels
37,,4.3,,,,,9,Chad Magyar RB,,,8.0,,34.0,,,,,0,91,RB,unlv-rebels
