,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.9,,,282.0,71.9,9.0,95,Kedon Slovis QB,392.0,3502.0,,167.6,,,,23.0,-143.0,30,102,QB,usc-trojans
1,7.4,,,58.0,65.9,5.0,77,Matt Fink QB,88.0,648.0,,131.4,,,,4.0,-35.0,4,102,QB,usc-trojans
2,6.3,,,25.0,73.5,1.0,28,JT Daniels QB,34.0,215.0,,130.5,,,,1.0,-14.0,1,102,QB,usc-trojans
4,,,4.8,,,,26,Vavae Malepeai RB,,,,,,105.0,503.0,,,6,102,RB,usc-trojans
5,,,5.5,,,,60,Stephen Carr RB,,,,,,72.0,396.0,,,5,102,RB,usc-trojans
7,,,5.5,,,,55,Kenan Christon RB,,,,,,68.0,373.0,,,2,102,RB,usc-trojans
8,,,6.4,,,,35,Markese Stepp RB,,,,,,48.0,307.0,,,3,102,RB,usc-trojans
9,,,8.6,,,,37,Amon-Ra St. Brown WR,,,,,,7.0,60.0,,,1,102,WR,usc-trojans
10,,,2.9,,,,6,Quincy Jountti RB,,,,,,13.0,38.0,,,0,102,RB,usc-trojans
11,,,7.5,,,,11,Dominic Davis CB,,,,,,2.0,15.0,,,0,102,CB,usc-trojans
12,,,-2.0,,,,5,JT Daniels QB,,,,,,3.0,-6.0,,,0,102,QB,usc-trojans
13,,,-1.0,,,,8,Matt Fink QB,,,,,,12.0,-12.0,,,1,102,QB,usc-trojans
14,,,-1.3,,,,9,Kedon Slovis QB,,,,,,45.0,-57.0,,,0,102,QB,usc-trojans
15,,12.6,,,,,77,Michael Pittman Jr. WR,,,101.0,,1275.0,,,,,11,102,WR,usc-trojans
16,,13.5,,,,,95,Amon-Ra St. Brown WR,,,77.0,,1042.0,,,,,6,102,WR,usc-trojans
17,,20.0,,,,,20,Kyle Ford WR,,,1.0,,20.0,,,,,1,102,WR,usc-trojans
18,,6.3,,,,,9,Munir McClain WR,,,3.0,,19.0,,,,,0,102,WR,usc-trojans
19,,11.0,,,,,11,Devon Williams WR,,,1.0,,11.0,,,,,0,102,WR,usc-trojans
21,,12.3,,,,,49,Tyler Vaughns WR,,,74.0,,912.0,,,,,6,102,WR,usc-trojans
22,,14.5,,,,,46,Drake London WR,,,39.0,,567.0,,,,,5,102,WR,usc-trojans
23,,6.5,,,,,21,Stephen Carr RB,,,22.0,,143.0,,,,,1,102,RB,usc-trojans
24,,11.5,,,,,58,Kenan Christon RB,,,11.0,,126.0,,,,,3,102,RB,usc-trojans
25,,11.1,,,,,60,Erik Krommenhoek TE,,,11.0,,122.0,,,,,0,102,TE,usc-trojans
26,,4.7,,,,,16,Vavae Malepeai RB,,,15.0,,70.0,,,,,1,102,RB,usc-trojans
27,,5.8,,,,,8,Velus Jones Jr. WR,,,6.0,,35.0,,,,,0,102,WR,usc-trojans
28,,5.8,,,,,12,Josh Falo TE,,,4.0,,23.0,,,,,1,102,TE,usc-trojans
