,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.2,,,293.0,61.9,17.0,80,Jordan Love QB,473.0,3402.0,,129.1,,,,20.0,-104.0,20,92,QB,utah-state-aggies
1,7.6,,,20.0,69.0,1.0,30,Henry Colombi QB,29.0,221.0,,148.8,,,,3.0,-19.0,2,92,QB,utah-state-aggies
2,2.5,,,2.0,100.0,0.0,5,Andrew Peasley QB,2.0,5.0,,121.0,,,,0.0,0.0,0,92,QB,utah-state-aggies
4,,,5.1,,,,67,Gerold Bright RB,,,,,,182.0,921.0,,,9,92,RB,utah-state-aggies
5,,,5.1,,,,59,Jaylen Warren RB,,,,,,112.0,569.0,,,5,92,RB,utah-state-aggies
6,,,2.2,,,,22,Jordan Love QB,,,,,,81.0,175.0,,,0,92,QB,utah-state-aggies
7,,,3.4,,,,21,Riley Burt RB,,,,,,26.0,89.0,,,0,92,RB,utah-state-aggies
8,,,27.7,,,,59,Andrew Peasley QB,,,,,,3.0,83.0,,,1,92,QB,utah-state-aggies
9,,,12.8,,,,57,Deven Thompkins WR,,,,,,6.0,77.0,,,1,92,WR,utah-state-aggies
10,,,3.3,,,,19,Enoch Nawahine RB,,,,,,16.0,53.0,,,0,92,RB,utah-state-aggies
11,,,5.7,,,,12,Jordan Nathan WR,,,,,,7.0,40.0,,,1,92,WR,utah-state-aggies
12,,,2.2,,,,18,Henry Colombi QB,,,,,,14.0,31.0,,,1,92,QB,utah-state-aggies
14,,15.7,,,,,80,Siaosi Mariner WR,,,63.0,,987.0,,,,,10,92,WR,utah-state-aggies
15,,10.4,,,,,52,Jordan Nathan WR,,,56.0,,581.0,,,,,1,92,WR,utah-state-aggies
16,,5.5,,,,,11,Riley Burt RB,,,4.0,,22.0,,,,,0,92,RB,utah-state-aggies
17,,17.0,,,,,17,Sean Carter WR,,,1.0,,17.0,,,,,0,92,WR,utah-state-aggies
18,,5.3,,,,,9,Travis Boman TE,,,3.0,,16.0,,,,,0,92,TE,utah-state-aggies
19,,11.0,,,,,11,Ajani Carter WR,,,1.0,,11.0,,,,,0,92,WR,utah-state-aggies
20,,3.5,,,,,13,Enoch Nawahine RB,,,2.0,,7.0,,,,,0,92,RB,utah-state-aggies
21,,6.0,,,,,6,Logan Lee TE,,,1.0,,6.0,,,,,0,92,TE,utah-state-aggies
23,,13.4,,,,,62,Deven Thompkins WR,,,40.0,,536.0,,,,,4,92,WR,utah-state-aggies
24,,12.6,,,,,42,Caleb Repp TE,,,36.0,,455.0,,,,,4,92,TE,utah-state-aggies
25,,11.3,,,,,48,Savon Scarver WR,,,24.0,,271.0,,,,,0,92,WR,utah-state-aggies
26,,6.6,,,,,35,Gerold Bright RB,,,35.0,,230.0,,,,,1,92,RB,utah-state-aggies
27,,12.1,,,,,31,Jaylen Warren RB,,,15.0,,182.0,,,,,0,92,RB,utah-state-aggies
28,,8.6,,,,,21,Taylor Compton WR,,,14.0,,121.0,,,,,0,92,WR,utah-state-aggies
29,,14.6,,,,,30,Derek Wright WR,,,7.0,,102.0,,,,,2,92,WR,utah-state-aggies
30,,6.5,,,,,12,Carson Terrell TE,,,13.0,,84.0,,,,,0,92,TE,utah-state-aggies
