,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,10.3,,,220.0,73.1,4.0,83,Tyler Huntley QB,301.0,3092.0,,177.5,,,,24.0,-142.0,19,103,QB,utah-utes
1,5.8,,,7.0,77.8,0.0,14,Drew Lisk QB,9.0,52.0,,126.3,,,,0.0,0.0,0,103,QB,utah-utes
2,3.9,,,6.0,54.5,0.0,10,Jason Shelley QB,11.0,43.0,,117.4,,,,2.0,-12.0,1,103,QB,utah-utes
4,,,6.0,,,,91,Zack Moss RB,,,,,,235.0,1416.0,,,15,103,RB,utah-utes
5,,,2.8,,,,26,Tyler Huntley QB,,,,,,104.0,290.0,,,5,103,QB,utah-utes
6,,,1.6,,,,17,Jason Shelley QB,,,,,,19.0,31.0,,,1,103,QB,utah-utes
7,,,7.3,,,,9,Britain Covey WR,,,,,,3.0,22.0,,,0,103,WR,utah-utes
8,,,3.0,,,,4,Drew Lisk QB,,,,,,2.0,6.0,,,0,103,QB,utah-utes
9,,,5.0,,,,5,Terrell Perriman WR,,,,,,1.0,5.0,,,0,103,WR,utah-utes
10,,,1.0,,,,1,Solomon Enis WR,,,,,,1.0,1.0,,,0,103,WR,utah-utes
11,,,-2.0,,,,0,Ben Lennon P,,,,,,1.0,-2.0,,,0,103,P,utah-utes
13,,,4.5,,,,30,Devin Brumfield RB,,,,,,59.0,263.0,,,2,103,RB,utah-utes
14,,,4.0,,,,23,Jordan Wilmore RB,,,,,,49.0,194.0,,,1,103,RB,utah-utes
15,,,5.5,,,,27,Devonta'e Henry-Cole RB,,,,,,34.0,188.0,,,2,103,RB,utah-utes
16,,,6.2,,,,15,Jaylen Dixon WR,,,,,,18.0,111.0,,,2,103,WR,utah-utes
17,,,17.0,,,,44,Brant Kuithe TE,,,,,,6.0,102.0,,,3,103,TE,utah-utes
18,,,4.7,,,,12,Derrick Vickers WR,,,,,,20.0,94.0,,,1,103,WR,utah-utes
19,,,3.0,,,,17,TJ Green RB,,,,,,23.0,68.0,,,1,103,RB,utah-utes
20,,,5.4,,,,13,Demari Simpkins WR,,,,,,8.0,43.0,,,1,103,WR,utah-utes
21,,17.7,,,,,69,Brant Kuithe TE,,,34.0,,602.0,,,,,6,103,TE,utah-utes
22,,25.6,,,,,82,Bryan Thompson WR,,,18.0,,461.0,,,,,3,103,WR,utah-utes
23,,4.6,,,,,13,Devin Brumfield RB,,,9.0,,41.0,,,,,0,103,RB,utah-utes
24,,7.7,,,,,11,Devonta'e Henry-Cole RB,,,3.0,,23.0,,,,,1,103,RB,utah-utes
25,,6.5,,,,,7,Jordan Wilmore RB,,,2.0,,13.0,,,,,0,103,RB,utah-utes
26,,6.0,,,,,11,Hunter Thedford TE,,,2.0,,12.0,,,,,0,103,TE,utah-utes
27,,10.0,,,,,10,Ali'i Niumatalolo TE,,,1.0,,10.0,,,,,0,103,TE,utah-utes
28,,10.0,,,,,10,Donte Banton WR,,,1.0,,10.0,,,,,0,103,WR,utah-utes
29,,4.5,,,,,7,Terrell Perriman WR,,,2.0,,9.0,,,,,0,103,WR,utah-utes
31,,13.9,,,,,69,Zack Moss RB,,,28.0,,388.0,,,,,2,103,RB,utah-utes
32,,11.0,,,,,54,Demari Simpkins WR,,,32.0,,352.0,,,,,2,103,WR,utah-utes
33,,14.3,,,,,41,Jaylen Dixon WR,,,24.0,,343.0,,,,,1,103,WR,utah-utes
34,,18.3,,,,,83,Samson Nacua WR,,,18.0,,330.0,,,,,4,103,WR,utah-utes
35,,10.6,,,,,26,Derrick Vickers WR,,,19.0,,202.0,,,,,0,103,WR,utah-utes
36,,11.3,,,,,41,Solomon Enis WR,,,14.0,,158.0,,,,,0,103,WR,utah-utes
37,,9.8,,,,,16,Cole Fotheringham TE,,,16.0,,156.0,,,,,1,103,TE,utah-utes
38,,7.7,,,,,21,Britain Covey WR,,,10.0,,77.0,,,,,0,103,WR,utah-utes
