,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,6.1,,,149.0,57.8,5.0,75,Riley Neal QB,258.0,1585.0,,117.0,,,,19.0,-117.0,9,119,QB,vanderbilt-commodores
1,3.0,,,43.0,42.6,4.0,19,Deuce Wallace QB,101.0,307.0,,60.2,,,,8.0,-58.0,0,119,QB,vanderbilt-commodores
2,10.9,,,7.0,63.6,0.0,61,Mo Hasan QB,11.0,120.0,,185.3,,,,1.0,-4.0,1,119,QB,vanderbilt-commodores
3,4.0,,,2.0,22.2,1.0,19,Allan Walters QB,9.0,36.0,,33.6,,,,0.0,0.0,0,119,QB,vanderbilt-commodores
4,8.0,,,1.0,50.0,0.0,16,Cam Johnson WR,2.0,16.0,,117.2,,,,0.0,0.0,0,119,WR,vanderbilt-commodores
6,,,5.2,,,,75,Ke'Shawn Vaughn RB,,,,,,198.0,1028.0,,,9,119,RB,vanderbilt-commodores
7,,,4.5,,,,61,Keyon Brooks RB,,,,,,56.0,252.0,,,1,119,RB,vanderbilt-commodores
8,,,-2.1,,,,13,Deuce Wallace QB,,,,,,15.0,-31.0,,,0,119,QB,vanderbilt-commodores
10,,,13.0,,,,22,Kalija Lipscomb WR,,,,,,4.0,52.0,,,0,119,WR,vanderbilt-commodores
11,,,9.8,,,,31,Mitchell Pryor RB,,,,,,5.0,49.0,,,1,119,RB,vanderbilt-commodores
12,,,0.9,,,,27,Riley Neal QB,,,,,,53.0,47.0,,,0,119,QB,vanderbilt-commodores
13,,,8.6,,,,23,Justice Shelton-Mosley WR,,,,,,5.0,43.0,,,0,119,WR,vanderbilt-commodores
14,,,4.2,,,,8,Ja'Veon Marlow RB,,,,,,10.0,42.0,,,0,119,RB,vanderbilt-commodores
15,,,3.8,,,,21,Mo Hasan QB,,,,,,9.0,34.0,,,0,119,QB,vanderbilt-commodores
16,,,7.0,,,,7,Jamauri Wakefield RB,,,,,,1.0,7.0,,,0,119,RB,vanderbilt-commodores
17,,,3.0,,,,3,Dashaun Jerkins S,,,,,,1.0,3.0,,,0,119,S,vanderbilt-commodores
18,,10.9,,,,,49,Kalija Lipscomb WR,,,47.0,,511.0,,,,,3,119,WR,vanderbilt-commodores
19,,10.5,,,,,28,Cam Johnson WR,,,30.0,,316.0,,,,,3,119,WR,vanderbilt-commodores
20,,6.5,,,,,9,Jackson Winrow WR,,,2.0,,13.0,,,,,0,119,WR,vanderbilt-commodores
21,,10.0,,,,,10,Jamauri Wakefield RB,,,1.0,,10.0,,,,,0,119,RB,vanderbilt-commodores
23,,9.9,,,,,61,Ke'Shawn Vaughn RB,,,29.0,,286.0,,,,,1,119,RB,vanderbilt-commodores
24,,17.5,,,,,75,Chris Pierce WR,,,14.0,,245.0,,,,,1,119,WR,vanderbilt-commodores
25,,11.6,,,,,31,Jared Pinkney TE,,,20.0,,233.0,,,,,2,119,TE,vanderbilt-commodores
26,,10.2,,,,,17,James Bostic WR,,,11.0,,112.0,,,,,0,119,WR,vanderbilt-commodores
27,,15.0,,,,,26,Ben Bresnahan TE,,,7.0,,105.0,,,,,0,119,TE,vanderbilt-commodores
28,,6.9,,,,,23,Justice Shelton-Mosley WR,,,14.0,,97.0,,,,,0,119,WR,vanderbilt-commodores
29,,7.2,,,,,18,C.J. Bolar WR,,,11.0,,79.0,,,,,0,119,WR,vanderbilt-commodores
30,,3.6,,,,,15,Keyon Brooks RB,,,16.0,,57.0,,,,,0,119,RB,vanderbilt-commodores
