,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.9,,,220.0,60.9,11.0,70,Jamie Newman QB,361.0,2868.0,,145.4,,,,22.0,-146.0,26,25,QB,wake-forest-demon-deacons
1,8.6,,,55.0,56.7,2.0,75,Sam Hartman QB,97.0,830.0,,138.1,,,,0.0,0.0,4,25,QB,wake-forest-demon-deacons
2,5.6,,,7.0,77.8,0.0,17,Michael Kern QB,9.0,50.0,,161.1,,,,0.0,0.0,1,25,QB,wake-forest-demon-deacons
3,0.0,,,0.0,0.0,0.0,0,Tayvon Bowers QB,1.0,0.0,,0.0,,,,1.0,-8.0,0,25,QB,wake-forest-demon-deacons
5,,,3.9,,,,27,Cade Carney RB,,,,,,158.0,620.0,,,5,25,RB,wake-forest-demon-deacons
6,,,5.9,,,,96,Kenneth Walker III RB,,,,,,98.0,579.0,,,4,25,RB,wake-forest-demon-deacons
7,,,2.0,,,,2,Will Drawdy RB,,,,,,2.0,4.0,,,0,25,RB,wake-forest-demon-deacons
8,,,-3.3,,,,1,Tayvon Bowers QB,,,,,,3.0,-10.0,,,0,25,QB,wake-forest-demon-deacons
10,,,3.2,,,,50,Jamie Newman QB,,,,,,180.0,574.0,,,6,25,QB,wake-forest-demon-deacons
11,,,4.3,,,,25,Christian Beal-Smith RB,,,,,,71.0,304.0,,,2,25,RB,wake-forest-demon-deacons
12,,,3.3,,,,12,Sam Hartman QB,,,,,,27.0,89.0,,,1,25,QB,wake-forest-demon-deacons
13,,,2.7,,,,12,DeAndre' Delaney RB,,,,,,19.0,51.0,,,0,25,RB,wake-forest-demon-deacons
14,,,3.0,,,,7,Kendrell Flowers RB,,,,,,9.0,27.0,,,0,25,RB,wake-forest-demon-deacons
15,,,4.8,,,,9,Michael Kern QB,,,,,,5.0,24.0,,,0,25,QB,wake-forest-demon-deacons
16,,,3.2,,,,10,Courtney McKinney RB,,,,,,6.0,19.0,,,0,25,RB,wake-forest-demon-deacons
17,,,4.5,,,,6,Kendall Hinton WR,,,,,,2.0,9.0,,,0,25,WR,wake-forest-demon-deacons
18,,15.2,,,,,70,Sage Surratt WR,,,66.0,,1001.0,,,,,11,25,WR,wake-forest-demon-deacons
19,,13.7,,,,,62,Kendall Hinton WR,,,73.0,,1001.0,,,,,4,25,WR,wake-forest-demon-deacons
20,,4.0,,,,,6,Cade Carney RB,,,7.0,,28.0,,,,,0,25,RB,wake-forest-demon-deacons
21,,4.2,,,,,12,Christian Beal-Smith RB,,,6.0,,25.0,,,,,0,25,RB,wake-forest-demon-deacons
22,,5.7,,,,,15,Kenneth Walker III RB,,,3.0,,17.0,,,,,0,25,RB,wake-forest-demon-deacons
23,,1.0,,,,,1,Isaiah Isaac WR,,,1.0,,1.0,,,,,0,25,WR,wake-forest-demon-deacons
25,,17.3,,,,,59,Scotty Washington WR,,,35.0,,607.0,,,,,7,25,WR,wake-forest-demon-deacons
26,,10.2,,,,,44,Jack Freudenthal TE,,,32.0,,325.0,,,,,5,25,TE,wake-forest-demon-deacons
27,,19.2,,,,,75,Donavon Greene WR,,,13.0,,249.0,,,,,2,25,WR,wake-forest-demon-deacons
28,,10.6,,,,,23,Steven Claude WR,,,20.0,,211.0,,,,,0,25,WR,wake-forest-demon-deacons
29,,9.1,,,,,22,Brandon Chapman TE,,,11.0,,100.0,,,,,0,25,TE,wake-forest-demon-deacons
30,,13.3,,,,,34,Jaquarii Roberson WR,,,6.0,,80.0,,,,,1,25,WR,wake-forest-demon-deacons
31,,15.5,,,,,28,A.T. Perry WR,,,4.0,,62.0,,,,,1,25,WR,wake-forest-demon-deacons
32,,8.2,,,,,13,Waydale Jones WR,,,5.0,,41.0,,,,,0,25,WR,wake-forest-demon-deacons
