,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.7,,,260.0,64.2,8.0,57,Jacob Eason QB,405.0,3132.0,,143.9,,,,21.0,-147.0,23,104,QB,washington-huskies
1,6.3,,,2.0,66.7,0.0,21,Jacob Sirmon QB,3.0,19.0,,119.9,,,,1.0,-6.0,0,104,QB,washington-huskies
2,13.0,,,1.0,100.0,0.0,13,Richard Newton RB,1.0,13.0,,539.2,,,,0.0,0.0,1,104,RB,washington-huskies
3,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0,104,-,washington-huskies
4,0.0,,,0.0,0.0,0.0,0,Aaron Fuller WR,1.0,0.0,,0.0,,,,0.0,0.0,0,104,WR,washington-huskies
6,,,5.4,,,,89,Salvon Ahmed RB,,,,,,188.0,1020.0,,,11,104,RB,washington-huskies
7,,,4.3,,,,23,Richard Newton RB,,,,,,117.0,498.0,,,10,104,RB,washington-huskies
8,,,-2.0,,,,4,Hunter Bryant TE,,,,,,2.0,-4.0,,,0,104,TE,washington-huskies
9,,,-2.5,,,,1,Jacob Sirmon QB,,,,,,2.0,-5.0,,,0,104,QB,washington-huskies
10,,,-2.6,,,,0,-,,,,,,16.0,-42.0,,,0,104,-,washington-huskies
11,,,-1.5,,,,19,Jacob Eason QB,,,,,,46.0,-69.0,,,1,104,QB,washington-huskies
13,,,6.2,,,,44,Sean McGrew RB,,,,,,55.0,342.0,,,1,104,RB,washington-huskies
14,,,5.9,,,,19,Chico McClatcher WR,,,,,,9.0,53.0,,,0,104,WR,washington-huskies
15,,,21.5,,,,34,Malik Braxton RB,,,,,,2.0,43.0,,,0,104,RB,washington-huskies
16,,,2.2,,,,9,Kamari Pleasant RB,,,,,,16.0,35.0,,,0,104,RB,washington-huskies
17,,,8.8,,,,12,Andre Baccellia WR,,,,,,4.0,35.0,,,1,104,WR,washington-huskies
18,,,9.0,,,,9,Terrell Bynum WR,,,,,,1.0,9.0,,,0,104,WR,washington-huskies
19,,,3.0,,,,7,Cameron Davis RB,,,,,,2.0,6.0,,,0,104,RB,washington-huskies
20,,,1.0,,,,1,Race Porter P,,,,,,1.0,1.0,,,0,104,P,washington-huskies
21,,15.9,,,,,50,Hunter Bryant TE,,,52.0,,825.0,,,,,3,104,TE,washington-huskies
22,,11.9,,,,,37,Aaron Fuller WR,,,59.0,,702.0,,,,,6,104,WR,washington-huskies
23,,3.8,,,,,12,Sean McGrew RB,,,10.0,,38.0,,,,,0,104,RB,washington-huskies
24,,13.0,,,,,18,Kamari Pleasant RB,,,2.0,,26.0,,,,,0,104,RB,washington-huskies
25,,8.0,,,,,17,Richard Newton RB,,,2.0,,16.0,,,,,1,104,RB,washington-huskies
26,,3.0,,,,,4,Jack Westover TE,,,3.0,,9.0,,,,,1,104,TE,washington-huskies
27,,0.0,,,,,5,Jacob Eason QB,,,0.0,,5.0,,,,,0,104,QB,washington-huskies
28,,-2.0,,,,,-2,Austin Osborne WR,,,1.0,,-2.0,,,,,0,104,WR,washington-huskies
30,,11.9,,,,,57,Terrell Bynum WR,,,31.0,,368.0,,,,,2,104,WR,washington-huskies
31,,10.8,,,,,36,Cade Otton TE,,,32.0,,344.0,,,,,2,104,TE,washington-huskies
32,,10.8,,,,,50,Andre Baccellia WR,,,29.0,,314.0,,,,,4,104,WR,washington-huskies
33,,24.0,,,,,49,Puka Nacua WR,,,7.0,,168.0,,,,,2,104,WR,washington-huskies
34,,7.8,,,,,20,Chico McClatcher WR,,,13.0,,102.0,,,,,1,104,WR,washington-huskies
35,,32.7,,,,,48,Jordan Chin WR,,,3.0,,98.0,,,,,2,104,WR,washington-huskies
36,,5.3,,,,,23,Salvon Ahmed RB,,,16.0,,84.0,,,,,0,104,RB,washington-huskies
37,,22.3,,,,,26,Marquis Spiker WR,,,3.0,,67.0,,,,,0,104,WR,washington-huskies
