,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.1,,,493.0,71.6,16.0,65,Anthony Gordon QB,689.0,5579.0,,157.9,,,,20.0,-153.0,48,105,QB,washington-state-cougars
1,6.8,,,10.0,76.9,0.0,26,Gage Gubrud QB,13.0,89.0,,159.8,,,,0.0,0.0,1,105,QB,washington-state-cougars
2,2.5,,,2.0,33.3,0.0,11,Trey Tinsley QB,6.0,15.0,,109.3,,,,0.0,0.0,1,105,QB,washington-state-cougars
3,0.0,,,0.0,0.0,0.0,0,- Team -,2.0,0.0,,0.0,,,,0.0,0.0,0,105,-,washington-state-cougars
5,,,6.4,,,,56,Max Borghi RB,,,,,,127.0,817.0,,,11,105,RB,washington-state-cougars
6,,,6.9,,,,32,Deon McIntosh RB,,,,,,16.0,111.0,,,1,105,RB,washington-state-cougars
7,,,2.8,,,,8,Clay Markoff RB,,,,,,9.0,25.0,,,0,105,RB,washington-state-cougars
8,,,-0.4,,,,17,Anthony Gordon QB,,,,,,51.0,-20.0,,,0,105,QB,washington-state-cougars
9,,,-6.9,,,,0,- Team -,,,,,,7.0,-48.0,,,0,105,-,washington-state-cougars
11,,14.2,,,,,44,Brandon Arconado WR,,,78.0,,1109.0,,,,,7,105,WR,washington-state-cougars
12,,11.4,,,,,39,Easop Winston Jr. WR,,,85.0,,970.0,,,,,11,105,WR,washington-state-cougars
13,,9.7,,,,,26,Kassidy Woods WR,,,6.0,,58.0,,,,,0,105,WR,washington-state-cougars
14,,6.5,,,,,11,Brandon Gray WR,,,2.0,,13.0,,,,,0,105,WR,washington-state-cougars
16,,13.1,,,,,48,Dezmon Patmon WR,,,58.0,,762.0,,,,,8,105,WR,washington-state-cougars
17,,6.9,,,,,65,Max Borghi RB,,,86.0,,597.0,,,,,5,105,RB,washington-state-cougars
18,,10.7,,,,,41,Renard Bell WR,,,54.0,,579.0,,,,,6,105,WR,washington-state-cougars
19,,13.1,,,,,58,Davontavean Martin WR,,,43.0,,564.0,,,,,4,105,WR,washington-state-cougars
20,,11.4,,,,,54,Travell Harris WR,,,47.0,,536.0,,,,,5,105,WR,washington-state-cougars
21,,13.9,,,,,58,Rodrick Fisher WR,,,19.0,,265.0,,,,,1,105,WR,washington-state-cougars
22,,11.7,,,,,36,Calvin Jackson Jr. WR,,,10.0,,117.0,,,,,1,105,WR,washington-state-cougars
23,,6.6,,,,,41,Deon McIntosh RB,,,17.0,,113.0,,,,,2,105,RB,washington-state-cougars
