,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.4,,,241.0,69.9,7.0,69,Ty Storey QB,345.0,2567.0,,141.7,,,,18.0,-118.0,14,63,QB,western-kentucky-hilltoppers
1,6.6,,,70.0,58.8,4.0,77,Steven Duncan QB,119.0,790.0,,121.7,,,,2.0,-12.0,5,63,QB,western-kentucky-hilltoppers
2,4.0,,,1.0,50.0,0.0,8,Lucky Jackson WR,2.0,8.0,,248.6,,,,0.0,0.0,1,63,WR,western-kentucky-hilltoppers
3,6.0,,,1.0,100.0,0.0,6,Kevaris Thomas QB,1.0,6.0,,150.4,,,,0.0,0.0,0,63,QB,western-kentucky-hilltoppers
4,0.0,,,0.0,0.0,1.0,0,Jacquez Sloan WR,1.0,0.0,,-200.0,,,,0.0,0.0,0,63,WR,western-kentucky-hilltoppers
6,,,5.0,,,,68,Gaej Walker RB,,,,,,241.0,1208.0,,,8,63,RB,western-kentucky-hilltoppers
7,,,2.3,,,,27,Ty Storey QB,,,,,,118.0,276.0,,,7,63,QB,western-kentucky-hilltoppers
8,,,6.0,,,,6,Jakairi Moses RB,,,,,,1.0,6.0,,,0,63,RB,western-kentucky-hilltoppers
9,,,3.0,,,,3,John Haggerty PK,,,,,,1.0,3.0,,,0,63,PK,western-kentucky-hilltoppers
10,,,-2.4,,,,6,Jahcour Pearson WR,,,,,,5.0,-12.0,,,0,63,WR,western-kentucky-hilltoppers
12,,,10.0,,,,21,Jacquez Sloan WR,,,,,,8.0,80.0,,,2,63,WR,western-kentucky-hilltoppers
13,,,6.2,,,,24,KeShawn McClendon RB,,,,,,9.0,56.0,,,0,63,RB,western-kentucky-hilltoppers
14,,,2.8,,,,6,Joshua Samuel RB,,,,,,6.0,17.0,,,0,63,RB,western-kentucky-hilltoppers
15,,,16.0,,,,16,Davis Shanley QB,,,,,,1.0,16.0,,,0,63,QB,western-kentucky-hilltoppers
16,,,3.2,,,,6,Gino Appleberry Jr. RB,,,,,,5.0,16.0,,,0,63,RB,western-kentucky-hilltoppers
17,,,15.0,,,,15,Lucky Jackson WR,,,,,,1.0,15.0,,,0,63,WR,western-kentucky-hilltoppers
18,,,0.7000000000000001,,,,7,Steven Duncan QB,,,,,,15.0,11.0,,,1,63,QB,western-kentucky-hilltoppers
19,,,2.3,,,,11,Garland LaFrance WR,,,,,,4.0,9.0,,,0,63,WR,western-kentucky-hilltoppers
20,,12.1,,,,,69,Lucky Jackson WR,,,94.0,,1133.0,,,,,4,63,WR,western-kentucky-hilltoppers
21,,10.6,,,,,69,Jahcour Pearson WR,,,76.0,,804.0,,,,,7,63,WR,western-kentucky-hilltoppers
22,,12.0,,,,,12,Xavier Lane WR,,,1.0,,12.0,,,,,0,63,WR,western-kentucky-hilltoppers
23,,10.0,,,,,10,Dayton Wade WR,,,1.0,,10.0,,,,,0,63,WR,western-kentucky-hilltoppers
24,,5.0,,,,,5,Joshua Samuel RB,,,2.0,,10.0,,,,,0,63,RB,western-kentucky-hilltoppers
25,,6.0,,,,,6,Steven Witchoskey TE,,,1.0,,6.0,,,,,0,63,TE,western-kentucky-hilltoppers
27,,14.3,,,,,77,Joshua Simon TE,,,30.0,,430.0,,,,,4,63,TE,western-kentucky-hilltoppers
28,,10.7,,,,,33,Quin Jernighan WR,,,32.0,,341.0,,,,,2,63,WR,western-kentucky-hilltoppers
29,,8.7,,,,,25,Jacquez Sloan WR,,,34.0,,297.0,,,,,1,63,WR,western-kentucky-hilltoppers
30,,5.8,,,,,20,Gaej Walker RB,,,24.0,,140.0,,,,,0,63,RB,western-kentucky-hilltoppers
31,,12.0,,,,,28,Kyle Fourtenbary TE,,,9.0,,108.0,,,,,1,63,TE,western-kentucky-hilltoppers
32,,17.0,,,,,26,Jakairi Moses RB,,,3.0,,51.0,,,,,0,63,RB,western-kentucky-hilltoppers
33,,3.8,,,,,8,Garland LaFrance WR,,,4.0,,15.0,,,,,0,63,WR,western-kentucky-hilltoppers
34,,7.0,,,,,8,Ty Storey QB,,,2.0,,14.0,,,,,1,63,QB,western-kentucky-hilltoppers
