,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,8.0,,,236.0,69.6,5.0,70,Jack Coan QB,339.0,2727.0,,151.8,,,,19.0,-117.0,18,49,QB,wisconsin-badgers
1,7.3,,,9.0,90.0,0.0,19,Graham Mertz QB,10.0,73.0,,151.3,,,,1.0,-4.0,0,49,QB,wisconsin-badgers
2,2.0,,,1.0,100.0,0.0,2,Chase Wolf QB,1.0,2.0,,116.8,,,,0.0,0.0,0,49,QB,wisconsin-badgers
3,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0,49,-,wisconsin-badgers
5,,,6.3,,,,72,Jonathan Taylor RB,,,,,,320.0,2003.0,,,21,49,RB,wisconsin-badgers
6,,,4.5,,,,27,Nakia Watson RB,,,,,,74.0,331.0,,,2,49,RB,wisconsin-badgers
7,,,3.1,,,,8,Brady Schipper RB,,,,,,8.0,25.0,,,0,49,RB,wisconsin-badgers
8,,,0.4,,,,25,Jack Coan QB,,,,,,56.0,22.0,,,4,49,QB,wisconsin-badgers
9,,,9.0,,,,9,Chase Wolf QB,,,,,,1.0,9.0,,,0,49,QB,wisconsin-badgers
10,,,3.5,,,,4,Jack Dunn WR,,,,,,2.0,7.0,,,1,49,WR,wisconsin-badgers
11,,,3.0,,,,10,Graham Mertz QB,,,,,,2.0,6.0,,,0,49,QB,wisconsin-badgers
12,,,1.0,,,,1,Isaac Guerendo RB,,,,,,1.0,1.0,,,0,49,RB,wisconsin-badgers
13,,,-7.0,,,,0,Anthony Lotti P,,,,,,2.0,-14.0,,,0,49,P,wisconsin-badgers
14,,,-1.3,,,,0,-,,,,,,12.0,-15.0,,,0,49,-,wisconsin-badgers
16,,,4.6,,,,23,Garrett Groshek RB,,,,,,42.0,194.0,,,2,49,RB,wisconsin-badgers
17,,,13.8,,,,66,Kendric Pryor WR,,,,,,13.0,180.0,,,2,49,WR,wisconsin-badgers
18,,,10.6,,,,27,Aron Cruickshank WR,,,,,,13.0,138.0,,,1,49,WR,wisconsin-badgers
19,,,6.4,,,,42,Bradrick Shaw RB,,,,,,18.0,116.0,,,1,49,RB,wisconsin-badgers
20,,,12.2,,,,29,Danny Davis III WR,,,,,,9.0,110.0,,,1,49,WR,wisconsin-badgers
21,,,3.6,,,,11,John Chenal FB,,,,,,18.0,65.0,,,1,49,FB,wisconsin-badgers
22,,,3.4,,,,7,Mason Stokke FB,,,,,,15.0,51.0,,,2,49,FB,wisconsin-badgers
23,,,5.7,,,,11,A.J. Taylor WR,,,,,,6.0,34.0,,,0,49,WR,wisconsin-badgers
24,,15.3,,,,,52,Quintez Cephus WR,,,59.0,,901.0,,,,,7,49,WR,wisconsin-badgers
25,,12.3,,,,,28,Jake Ferguson TE,,,33.0,,407.0,,,,,2,49,TE,wisconsin-badgers
26,,10.0,,,,,14,Adam Krumholz WR,,,2.0,,20.0,,,,,0,49,WR,wisconsin-badgers
27,,5.0,,,,,12,John Chenal FB,,,3.0,,15.0,,,,,0,49,FB,wisconsin-badgers
28,,3.0,,,,,3,Isaac Guerendo RB,,,1.0,,3.0,,,,,0,49,RB,wisconsin-badgers
29,,1.0,,,,,6,Nakia Watson RB,,,3.0,,3.0,,,,,0,49,RB,wisconsin-badgers
31,,10.0,,,,,70,Garrett Groshek RB,,,29.0,,289.0,,,,,0,49,RB,wisconsin-badgers
32,,12.1,,,,,35,Kendric Pryor WR,,,23.0,,278.0,,,,,0,49,WR,wisconsin-badgers
33,,11.6,,,,,55,A.J. Taylor WR,,,23.0,,267.0,,,,,2,49,WR,wisconsin-badgers
34,,9.7,,,,,36,Jonathan Taylor RB,,,26.0,,252.0,,,,,5,49,RB,wisconsin-badgers
35,,8.3,,,,,18,Danny Davis III WR,,,30.0,,250.0,,,,,1,49,WR,wisconsin-badgers
36,,7.8,,,,,13,Mason Stokke FB,,,6.0,,47.0,,,,,0,49,FB,wisconsin-badgers
37,,8.2,,,,,18,Jack Dunn WR,,,5.0,,41.0,,,,,1,49,WR,wisconsin-badgers
38,,9.7,,,,,19,Aron Cruickshank WR,,,3.0,,29.0,,,,,0,49,WR,wisconsin-badgers
