,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD,teamNumer,position,team_name
0,7.6,,,52.0,43.0,3.0,56,Sean Chambers QB,121.0,915.0,,120.6,,,,7.0,-41.0,7,93,QB,wyoming-cowboys
1,5.4,,,49.0,51.6,4.0,31,Tyler Vander Waal QB,95.0,512.0,,91.9,,,,11.0,-77.0,1,93,QB,wyoming-cowboys
2,8.8,,,19.0,48.7,2.0,63,Levi Williams QB,39.0,343.0,,137.7,,,,3.0,-24.0,3,93,QB,wyoming-cowboys
3,0.0,,,0.0,0.0,0.0,0,Austin Conway WR,1.0,0.0,,0.0,,,,0.0,0.0,0,93,WR,wyoming-cowboys
5,,,5.1,,,,62,Xazavian Valladay RB,,,,,,247.0,1265.0,,,6,93,RB,wyoming-cowboys
6,,,6.3,,,,75,Sean Chambers QB,,,,,,90.0,567.0,,,10,93,QB,wyoming-cowboys
7,,,-1.9,,,,0,-,,,,,,10.0,-19.0,,,0,93,-,wyoming-cowboys
8,,,-0.7000000000000001,,,,11,Tyler Vander Waal QB,,,,,,27.0,-19.0,,,4,93,QB,wyoming-cowboys
10,,,5.0,,,,59,Titus Swen RB,,,,,,67.0,337.0,,,1,93,RB,wyoming-cowboys
11,,,5.2,,,,80,Trey Smith RB,,,,,,44.0,227.0,,,3,93,RB,wyoming-cowboys
12,,,4.5,,,,38,Levi Williams QB,,,,,,40.0,181.0,,,2,93,QB,wyoming-cowboys
13,,,5.9,,,,41,Brett Brenton RB,,,,,,29.0,172.0,,,0,93,RB,wyoming-cowboys
14,,,6.3,,,,12,Raghib Ismail Jr. WR,,,,,,6.0,38.0,,,1,93,WR,wyoming-cowboys
15,,,4.5,,,,9,Austin Conway WR,,,,,,6.0,27.0,,,0,93,WR,wyoming-cowboys
16,,,1.9,,,,4,Jeff Burroughs FB,,,,,,8.0,15.0,,,0,93,FB,wyoming-cowboys
17,,,1.0,,,,1,Alphonzo Andrews Jr. RB,,,,,,1.0,1.0,,,0,93,RB,wyoming-cowboys
18,,15.4,,,,,37,Raghib Ismail Jr. WR,,,23.0,,355.0,,,,,2,93,WR,wyoming-cowboys
19,,13.7,,,,,28,Austin Conway WR,,,23.0,,314.0,,,,,1,93,WR,wyoming-cowboys
20,,8.0,,,,,11,Brett Brenton RB,,,2.0,,16.0,,,,,0,93,RB,wyoming-cowboys
21,,-5.0,,,,,0,Tyler Vander Waal QB,,,1.0,,-5.0,,,,,0,93,QB,wyoming-cowboys
23,,13.2,,,,,56,Josh Harshman TE,,,20.0,,264.0,,,,,2,93,TE,wyoming-cowboys
24,,19.2,,,,,63,Xazavian Valladay RB,,,11.0,,211.0,,,,,2,93,RB,wyoming-cowboys
25,,21.0,,,,,53,Ayden Eberhardt WR,,,8.0,,168.0,,,,,2,93,WR,wyoming-cowboys
26,,21.7,,,,,45,Gunner Gentry WR,,,6.0,,130.0,,,,,0,93,WR,wyoming-cowboys
27,,14.1,,,,,25,Jackson Marcotte TE,,,9.0,,127.0,,,,,2,93,TE,wyoming-cowboys
28,,8.2,,,,,15,John Okwoli WR,,,9.0,,74.0,,,,,0,93,WR,wyoming-cowboys
29,,14.0,,,,,34,Dontae Crow WR,,,5.0,,70.0,,,,,0,93,WR,wyoming-cowboys
30,,15.3,,,,,24,Titus Swen RB,,,3.0,,46.0,,,,,0,93,RB,wyoming-cowboys
