team_no,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,total_penalties_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,total_penalties,total_yards_penalized,total_defensive_sacks,yards_lost_from_sacks,total_punts_kicked,total_punt_yards,total_team_penalties,abbr
0,Cincinnati,290,21,42.99,64.71,18.8,21.9,8.3,11,40.9,2552,182.3,110,19,159,616,30,2912,208,1028,413,31.8,52,5464,123-977,390.3,6.8,4.7,123,977,35,234,72,3053,123,CIN
1,East Carolina,288,37,39.33,42.86,9.8,16.3,5.3,10,36.3,3466,288.8,152,22,99,449,12,1696,141.3,917,321,26.8,36,5162,71-615,430.2,7.7,3.8,71,615,17,150,65,2653,71,CCAR
2,Houston,232,23,34.84,70.59,10.4,21.7,11.4,12,43.6,2440,203.3,97,19,112,466,20,2258,188.2,815,368,30.7,44,4698,58-579,391.5,7.8,4.8,58,579,35,199,54,2531,58,HOU
3,Memphis,327,31,45.88,58.33,4.8,26.2,8.1,11,40.8,4177,298.4,161,33,135,551,32,2614,186.7,1019,566,40.4,71,6791,103-839,485.1,9.5,4.7,103,839,27,170,44,1957,103,MEM
4,Navy,282,12,46.2,76.47,4.8,16.9,6.2,4,39.1,1238,95.2,42,10,228,773,52,4687,360.5,894,483,37.2,64,5925,54-459,455.8,11.9,6.1,54,459,17,95,39,1668,54,NAVY
5,SMU,321,40,43.87,73.33,10.1,26.1,8.1,11,36.4,4017,309,162,35,119,534,35,2351,180.8,1054,546,42,73,6368,83-743,489.8,8,4.4,83,743,17,108,64,2499,83,SMU
6,South Florida,200,16,38.98,41.18,23.3,20.3,8.3,10,37.8,2035,169.6,80,18,104,445,15,1935,161.3,818,250,22.7,33,3970,101-854,330.8,6.2,4.3,101,854,45,246,74,3317,101,USF
7,Temple,263,25,37.81,41.67,13.8,20,5.2,13,35.8,3312,254.8,146,26,92,479,16,1784,137.2,972,342,26.3,45,5096,92-801,392,7,3.7,92,801,21,132,65,2469,92,TEM
8,Tulane,299,16,38.46,58.82,10.8,23.3,9.9,10,36.2,2679,206.1,117,19,166,612,33,3162,243.2,976,430,33.1,56,5841,103-883,449.3,8,5.2,103,883,28,186,52,2155,103,TULN
9,Tulsa,263,25,42.51,56.52,7.4,19,4.1,9,36.6,3376,281.3,135,20,103,503,18,1660,138.3,986,317,26.4,39,5036,109-949,419.7,7.6,3.3,109,949,39,242,63,2636,109,TLSA
10,UCF,333,36,40.3,57.58,18.4,17.8,10.9,8,36.8,4117,316.7,143,36,154,559,34,2909,223.8,1040,564,43.4,74,7026,111-952,540.5,9,5.2,111,952,24,140,59,2408,111,UCF
11,UConn,223,22,28.74,40,21,20.3,11.9,15,38.6,2592,216,110,14,91,428,13,1544,128.7,843,227,18.9,28,4136,74-618,344.7,6.8,3.6,74,618,33,202,65,2716,74,CONN
12,Boston College,277,10,43,54.17,6.1,20.8,8.8,6,39.3,2288,176,95,20,172,659,27,3291,253.2,977,371,28.5,48,5579,66-486,429.2,7.5,5,66,486,13,95,67,2841,66,BC
13,Clemson,370,31,46.47,50,13.4,22,6,10,40.3,4091,292.2,179,40,160,538,42,3446,246.1,1026,634,45.3,85,7537,78-619,538.4,8.7,6.4,78,619,16,131,52,2206,78,CLEM
14,Duke,224,21,32.82,60.61,9.8,24.9,11,14,40.4,2152,179.3,102,18,101,495,16,1804,150.3,901,305,25.4,37,3956,63-544,329.7,5.7,3.6,63,544,28,140,67,3018,63,DUKE
15,Florida State,265,25,35.42,57.9,11.8,25.4,6.6,13,37.9,3479,267.6,138,24,102,477,24,1829,140.7,957,363,27.9,49,5308,119-953,408.3,8.1,3.8,119,953,48,295,77,3054,119,FSU
16,Georgia Tech,181,19,29.7,47.06,9.3,21.5,4.8,10,38.3,1607,133.9,63,14,99,448,12,1829,152.4,745,200,18.2,27,3436,57-493,286.3,6,4.1,57,493,28,182,81,3583,57,GT
17,Louisville,263,19,43.68,59.09,5.4,27.4,11.7,9,38.7,3048,234.5,115,32,129,568,23,2767,212.8,909,430,33.1,58,5815,93-780,447.3,10.1,4.9,93,780,39,220,58,2450,93,LOUI
18,Miami,252,26,26.67,52,13.6,20.4,14.2,10,40.5,3239,249.2,145,27,81,407,16,1535,118.1,895,334,27.8,43,4774,91-782,367.2,7.4,3.8,91,782,51,316,65,2824,91,MIA
19,NC State,259,26,35.52,48.28,6.8,18.7,13.5,10,41.5,2749,229.1,123,14,110,418,14,1814,151.2,899,265,22.1,29,4563,71-627,380.3,5.9,4.3,71,627,18,118,57,2663,71,NCST
20,North Carolina,314,16,41.15,65.22,4.1,21.6,5.4,7,37.7,3716,285.8,167,39,131,528,13,2446,188.2,996,432,33.2,53,6162,80-701,474,8.6,4.6,80,701,37,227,60,2479,80,UNC
21,Pittsburgh,268,26,39.81,47.06,14.7,15.9,5.9,10,36.2,3402,261.7,152,17,90,441,11,1544,118.8,983,275,22.9,30,4946,102-888,380.5,6.6,3.5,102,888,29,212,69,2860,102,PITT
22,Syracuse,239,23,37.68,39.29,12.5,19.1,8.6,7,43,2887,240.6,117,23,99,501,16,1848,154,959,339,28.3,41,4735,107-887,394.6,7.1,3.7,107,887,50,297,69,3026,107,SYR
23,Virginia,296,27,45.32,56.25,23.3,28.7,5.1,15,37.9,3748,267.7,180,23,89,442,28,1697,121.2,1003,449,32.1,56,5445,66-612,388.9,7.2,3.8,66,612,41,240,57,2390,66,UVA
24,Virginia Tech,259,26,38.33,69.23,6.3,19.3,9.7,8,41.4,2718,209.1,108,24,125,565,22,2289,176.1,912,399,30.7,49,5007,69-606,385.2,8.5,4.1,69,606,29,202,61,2821,69,VT
25,Wake Forest,307,22,46.96,38.89,0.7,19.3,8.1,13,39.2,3748,288.3,164,31,121,586,18,2284,175.7,1078,414,31.8,49,6032,57-460,464,8,3.9,57,460,23,154,75,3510,57,WAKE
26,Baylor,308,32,41.44,40,14.7,19.7,8.9,8,38.9,3571,255.1,151,24,125,504,35,2330,166.4,986,471,33.6,61,5901,90-756,421.5,8,4.6,90,756,38,234,72,2899,90,BAY
27,Iowa State,298,23,37.87,42.86,17,19.9,10.4,9,37.7,4047,311.3,188,29,87,412,22,1729,133,914,418,32.2,53,5776,61-496,444.3,8.4,4.2,61,496,18,117,54,2194,61,IOWA
28,Kansas,222,15,39.52,35,11.5,19.8,5.1,14,39.1,2775,231.3,116,25,91,383,10,1730,144.2,796,282,23.5,36,4505,66-601,375.4,7.1,4.5,66,601,23,152,58,2580,66,KU
29,Kansas State,254,21,43.1,60,11.6,29.5,10.3,5,40.3,2352,180.9,116,12,117,538,29,2314,178,866,385,29.6,47,4666,77-679,358.9,7.8,4.3,77,679,25,128,56,2541,77,KSU
30,Oklahoma,348,16,49.68,66.67,4.4,17.4,7.2,9,40.2,4164,297.4,172,36,160,565,38,3363,240.2,969,590,42.1,76,7527,101-1038,537.6,10.9,6,101,1038,23,147,38,1612,101,OU
