variable,1st Downs,1st downs by penalty,3rd down %,3rd down efficiency,4th down %,4th down efficiency,Average Interception Yards,Average Kickoff Return Yards,Average Punt Return Yards,Comp-Att,FG: Good-Attempts,Fumbles-Lost,INT: Total,Interceptions,Kickoffs: Total,Net Average Punt Yards,Net Passing Yards,Net Passing Yards Per Game,Passing 1st downs,Passing Touchdowns,Possession Time Seconds,Punt: Total,Punt: Total Yards,Rushing 1st downs,Rushing Attempts,Rushing Touchdowns,Rushing Yards,Rushing Yards Per Game,Sacks-Yards Lost,Total Offensive Plays,Total Points,Total Points Per Game,Total Touchdowns,Total Yards,Total-Yards,Touchback Percentage,Turnover Ratio,Yards Per Game,Yards Per Pass Attempt,Yards Per Rush Attempt
Cincinnati,290,21,42.99,92-214,64.71,11-17,18.8,21.9,8.3,208-377,16-22,41:29,16-300,11,27-590,40.9,2552,182.3,110,19,5,30-250,72-3053,159,616,30,2912,208.0,35--234,1028,413,31.8,52,5464,123-977,0,17-9,390.3,6.8,4.7
East Carolina,288,37,39.33,70-178,42.86,3-7,9.8,16.3,5.3,270-451,24-29,15-7,11-108,10,40-653,36.3,3466,288.8,152,22,00:00,15-79,65-2653,99,449,12,1696,141.3,17--150,917,321,26.8,36,5162,71-615,0,0,430.2,7.7,3.8
Houston,232,23,34.84,54-155,70.59,12-17,10.4,21.7,11.4,176-314,20-24,17-9,8-83,12,26-564,43.6,2440,203.3,97,19,00:00,16-182,54-2531,112,466,20,2258,188.2,35--199,815,368,30.7,44,4698,58-579,0,0,391.5,7.8,4.8
Memphis,327,31,45.88,89-194,58.33,14-24,4.8,26.2,8.1,281-441,23-25,32:42,11-53,11,46-1206,40.8,4177,298.4,161,33,45,25-187,44-1957,135,551,32,2614,186.7,27--170,1019,566,40.4,71,6791,103-839,0,21-9,485.1,9.5,4.7
Navy,282,12,46.20,79-171,76.47,26-34,4.8,16.9,6.2,55-104,12-17,36:31,12-57,4,13-220,39.1,1238,95.2,42,10,55,18-112,39-1668,228,773,52,4687,360.5,17--95,894,483,37.2,64,5925,54-459,0,20-12,455.8,11.9,6.1
SMU,321,40,43.87,93-212,73.33,22-30,10.1,26.1,8.1,313-503,12-16,28:56,9-91,11,43-1121,36.4,4017,309.0,162,35,55,23-186,64-2499,119,534,35,2351,180.8,17--108,1054,546,42.0,73,6368,83-743,0,14-5,489.8,8.0,4.4
South Florida,200,16,38.98,69-177,41.18,7-17,23.3,20.3,8.3,177-328,7-14,19-9,12-279,10,30-609,37.8,2035,169.6,80,18,00:00,15-125,74-3317,104,445,15,1935,161.3,45--246,818,250,22.7,33,3970,101-854,0,0,330.8,6.2,4.3
Temple,263,25,37.81,76-201,41.67,15-36,13.8,20.0,5.2,282-472,11-15,27:30,8-110,13,39-781,35.8,3312,254.8,146,26,65,13-68,65-2469,92,479,16,1784,137.2,21--132,972,342,26.3,45,5096,92-801,0,18-7,392.0,7.0,3.7
Tulane,299,16,38.46,70-182,58.82,20-34,10.8,23.3,9.9,197-336,13-17,33:53,12-129,10,42-980,36.2,2679,206.1,117,19,50,17-168,52-2155,166,612,33,3162,243.2,28--186,976,430,33.1,56,5841,103-883,0,14-8,449.3,8.0,5.2
Tulsa,263,25,42.51,88-207,56.52,13-23,7.4,19.0,4.1,254-444,15-24,21-10,5-37,9,26-495,36.6,3376,281.3,135,20,00:00,14-58,63-2636,103,503,18,1660,138.3,39--242,986,317,26.4,39,5036,109-949,0,0,419.7,7.6,3.3
UCF,333,36,40.30,81-201,57.58,19-33,18.4,17.8,10.9,271-457,15-17,27:40,13-239,8,17-302,36.8,4117,316.7,143,36,93,27-293,59-2408,154,559,34,2909,223.8,24--140,1040,564,43.4,74,7026,111-952,0,19-7,540.5,9.0,5.2
UConn,223,22,28.74,48-167,40.00,10-25,21.0,20.3,11.9,228-382,10-16,13-7,7-147,15,39-790,38.6,2592,216.0,110,14,00:00,9-107,65-2716,91,428,13,1544,128.7,33--202,843,227,18.9,28,4136,74-618,0,0,344.7,6.8,3.6
Boston College,277,10,43.00,89-207,54.17,13-24,6.1,20.8,8.8,161-305,12-18,18:31,10-61,6,47-978,39.3,2288,176.0,95,20,30,18-159,67-2841,172,659,27,3291,253.2,13--95,977,371,28.5,48,5579,66-486,0,17-6,429.2,7.5,5.0
Clemson,370,31,46.47,79-170,50.00,6-12,13.4,22.0,6.0,308-472,13-22,26:33,19-254,10,22-483,40.3,4091,292.2,179,40,47,31-185,52-2206,160,538,42,3446,246.1,16--131,1026,634,45.3,85,7537,78-619,0,9-4,538.4,8.7,6.4
Duke,224,21,32.82,64-195,60.61,20-33,9.8,24.9,11.0,213-378,15-18,23-14,9-88,14,37-923,40.4,2152,179.3,102,18,00:00,21-231,67-3018,101,495,16,1804,150.3,28--140,901,305,25.4,37,3956,63-544,0,0,329.7,5.7,3.6
Florida State,265,25,35.42,68-192,57.90,11-19,11.8,25.4,6.6,279-432,7-14,31:04,8-94,13,19-483,37.9,3479,267.6,138,24,72,20-132,77-3054,102,477,24,1829,140.7,48--295,957,363,27.9,49,5308,119-953,0,21-8,408.3,8.1,3.8
Georgia Tech,181,19,29.70,49-165,47.06,8-17,9.3,21.5,4.8,124-269,3-8,18-10,7-65,10,29-623,38.3,1607,133.9,63,14,00:00,16-76,81-3583,99,448,12,1829,152.4,28--182,745,200,18.2,27,3436,57-493,0,0,286.3,6.0,4.1
Louisville,263,19,43.68,76-174,59.09,13-22,5.4,27.4,11.7,178-302,9-14,31:34,7-38,9,33-904,38.7,3048,234.5,115,32,50,16-187,58-2450,129,568,23,2767,212.8,39--220,909,430,33.1,58,5815,93-780,0,20-10,447.3,10.1,4.9
Miami,252,26,26.67,44-165,52.00,13-25,13.6,20.4,14.2,255-437,12-20,28:34,10-136,10,25-511,40.5,3239,249.2,145,27,65,21-299,65-2824,81,407,16,1535,118.1,51--316,895,334,27.8,43,4774,91-782,0,19-7,367.2,7.4,3.8
NC State,259,26,35.52,65-183,48.28,14-29,6.8,18.7,13.5,244-463,21-24,21-11,4-27,10,22-412,41.5,2749,229.1,123,14,00:00,15-203,57-2663,110,418,14,1814,151.2,18--118,899,265,22.1,29,4563,71-627,0,0,380.3,5.9,4.3
North Carolina,314,16,41.15,79-192,65.22,15-23,4.1,21.6,5.4,265-431,19-28,32:30,14-58,7,24-518,37.7,3716,285.8,167,39,63,13-81,60-2479,131,528,13,2446,188.2,37--227,996,432,33.2,53,6162,80-701,0,16-5,474.0,8.6,4.6
Pittsburgh,268,26,39.81,84-211,47.06,8-17,14.7,15.9,5.9,316-513,22-31,25:51,9-132,10,18-287,36.2,3402,261.7,152,17,36,34-199,69-2860,90,441,11,1544,118.8,29--212,983,275,22.9,30,4946,102-888,0,24-12,380.5,6.6,3.5
Syracuse,239,23,37.68,78-207,39.29,11-28,12.5,19.1,8.6,250-408,18-21,13-9,13-163,7,34-649,43.0,2887,240.6,117,23,00:00,16-137,69-3026,99,501,16,1848,154.0,50--297,959,339,28.3,41,4735,107-887,0,0,394.6,7.1,3.7
Virginia,296,27,45.32,92-203,56.25,9-16,23.3,28.7,5.1,337-520,20-24,28:09,12-279,15,42-1204,37.9,3748,267.7,180,23,14,26-158,57-2390,89,442,28,1697,121.2,41--240,1003,449,32.1,56,5445,66-612,0,16-6,388.9,7.2,3.8
Virginia Tech,259,26,38.33,69-180,69.23,9-13,6.3,19.3,9.7,185-318,19-23,24:14,14-88,8,28-540,41.4,2718,209.1,108,24,30,25-242,61-2821,125,565,22,2289,176.1,29--202,912,399,30.7,49,5007,69-606,0,21-15,385.2,8.5,4.1
Wake Forest,307,22,46.96,108-230,38.89,7-18,0.7,19.3,8.1,282-469,24-25,24:50,14-10,13,22-424,39.2,3748,288.3,164,31,65,26-211,75-3510,121,586,18,2284,175.7,23--154,1078,414,31.8,49,6032,57-460,0,16-4,464.0,8.0,3.9
Baylor,308,32,41.44,75-181,40.00,6-15,14.7,19.7,8.9,277-444,16-20,27:37,17-250,8,24-472,38.9,3571,255.1,151,24,90,15-134,72-2899,125,504,35,2330,166.4,38--234,986,471,33.6,61,5901,90-756,0,23-11,421.5,8.0,4.6
Iowa State,298,23,37.87,64-169,42.86,9-21,17.0,19.9,10.4,315-484,17-23,27:12,6-102,9,24-477,37.7,4047,311.3,188,29,5,10-96,54-2194,87,412,22,1729,133.0,18--117,914,418,32.2,53,5776,61-496,0,11-7,444.3,8.4,4.2
Kansas,222,15,39.52,66-167,35.00,7-20,11.5,19.8,5.1,235-390,11-19,12-6,6-69,14,44-873,39.1,2775,231.3,116,25,00:00,9-46,58-2580,91,383,10,1730,144.2,23--152,796,282,23.5,36,4505,66-601,0,0,375.4,7.1,4.5
Kansas State,254,21,43.10,75-174,60.00,9-15,11.6,29.5,10.3,181-303,19-21,23:29,11-128,5,34-1003,40.3,2352,180.9,116,12,40,16-163,56-2541,117,538,29,2314,178.0,25--128,866,385,29.6,47,4666,77-679,0,22-9,358.9,7.8,4.3
Oklahoma,348,16,49.68,77-155,66.67,8-12,4.4,17.4,7.2,262-381,19-21,27:02,7-31,9,35-608,40.2,4164,297.4,172,36,62,26-187,38-1612,160,565,38,3363,240.2,23--147,969,590,42.1,76,7527,101-1038,0,19-10,537.6,10.9,6.0
Oklahoma State,284,32,38.71,72-186,52.38,11-21,10.1,18.0,8.2,232-362,20-26,25:47,12-121,12,30-540,38.1,2916,224.3,110,23,42,20-164,59-2287,142,562,27,2985,229.6,26--157,950,424,32.6,52,5901,67-612,0,16-8,453.9,8.1,5.3
TCU,257,23,47.03,95-202,41.67,5-12,14.3,16.7,19.9,211-395,26-28,19-9,16-228,11,32-535,35.6,2444,203.7,107,15,00:00,16-319,66-2518,127,510,23,2448,204.0,30--192,935,364,30.3,41,4892,78-736,0,0,407.7,6.2,4.8
Texas,325,25,48.65,90-185,36.84,7-19,8.3,25.0,9.1,306-470,14-18,28:34,12-100,10,18-450,39.1,3761,289.3,170,32,38,17-155,57-2318,130,480,26,2295,176.5,36--199,986,456,35.1,59,6056,95-890,0,9-4,465.8,8.0,4.8
Texas Tech,298,24,38.20,68-178,48.00,12-25,11.6,21.6,5.9,342-531,20-22,16-7,14-162,8,36-779,42.5,3896,324.7,176,24,00:00,15-88,59-2657,98,404,20,1795,149.6,18--103,953,368,30.7,44,5691,75-695,0,0,474.3,7.3,4.4
West Virginia,212,21,34.64,62-179,52.63,10-19,12.8,20.5,4.6,289-454,13-21,10-5,8-102,15,32-656,39.2,2984,248.7,129,21,00:00,12-55,69-2864,62,334,7,879,73.3,21--145,809,247,20.6,30,3863,71-587,0,0,321.9,6.6,2.6
Illinois,226,18,35.17,64-182,33.33,5-15,20.8,22.2,5.7,198-366,13-19,29:07,12-249,9,32-710,40.6,2409,185.3,111,19,89,21-119,78-3437,97,491,19,1874,144.2,39--289,896,347,26.7,44,4283,87-797,0,21-9,329.5,6.6,3.8
Indiana,304,28,46.37,83-179,44.44,8-18,22.7,19.1,4.0,321-473,19-23,29:27,7-159,9,36-688,38.5,3931,302.4,170,24,46,17-68,52-2166,106,467,24,1695,130.4,27--148,967,413,31.8,51,5626,88-830,0,12-6,432.8,8.3,3.6
Iowa,248,14,40.74,77-189,71.43,15-21,6.1,26.6,8.1,243-411,29-34,33:24,12-73,7,20-531,38.6,2976,228.9,135,16,23,15-121,59-2453,99,453,17,1789,137.6,23--221,887,335,25.8,36,4765,56-421,0,9-5,366.5,7.2,3.9
Maryland,201,21,31.95,54-169,30.77,8-26,9.4,22.7,13.7,172-342,2-5,13-9,10-94,12,45-1023,38.6,2088,174.0,87,16,00:00,9-123,75-3025,93,425,23,2033,169.4,38--262,805,303,27.5,42,4121,70-585,0,0,343.4,6.1,4.8
Michigan State,274,27,36.46,70-192,61.91,13-21,10.3,18.9,6.4,270-464,22-32,35:10,12-124,15,24-454,37.0,3182,244.8,148,17,55,26-167,64-2721,99,468,12,1653,127.2,18--113,950,291,24.3,32,4835,75-700,0,18-9,371.9,6.9,3.5
Michigan,286,37,38.86,68-175,54.55,12-22,3.4,25.6,7.6,228-410,16-22,34:47,9-31,9,26-665,38.5,3261,250.8,141,25,61,38-289,57-2466,108,495,26,1959,150.7,25--207,930,414,31.8,52,5220,80-649,0,24-11,401.5,8.0,4.0
Minnesota,295,18,48.45,78-161,65.00,13-20,17.1,19.1,3.4,212-323,11-14,37:35,14-240,8,18-344,37.3,3293,253.3,142,31,41,11-37,42-1607,135,560,25,2323,178.7,30--185,913,445,34.2,59,5616,56-502,0,17-7,432.0,10.2,4.1
Nebraska,250,20,41.18,77-187,43.48,10-23,16.1,18.1,8.0,194-323,12-20,27-12,11-177,9,23-417,39.4,2551,212.6,102,12,00:00,16-128,59-2411,128,544,27,2439,203.3,28--168,895,336,28.0,43,4990,61-518,0,0,415.8,7.9,4.5
Northwestern,212,27,35.75,69-193,39.29,11-28,6.7,20.8,8.3,156-312,10-14,21-9,7-47,15,18-374,36.3,1404,117.0,76,6,00:00,21-174,71-2663,109,530,17,2161,180.1,23--166,865,190,17.3,23,3565,65-582,0,0,297.1,4.5,4.1
Ohio State,396,32,55.19,101-183,61.54,8-13,11.9,21.8,7.3,271-406,13-15,33:27,15-179,3,13-283,39.4,3684,263.1,172,48,77,29-212,47-2050,192,663,39,3735,266.8,35--224,1104,656,46.9,88,7419,81-770,0,21-13,529.9,9.1,5.6
Penn State,275,16,42.20,73-173,61.11,11-18,14.7,19.6,6.4,217-369,13-15,27:18,10-147,9,28-549,39.9,2877,221.3,134,25,15,28-178,63-2628,125,516,34,2478,190.6,32--179,917,465,35.8,61,5355,57-589,0,16-5,411.9,7.8,4.8
Purdue,247,22,40.11,73-182,50.00,8-16,15.0,15.8,5.6,320-520,13-16,17-8,9-135,15,33-521,35.8,3719,309.9,164,29,00:00,12-67,68-2577,61,342,9,999,83.3,28--212,890,312,26.0,39,4718,55-452,0,0,393.2,7.2,2.9
Rutgers,160,14,34.27,61-178,42.86,6-14,1.3,20.2,2.7,154-278,11-15,13-8,6-8,15,36-727,41.5,1672,139.3,68,7,00:00,13-35,76-3327,78,457,11,1605,133.8,26--148,761,159,19.9,18,3277,76-709,0,0,273.1,6.0,3.5
Wisconsin,320,12,48.15,91-189,78.26,18-23,16.7,28.4,8.1,246-351,14-21,38:03,12-200,5,27-766,36.2,2802,200.1,134,18,79,32-259,48-1903,174,612,38,3263,233.1,20--121,983,477,34.1,62,6065,69-636,0,26-17,433.2,8.0,5.3
Charlotte,270,22,40.76,64-157,56.52,13-23,11.2,17.3,7.1,195-321,10-13,26:48,9-101,14,22-380,32.5,2749,211.5,119,24,20,18-127,51-1975,129,527,26,2605,200.4,21--121,869,388,29.8,52,5354,68-594,0,11-5,411.8,8.6,4.9
Florida Atlantic,330,25,39.90,81-203,59.09,13-22,10.0,19.3,5.4,314-502,18-26,31:04,22-221,8,21-406,39.9,3956,282.6,181,30,39,21-114,69-2958,124,551,32,2324,166.0,28--218,1081,508,36.3,65,6280,95-852,0,14-4,448.6,7.9,4.2
Florida International,259,30,37.84,70-185,54.17,13-24,12.5,16.0,15.6,223-389,21-29,31:40,12-150,6,31-496,40.8,2754,211.8,128,14,62,12-187,57-2414,101,488,23,2148,165.2,14--84,891,344,26.5,40,4902,79-733,0,19-9,377.1,7.1,4.4
Louisiana Tech,304,27,40.91,72-176,37.50,6-16,13.9,22.0,5.4,285-458,15-18,31:26,17-237,10,33-727,34.0,3490,268.5,158,21,49,13-70,60-2247,119,475,27,2189,168.4,29--164,962,422,32.5,54,5679,72-605,0,23-9,436.8,7.6,4.6
Marshall,271,29,37.91,69-182,42.86,6-14,16.6,18.6,11.8,200-355,18-21,32:20,10-166,11,31-578,37.8,2605,200.4,100,16,67,21-248,66-2709,142,532,21,2514,193.4,25--182,912,337,25.9,40,5119,75-680,0,12-7,393.8,7.3,4.7
Middle Tennessee,247,22,34.90,52-149,52.94,9-17,8.5,14.8,2.8,227-367,11-14,10-5,8-68,9,11-163,35.5,2837,236.4,122,22,00:00,4-11,60-2375,103,404,18,2049,170.8,22--133,793,316,26.3,41,4886,57-497,0,0,407.2,7.7,5.1
North Texas,252,14,36.99,64-173,56.25,18-32,9.8,23.3,8.4,283-454,16-20,14-7,4-39,12,49-1141,38.7,3400,283.3,150,33,00:00,19-160,51-2211,88,396,11,1623,135.3,26--178,876,367,30.6,46,5023,64-672,0,0,418.6,7.5,4.1
Old Dominion,203,23,30.98,57-184,58.82,20-34,14.7,24.8,7.1,207-379,15-20,16-7,9-132,12,29-718,36.5,2117,176.4,104,5,00:00,14-100,68-2644,76,431,16,1168,97.3,52--285,862,195,16.3,21,3285,71-729,0,0,273.8,5.6,2.7
Rice,204,27,37.71,66-175,44.44,8-18,1.2,20.4,9.2,180-320,10-15,20-12,6-7,4,26-530,41.1,1992,166.0,98,13,00:00,15-138,66-2822,79,433,14,1538,128.2,34--189,787,215,17.9,27,3530,44-330,0,0,294.2,6.2,3.6
Southern Mississippi,246,19,38.42,68-177,47.06,8-17,15.9,23.6,9.8,291-438,18-22,26:07,10-159,17,33-779,36.2,3764,289.5,153,20,82,16-156,62-2397,74,434,17,1527,117.5,23--183,895,346,26.6,42,5291,81-716,0,20-9,407.0,8.6,3.5
UAB,251,22,31.32,57-182,40.00,8-20,12.4,19.1,3.4,192-338,19-23,27:03,7-87,20,28-534,38.4,2815,201.1,120,20,76,13-44,69-2860,109,558,16,2111,150.8,25--163,921,324,23.1,38,4926,101-992,0,15-8,351.9,8.3,3.8
UTEP,215,16,34.97,57-163,72.00,18-25,0.0,20.3,4.9,177-330,13-16,14-6,5-0,8,31-630,37.3,2292,191.0,104,9,00:00,18-88,63-2448,95,438,18,1658,138.2,35--262,803,235,19.6,29,3950,80-738,0,0,329.2,6.9,3.8
UTSA,216,16,36.26,66-182,54.84,17-31,15.2,21.0,2.2,213-366,9-11,22-12,6-91,11,31-652,38.4,2189,182.4,99,13,00:00,24-52,65-2651,101,453,15,1950,162.5,31--158,850,244,20.3,31,4139,89-829,0,0,344.9,6.0,4.3
Western Kentucky,267,21,40.76,75-184,60.00,15-25,4.5,19.2,4.1,313-469,17-28,32:01,11-49,12,35-671,41.6,3371,259.3,154,20,56,16-65,46-2083,92,431,18,1670,128.5,20--130,920,330,25.4,40,5041,53-514,0,16-9,387.8,7.2,3.9
Army,272,15,44.97,76-169,66.67,26-39,22.1,16.8,2.6,59-126,4-7,21-11,7-155,7,17-286,42.2,1066,82.0,38,6,00:00,14-37,37-1660,219,743,45,3863,297.2,16--102,885,370,28.5,52,4929,60-496,0,0,379.2,8.5,5.2
BYU,293,16,42.47,79-186,36.84,7-19,16.0,19.4,13.5,296-468,17-27,30:31,15-240,11,22-427,37.5,3701,284.7,170,20,20,21-283,53-2209,107,465,25,2068,159.1,29--174,962,372,28.6,46,5769,79-668,0,15-10,443.8,7.9,4.4
Liberty,289,29,40.48,68-168,31.25,5-16,12.3,24.3,0.5,257-452,13-19,28:11,12-147,8,40-970,37.1,3756,288.9,161,29,45,19-10,55-2245,99,435,25,1956,150.5,28--199,915,429,35.8,56,5712,88-801,0,17-8,439.4,8.3,4.5
New Mexico State,228,18,31.98,55-172,61.54,16-26,3.6,13.5,9.5,278-446,10-16,22-12,5-18,15,28-378,38.7,2611,217.6,117,15,00:00,18-171,66-2773,93,386,16,1722,143.5,31--202,863,260,21.7,33,4333,68-531,0,0,361.1,5.9,4.5
Notre Dame,272,23,40.00,74-185,68.00,17-25,9.7,18.3,8.4,253-416,17-20,32:48,9-87,6,22-403,37.7,3278,252.2,135,37,30,25-211,63-2485,114,473,20,2327,179.0,17--93,906,478,36.8,61,5605,84-645,0,10-5,431.2,7.9,4.9
UMass,189,19,34.38,66-192,37.93,11-29,11.8,20.7,9.4,218-392,7-8,11-4,10-118,16,75-1550,37.1,2022,168.5,94,15,00:00,12-113,79-3116,76,430,14,1495,124.6,27--174,849,237,21.5,31,3517,82-717,0,0,293.1,5.2,3.5
Akron,156,14,25.77,42-163,30.44,7-23,24.0,21.5,3.8,204-398,7-12,22-12,5-120,14,40-859,35.4,2344,195.3,91,12,00:00,12-46,80-2980,51,327,2,562,46.8,58--328,783,126,12.6,15,2906,81-628,0,0,242.2,5.9,1.7
Ball State,292,26,41.04,71-173,52.17,12-23,4.7,22.6,8.0,239-373,15-22,18-9,15-71,7,42-948,31.6,2923,243.6,137,24,00:00,14-112,53-2060,129,536,27,2633,219.4,29--167,938,418,34.8,53,5556,71-636,0,0,463.0,7.8,4.9
Bowling Green,204,13,33.15,61-184,21.88,7-32,11.0,18.6,5.2,189-337,6-11,14-6,7-77,15,43-799,38.2,1888,157.3,88,9,00:00,18-94,72-2923,103,502,15,1941,161.8,14--122,853,192,19.2,25,3829,84-710,0,0,319.1,5.6,3.9
Buffalo,276,20,44.85,87-194,64.00,16-25,13.8,20.1,6.7,150-278,11-19,33:12,11-152,6,9-181,30.1,1795,138.1,83,14,30,14-94,53-1859,173,659,36,3256,250.5,8--59,945,409,31.5,54,5051,64-580,0,11-8,388.5,6.5,4.9
Central Michigan,310,28,40.10,81-202,56.67,17-30,10.4,22.7,7.9,290-473,13-21,21:41,13-135,13,33-749,37.3,3531,252.2,160,19,86,27-212,55-2305,122,526,36,2539,181.4,21--151,1020,426,32.8,55,6070,118-925,0,26-17,433.6,7.5,4.8
